"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Not Funded","Submitted to Sponsor","Under Consideration","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date"
"25-0415-P0001","Collaborative research: Water storage and flow in Rocky Mountain headwaters with different geologies","Thijs J. Kelleners","Submitted to Sponsor","National Science Foundation",NA,"Ecosystem Science & Management","7/1/2025","6/30/2028","New",NA,"25-0415","Ecosystem Science & Management","U.S. Federal Government",NA,"1/9/2025 10:39:30 am","590178","1/24/2025","Collaborative research: Water storage and flow in Rocky Mountain headwaters with different geologies","Proposal Created > Certified > Status was changed from: In Development to Under Review > Form was edited in 'Under Review' status > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved","Thijs J. Kelleners > Andrew David Parsekian > John Ruess > Dario Grana > Farrell Jean Rapp","1/9/2025 10:39:30 am > 1/16/2025 04:39:45 pm > 1/16/2025 03:25:55 pm > 1/16/2025 03:19:23 pm > 1/22/2025 11:29:13 am > 1/23/2025 08:31:05 am > 1/23/2025 04:22:25 pm > 1/23/2025 08:31:52 am","Submitted, waiting on Boise State to do their portion",NA,NA,NA,"1/16/2025 03:19:46 pm > 1/16/2025 03:25:55 pm > 1/16/2025 04:39:45 pm > 1/22/2025 11:29:13 am > 1/22/2025 04:25:32 pm > 1/23/2025 08:31:53 am > 1/22/2025 11:32:08 am > 1/22/2025 11:29:26 am > 1/22/2025 11:31:28 am","Approved > Certified",NA,"436585","153593","590178",NA,"Yes",2025-01-23 16:22:25,NA,"FY2025","250415A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"01/23/2025","01/23/2025"
"24-0413-P0001","Collaborative: CAS-SC: Investigating the mild ligand-based oxidative dissolution of e-waste metals and their reductive recovery","Elliott B. Hulley","Funded","National Science Foundation",NA,"Chemistry","7/1/2024","6/30/2027","New",NA,"24-0413","Chemistry","U.S. Federal Government",NA,"9/19/2023 12:13:42 pm","131914","9/29/2023","Collaborative: CAS-SC: Investigating the mild ligand-based oxidative dissolution of e-waste metals and their reductive recovery","Status was changed from: Under Review to In Development > Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Status was changed from: Submitted to Sponsor to Under Consideration > Certified > Status was changed from: Approved to In Development > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Under Consideration to Funded > Assigned to SP Proposal Administrator: Farrell Jean Rapp","Kasi Smart > Elliott Hulley > Farrell Jean Rapp > Inna Willis > Bryce William Howard","9/28/2023 12:38:38 pm > 9/19/2023 12:13:41 pm > 9/28/2023 12:23:41 pm > 9/28/2023 12:39:13 pm > 9/29/2023 09:33:04 am > 7/11/2024 01:41:06 pm > 9/28/2023 12:45:32 pm > 9/28/2023 12:40:28 pm > 10/11/2023 09:07:27 am > 9/19/2023 02:43:56 pm > 10/11/2023 09:07:59 am > 8/2/2024 02:08:11 pm > 9/19/2023 12:43:48 pm > 9/28/2023 12:44:59 pm","fixing one roam error > Email from the sponsor, recommended for funding on 6/28/2024 > need SOW > fixing submission date > submitted > Funded.",NA,NA,NA,"9/28/2023 12:45:32 pm > 10/11/2023 09:07:47 am > 9/28/2023 01:27:30 pm > 9/28/2023 12:45:09 pm > 9/29/2023 08:36:45 am > 9/29/2023 09:33:05 am","Certified > Cancelled > Approved > Not Completed",NA,"97991","33923","131914","A collaborative proposal","No",2023-10-11 09:07:59,"2024-08-02 14:08:11","FY2024","240413A0001",131914,"445MTDC1","College of Engineering & Physical Sciences",1,0,0,0,1,"10/11/2023","10/11/2023"
"25-0232-P0001","Collaborative: Sustained Resources: Moving The Earth Science Community Towards a Modern Unified Fossil Data System by Merging The Paleobotanical and Paleobiology Databases","Ellen D. Currano","Submitted to Sponsor","National Science Foundation",NA,"Botany","9/1/2025","8/31/2028","New",NA,"25-0232","Botany","U.S. Federal Government",NA,"10/17/2024 11:35:43 am","305332","12/6/2024","Collaborative: Sustained Resources: The Paleobiology Database 2.0: Launching the next two decades of paleobiology research and education","Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Status was changed from: Under Review to In Development > Certified > Status was changed from: Approved to Submitted to Sponsor > Proposal Created","Ellen D. Currano > Farrell Jean Rapp > Thomas Abraham Lentner > Kayleigh Ann Edgar","12/2/2024 07:58:30 am > 12/2/2024 12:51:02 pm > 12/2/2024 12:12:00 pm > 12/2/2024 12:17:07 pm > 12/2/2024 12:31:20 pm > 12/6/2024 09:58:36 am > 10/17/2024 11:35:42 am > 12/2/2024 11:36:07 am > 12/2/2024 11:43:39 am","Updating Form Fields\n > 12/6/24 complete submission from all collaborators. > updating fields",NA,NA,"Passes pre-award checks.  Collaborative proposal due this week.","12/2/2024 12:31:20 pm > 12/2/2024 12:51:02 pm > 12/2/2024 12:17:32 pm > 12/2/2024 12:36:02 pm > 12/2/2024 12:35:57 pm","Certified > Approved",NA,"228748","76584","305332",NA,"Yes",2024-12-06 09:58:36,NA,"FY2025","250232A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"09/10/2023","09/10/2023"
"24-0789-P0001","Colorado Elk","Matthew Kauffman","Funded","Rocky Mountain Elk Foundation",NA,"Wyoming Coop Unit","3/1/2023","12/31/2025","New",NA,"24-0789","Wyoming Coop Unit","Non-Profit Organizations",NA,"2/2/2024 02:18:52 pm","15000","2/21/2024","How do elk learn to migrate?","Status was changed from: Under Review to In Development > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded > Proposal Created","Thomas Abraham Lentner > Vanessa Danielle Simoneau > Farrell Jean Rapp","2/20/2024 02:31:41 pm > 2/15/2024 09:29:26 am > 2/21/2024 11:06:55 am > 2/7/2024 11:38:33 am > 2/14/2024 12:45:35 pm > 2/20/2024 02:36:24 pm > 3/4/2024 11:07:48 am > 2/13/2024 02:52:02 pm > 7/3/2024 03:21:04 pm > 2/2/2024 02:18:51 pm","Taking to development to update fields > Approved via manual override due to PI's foreign travel (see notes and attachments) > Moving back to development to update budget and cost share > Submitted on 02/21/2024 by PI (see attachments) > Funded.",NA,NA,"Completed final review on 02/20/2024","2/20/2024 02:36:45 pm","Not Completed > Approved",NA,"15000","0","30000",NA,"Yes",2024-03-04 11:07:48,"2024-07-03 15:21:04","FY2024","240789A0001",15000,"NONE","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"07/06/2023","07/06/2023"
"24-0917-P0001","Colorado Lynx Work","Joseph Dale Holbrook","Funded","Colorado Division of Wildlife",NA,"Haub School of Environment & Natural Resources","5/1/2024","6/29/2029","New",NA,"24-0917","Haub School of Environment & Natural Resources","Other State and Local Governmental Entities",NA,"4/2/2024 10:53:36 am","106666","4/16/2024","Colorado Lynx Work","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Certified > Status was changed from: Under Consideration to Funded","Joseph Dale Holbrook > Farrell Jean Rapp > Tashina Lemons > Kristi Hargis Stockdale","4/2/2024 10:53:36 am > 4/2/2024 11:09:03 am > 4/5/2024 09:50:38 am > 4/2/2024 11:57:41 am > 4/11/2024 01:39:14 pm > 4/29/2024 05:12:08 pm > 4/4/2024 03:13:20 pm > 5/30/2024 03:24:44 pm","PI in direct communication with sponsor for project, awaiting agreement for review and negotiation > Agreement received from sponsor, td ticket created for agreement review and negotiation 21321812 > Funded $106,666",NA,NA,NA,"4/4/2024 03:12:23 pm > 4/4/2024 03:13:20 pm > 4/5/2024 09:50:38 am > 4/4/2024 05:13:51 pm > 4/4/2024 05:13:36 pm","Approved > Certified",NA,"92753","13913","106666",NA,"Yes",2024-04-11 13:39:14,"2024-05-30 15:24:44","FY2024","240917A0001",106666,"15MTDC1","Haub School of Environment & Natural Resources",1,0,0,0,1,"07/03/2023","07/17/2023"
"24-0179-P0001","Colorado State University Agreement AP23VSD&B000C020 Sub-Award","Berit Bangoura","Funded","Colorado State University","Animal and Plant Health Inspection Service/Department of Agriculture","Wyoming State Veterinary Laboratory","10/1/2023","9/30/2025","New",NA,"24-0179","Veterinary Science","U.S. Federal Government",NA,"8/17/2023 09:53:25 am","1000000","8/31/2023","Colorado State University Agreement AP23VSD&B000C020 Sub-Award","Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Approved to Submitted to Sponsor > Certified > Status was changed from: Under Review to In Development > Status was changed from: Under Consideration to Funded > Status was changed from: Under Review to Approved > Proposal Created","Berit Bangoura > Tashina Lemons > Jonathan H. Fox > Farrell Jean Rapp","8/17/2023 04:25:54 pm > 10/6/2023 04:09:59 pm > 9/19/2023 03:19:10 pm > 8/29/2023 03:52:38 pm > 8/28/2023 10:08:06 am > 8/30/2023 08:22:49 am > 1/29/2024 04:46:17 pm > 8/29/2023 11:55:24 am > 8/30/2023 04:19:32 pm > 8/17/2023 09:53:25 am","Subaward documents received from CSU > Proposal submitted to sponsor > revisons > Funded.",NA,NA,"Please review most updated budget information with IDC, when completing your review.","8/30/2023 04:11:18 pm > 8/30/2023 08:22:49 am > 8/30/2023 04:03:30 pm > 8/29/2023 03:52:38 pm > 8/30/2023 09:03:36 am > 8/29/2023 03:39:55 pm > 8/30/2023 04:19:32 pm","Approved > Not Yet Active > Certified",NA,"948320","51680","1000000","A Subrecipient","No",2023-09-19 15:19:10,"2024-01-29 16:46:17","FY2024","240179A0001",1e+06,"34MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"09/19/2023","09/19/2023"
"24-0767-P0003","Colorado-Wyoming Climate Resilience Engine (CO-WY Engine)","Samantha Hillary Krieger","Submitted to Sponsor","Wyoming Governor's Office","National Science Foundation","UW Extension","9/15/2024","6/30/2026","New",NA,"24-0767","UW Extension","Non-Profit Organizations",NA,"9/5/2024 04:56:04 pm","200000","9/6/2024","Wyoming State 4-H Office/Robotics and Drone 4-H Programming","Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Approved > Proposal Created > Certified > Status was changed from: Approved to Submitted to Sponsor","Thomas Abraham Lentner > Farrell Jean Rapp > Samantha Hillary Krieger > Juliet May Daniels","9/23/2024 10:17:23 am > 9/17/2024 04:26:30 am > 9/23/2024 10:52:29 am > 9/5/2024 04:56:03 pm > 9/23/2024 09:57:12 am > 9/17/2024 04:23:23 am > 9/17/2024 04:43:07 am > 9/23/2024 10:19:42 am > 9/24/2024 01:20:21 pm > 9/17/2024 12:35:52 pm","Budget was reduced to 200k.  Taking back to development to adjust. > Notified on 09/20/2024 of a change in PI.  Re-routing for approval. > Submission through AVP EcDev to Gov Office",NA,NA,"Change in PI on project.  Re-routing for certification and approval.  No changes other than change in PI on project\n > Passes pre-award checks.  Funding flows through Gov's office from NSF CO-WY engine.  20% IDC approved by VPR.  Final budget ver 4.0 attached. > Passes pre-award checks.  Unsolicited proposal without set deadline.  Funding through Gov's office from CO-WY engine.  20% IDC approved by the VPR.","9/23/2024 10:19:42 am > 9/17/2024 12:35:52 pm > 9/23/2024 10:20:31 am > 9/18/2024 07:05:30 am > 9/23/2024 10:18:03 am > 9/17/2024 01:01:19 pm > 9/17/2024 04:43:55 am > 9/23/2024 10:20:39 am > 9/23/2024 10:52:29 am > 9/17/2024 04:24:28 am","Certified > Approved",NA,"167833","32167","200000","A Subrecipient","No",2024-09-24 13:20:21,NA,"FY2025","240767A0003",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"09/24/2024",NA
"24-0393-P0001","Combatting Foodborne Pathogens: Unraveling the pathogenic response to food safety efforts","Dana Kristen Dittoe","Not Funded","ADD NEW",NA,"Animal Science","6/1/2024","5/31/2027","New",NA,"24-0393","Animal Science","Non-Profit Organizations",NA,"9/12/2023 03:12:56 pm","300000","9/29/2023","Combatting Foodborne Pathogens: Unraveling the pathogenic response to food safety efforts","Assigned to SP Proposal Administrator: John Ruess > Proposal Created > Certified > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved","Tashina Lemons > Dana Kristen Dittoe > John Ruess > Farrell Jean Rapp","9/18/2023 08:02:34 am > 9/12/2023 03:12:55 pm > 9/28/2023 07:18:13 pm > 5/10/2024 01:02:40 pm > 9/29/2023 09:31:13 am > 9/28/2023 06:13:45 pm > 9/29/2023 08:05:02 am","not funded > Proposal submited to sponsor 9/29/23",NA,"Not Funded","Please add Tori Henderson","9/29/2023 07:30:10 am > 9/29/2023 08:05:02 am > 9/28/2023 07:18:13 pm > 9/29/2023 07:29:53 am > 9/28/2023 07:04:23 pm","Approved > Certified > Not Completed",NA,"300000","0","300000",NA,"Yes",2023-09-29 09:31:13,NA,"FY2024","240393A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,1,"06/14/2023","08/09/2023"
"24-0139-P0001","Combining Earth Observation and In Situ Data to Examine the Role of Wildland Fire on North American River and Lake Water Quality","Austin Madson","Not Funded","National Aeronautics and Space Administration",NA,"School of Computing","6/1/2024","5/31/2027","New",NA,"24-0139","Wyoming Geographic Information Science Center","U.S. Federal Government",NA,"8/7/2023 11:57:50 am","298937","8/11/2023","Combining Earth Observation and In Situ Data to Examine the Role of Wildland Fire on North American River and Lake Water Quality","Status was changed from: Under Review to In Development > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Certified > Status was changed from: Under Review to Approved > Proposal Created","Tashina Lemons > Austin Madson > Farrell Jean Rapp","8/9/2023 07:09:12 pm > 8/11/2023 04:37:17 pm > 8/11/2023 09:10:50 am > 8/7/2023 03:39:29 pm > 9/23/2024 03:04:34 pm > 8/7/2023 03:55:36 pm > 8/11/2023 09:17:17 am > 8/9/2023 11:08:14 am > 8/11/2023 03:46:59 pm > 8/7/2023 11:57:49 am","proposal update needed, all other items updated and reviewed > Submitted to sponsor 8/11/23 > NPSIRES showing a proposal status of declined. > updates needed",NA,"Not Funded",NA,"8/11/2023 09:15:20 am > 8/11/2023 02:30:56 pm > 8/11/2023 09:27:11 am > 8/11/2023 09:17:17 am > 8/11/2023 03:46:59 pm","Approved > Certified",NA,"223117","75820","298937",NA,"Yes",2023-08-11 16:37:17,NA,"FY2024","240139A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"08/08/2023","08/08/2023"
"23-1874-P0001","Combining ICESat-2 GLAS photons with multispectral data for monitoring lake dynamics","Shawna M. McBride","Funded","National Aeronautics and Space Administration",NA,"Physics & Astronomy","6/1/2023","5/31/2024","New",NA,"23-1874","Physics & Astronomy","U.S. Federal Government",NA,"6/27/2023 03:08:08 pm","99938","12/14/2022","Combining ICESat-2 photons with high resolution multispectral data for monitoring the thermokarst lake dynamics in the North American Arctic","Proposal Created > Status was changed from: Under Consideration to Funded > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: In Development to Submitted to Sponsor","Tashina Lemons > Farrell Jean Rapp","6/27/2023 03:08:08 pm > 9/10/2023 03:37:48 pm > 8/17/2023 03:13:44 pm > 6/27/2023 03:18:55 pm","Funded 09/06/2023. > 80NSSC23M0170 > Legacy data submission, submitted to sponsor 12/14/22",NA,NA,NA,"6/27/2023 03:18:26 pm","Not Yet Active > Cancelled",NA,"72417","27521","99938",NA,"Yes",2023-06-27 15:18:55,"2023-09-10 15:37:48","FY2023","231874A0001",99938,"445MTDC1","College of Engineering & Physical Sciences",1,0,0,0,1,"06/27/2023","06/27/2023"
"24-0022-P0001","Combining Traditional and Multiomic Approaches to Elucidate the Cause and Mechanisms of Canine Dysautonomia","Jonathan H. Fox","Funded","ADD NEW",NA,"Veterinary Science","1/1/2024","12/31/2025","New",NA,"24-0022","Veterinary Science","Non-Profit Organizations",NA,"7/10/2023 09:38:09 pm","78171","7/19/2023","Combining Traditional and Multiomic Approaches to Elucidate the Cause and Mechanisms of Canine Dysautonomia","Status was changed from: In Development to Under Review > Status was changed from: Under Consideration to Funded > Proposal Created > Status was changed from: Approved to Submitted to Sponsor > Certified > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Review to Approved","Tashina Lemons > Jonathan Fox > Farrell Jean Rapp","7/18/2023 02:52:04 pm > 4/15/2024 12:36:49 pm > 7/10/2023 09:38:09 pm > 7/26/2023 09:56:03 am > 7/18/2023 03:45:01 pm > 12/22/2023 10:52:57 am > 7/19/2023 08:25:25 am","Recieved FE agreement from sponsor > Submitted to sponsor on 7/18/23 > Grant agreement received 12/22/23",NA,NA,"approve","7/19/2023 07:08:04 am > 7/19/2023 08:25:26 am > 7/18/2023 03:45:01 pm > 7/18/2023 04:37:51 pm > 7/18/2023 02:52:23 pm > 7/18/2023 03:45:33 pm","Approved > Certified","35000","74010","4161","113171",NA,"Yes",2023-07-26 09:56:03,"2024-04-15 12:36:49","FY2024","240022A0001",56171,"8MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"07/26/2023",NA
"24-0476-P0001","Combining data streams across scales to investigate threats to caribou in a rapidly changing Arctic","Ellen Overton Aikens","Not Funded","National Science Foundation",NA,"School of Computing","9/1/2024","8/31/2029","New",NA,"24-0476","School of Computing","U.S. Federal Government",NA,"10/10/2023 04:15:06 pm","396871","12/5/2023","Combining data streams across scales to investigate threats to caribou in a rapidly changing Artctic","Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Certified > Unassigned from SP Proposal Administrator: John Ruess > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Assigned to SP Proposal Administrator: John Ruess","Ellen Aikens > Tashina Lemons > Farrell Jean Rapp > Ellen Overton Aikens > Thomas Abraham Lentner","12/4/2023 01:39:10 pm > 12/4/2023 09:29:38 am > 6/26/2024 08:03:00 am > 12/4/2023 01:51:11 pm > 12/4/2023 09:29:32 am > 12/5/2023 02:08:49 pm > 12/8/2023 02:33:22 pm > 10/10/2023 04:15:06 pm > 10/11/2023 07:54:18 am","Not funded per Sponsor correspondence. > Submitted the UW portion of the collaborative proposal on 12/8/2023 at 2:30pm.  Confirmed submission with PI.",NA,"Not Funded",NA,"12/4/2023 01:48:43 pm > 12/4/2023 01:51:11 pm > 12/5/2023 12:45:19 pm > 12/5/2023 02:08:49 pm > 12/5/2023 01:20:44 pm","Approved > Certified",NA,"292775","104096","396871","A collaborative proposal","No",2023-12-08 14:33:22,NA,"FY2024","240476A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"12/08/2023","12/08/2023"
"24-1006-P0001","Commerical-Scale Carbon Storage Modeling Assessment","Autumn Eakin","Funded","Severson Carbon Management",NA,"School of Energy Resources Directors Office","6/10/2024","12/10/2024","New",NA,"24-1006","School of Energy Resources Directors Office","Industry","Industry","5/6/2024 02:36:27 pm","300000","5/31/2024","Commercial-Scale Carbon Storage Modeling Assessment","Form was edited in 'Funded' status > Certified > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Under Consideration > Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved > Status was changed from: Under Consideration to Funded","Farrell Jean Rapp > Tao Bai > Thomas Abraham Lentner > Matthew Bryce Johnson > Tiffany Brooke Bishop > Lily J. Jackson > Daniel Hoyt Eakin > Autumn Eakin","12/11/2024 05:40:24 pm > 5/30/2024 10:36:37 am > 5/30/2024 09:25:57 am > 5/30/2024 09:31:53 am > 6/12/2024 01:59:38 pm > 5/6/2024 02:36:26 pm > 5/30/2024 10:58:16 am > 5/8/2024 04:11:54 pm > 6/12/2024 01:59:22 pm > 5/30/2024 05:05:03 pm > 9/27/2024 10:01:42 am > 5/30/2024 02:34:05 pm > 5/30/2024 09:30:39 am","See notes for TD Ticket for agreement review > Submitted 05/31/2024 > Funded.",NA,NA,"Approved. Confirmed the 6-month duration with TB in SER. > Passes pre-award checks.  Ready for approval.  Friday target date for approval.","5/30/2024 09:30:39 am > 5/30/2024 10:58:16 am > 5/30/2024 09:31:53 am > 5/30/2024 05:05:03 pm > 5/30/2024 09:26:24 am > 5/30/2024 03:46:50 pm > 5/30/2024 02:34:05 pm > 5/30/2024 02:56:54 pm > 5/30/2024 02:57:00 pm > 5/30/2024 02:57:05 pm > 5/30/2024 10:36:37 am","Certified > Approved",NA,"207612.46","92387.54","300000",NA,"Yes",2024-06-12 13:59:22,"2024-12-11 17:40:24","FY2024","241006A0001",3e+05,"445MTDC1","School of Energy Resources",1,0,0,0,1,"06/12/2024",NA
"23-1619-P0001","Common Ground-Legitimacy in Consent-based Siting for Interim Nuclear Waste Storage","Weston M Eaton","Funded","Boise State University","U.S. Department of Energy","Haub School of Environment & Natural Resources","5/1/2023","4/30/2025","New",NA,"23-1619","Haub School of Environment & Natural Resources","U.S. Federal Government",NA,"6/12/2023 08:49:02 am","228536","12/14/2022","Common Ground-Legitimacy in Consent-based Siting for Interim Nuclear Waste Storage","Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Ashley Schnell > Status was changed from: Under Consideration to Funded > Status was changed from: Submitted to Sponsor to Under Consideration > Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Under Review to In Development","Kimberly Messersmith > Ashley Schnell > Farrell Jean Rapp","6/12/2023 08:59:43 am > 6/13/2023 09:05:03 am > 2/15/2024 02:26:12 pm > 6/21/2023 10:43:25 am > 6/12/2023 08:49:02 am > 6/21/2023 10:42:29 am > 6/19/2023 07:49:10 am","Funded. > Per email from PI 6/12/2023, they have heard that this is expected to be funded. > Legacy, submitted to sponsor 12/14/2022, revised budget done and submitted 1/23/2023 (for key person who left UW) > Legacy, moving back to add attachments and greensheet.",NA,NA,NA,"6/21/2023 10:41:39 am","Cancelled > Not Completed",NA,"164462","64074","228536","A Subrecipient","No",2023-06-21 10:42:29,"2024-02-15 14:26:12","FY2023","231619A0001",228537,"445MTDC1","Haub School of Environment & Natural Resources",1,0,0,0,1,"06/21/2023","06/21/2023"
"23-1860-P0001","Communicating Wildlife Science to Students and Stakeholders","Kevin L. Monteith","Funded","Wyoming Game and Fish Department",NA,"Haub School of Environment & Natural Resources","7/1/2023","12/31/2025","New",NA,"23-1860","Haub School of Environment & Natural Resources","Wyoming State Governmental Entities",NA,"6/27/2023 01:11:59 pm","13000","1/31/2023","Communicating Wildlife Science to Students and Stakeholders","Proposal Created > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to In Development > Certified > Assigned to SP Proposal Administrator: Ashley Schnell > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Under Review to Approved","Kimberly Messersmith > Farrell Jean Rapp > John Ruess > Tashina Lemons > Kevin Monteith > Ashley Schnell > Ashley Cae Schnell","6/27/2023 01:11:58 pm > 12/23/2024 11:29:23 am > 9/22/2023 01:14:47 pm > 7/3/2023 03:16:57 pm > 9/20/2023 02:31:30 pm > 6/28/2023 10:36:15 am > 6/27/2023 01:14:09 pm > 6/28/2023 12:22:53 pm > 6/28/2023 12:26:00 pm > 8/3/2023 09:59:27 am > 6/27/2023 01:38:00 pm > 9/20/2023 04:47:12 pm","Funded. 8/2/2023 > Clean up > Needs updates > Revisions",NA,NA,NA,"9/20/2023 04:47:12 pm > 9/20/2023 02:31:30 pm > 9/20/2023 02:34:36 pm > 8/3/2023 09:59:40 am > 6/28/2023 12:26:11 pm > 9/20/2023 02:34:12 pm","Approved > Not Completed > Certified",NA,"13000","0","13000",NA,"Yes",2023-09-22 13:14:47,"2024-12-23 11:29:23","FY2024","231860A0001",6000,"NONE","Haub School of Environment & Natural Resources",1,0,0,0,1,"07/26/2023","02/06/2024"
"24-0742-P0001","Communicating Wildlife Science-WGBGLC 2024","Kevin L. Monteith","Funded","Wyoming Game and Fish Department",NA,"Haub School of Environment & Natural Resources","7/1/2024","6/30/2028","New",NA,"24-0742","Haub School of Environment & Natural Resources","Wyoming State Governmental Entities",NA,"1/24/2024 09:09:51 am","12000","1/31/2024","Communicating Wildlife Science to Students and Stakeholders","Status was changed from: Approved to Closed. Resolution set to: PI Abandoned > Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Under Consideration to Funded > Certified > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Under Consideration > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Closed to In Development > Status was changed from: Under Review to Approved > Status was changed from: Under Review to In Development","Tashina Lemons > Kimberly Ann Messersmith > Farrell Jean Rapp > Kevin L. Monteith > Bryce William Howard","2/9/2024 11:39:01 am > 1/24/2024 09:09:51 am > 2/9/2024 11:41:46 am > 7/3/2024 08:32:42 am > 1/26/2024 12:23:55 pm > 1/25/2024 01:43:56 pm > 1/24/2024 09:13:04 am > 6/11/2024 02:12:26 pm > 1/25/2024 10:56:15 am > 2/9/2024 11:39:16 am > 1/26/2024 01:32:13 pm > 1/25/2024 01:17:43 pm","Not closed, previously submitted to sponsor, updating proposal form for data integrity. > Previously submitted to sponsor, will ask PI and department manager for COI disclosure to be completed. > Funded. > Agreement under review. > Updates to proposal form > More budget information needed",NA,NA,NA,"1/26/2024 12:27:39 pm > 1/26/2024 12:27:33 pm > 1/26/2024 12:23:55 pm > 1/26/2024 12:17:48 pm","Not Completed > Approved > Certified",NA,"12000","0","12000",NA,"Yes",2024-02-09 11:41:46,"2024-07-03 08:32:42","FY2024","240742A0001",4000,"NONE","Haub School of Environment & Natural Resources",1,0,0,0,1,"07/26/2023","02/06/2024"
