"PI Unit","College (Subdivision)","Proposal #","Project Title","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-1033-P0001","Animal Health and Disease Research Capacity, FY22","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","24-0484-P0002","Hatch-Regular Capacity","Eric P Webster",2024-09-25,"9/27/2024 8:33","1/6/2025 9:11","Funded","2024","September"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-1034-P0001","Hatch-Regular Capacity FY22","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","24-0485-P0002","Hatch-Multistate Capacity","Eric P Webster",2024-08-22,"9/27/2024 8:27","12/12/2024 9:14","Funded","2024","August"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","24-0108-P0001","Enhancing Climate Literacy, Adaptation, and Mitigation among Working-Land Managers and Partners in the Northern Plains","Eric P Webster",2023-07-25,"9/28/2023 10:10","12/11/2023 13:45","Funded","2023","July"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","24-0483-P0002","Animal Health and Disease Research Capacity","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-0512-P0001","Hatch-Multistate Capacity","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-0665-P0001","McIntire-Stennis Capacity FY21","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-1029-P0001","Hatch-Multistate Capacity FY22","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-1120-P0001","McIntire-Stennis Capacity FY22","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-1769-P0001","Increasing Weather and Climate Awareness, Preparedness, and Response in Intermountain Rangeland and Cropping Systems","Kristiana Marie Hansen",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","25-0075-P0001","Disparities in Urban-Rural Obesity and Food Pre-Commitments, Affinity for Food Quality, and Other Drivers in the United States: Evidence and Policy Implications","Vardges Hovhannisyan",2024-08-19,"10/2/2024 14:46",NA,"Not Funded Yet","2024","August"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0297-P0001","Building Negotiation Knowledge and Skills for Enhanced Economic and Environmental Sustainability of Western Farm Businesses","John P. Hewlett",2023-08-18,NA,NA,"Funded","2023","August"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0928-P0001","Comprehensive Aquifer and Surface Water Coordination to Aid Decision-making Efficiency and Equity (CASCADE2)","Kristiana Marie Hansen",2024-04-06,"5/15/2024 15:02",NA,"Not Funded Yet","2024","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0025-P0001","Analysis of the Socioeconomic Conditions in Wyoming Counties","Thomas K. Foulke",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0587-P0001","Providing Risk Management Education on Crop Insurance Products and Risk in Agriculture to Underserved Beginning, Veteran, Retiring/Transitioning, and Other Socially Disadvantaged Farmers/Ranchers in Wyoming 2020-2021","John P. Hewlett",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0461-P0001","Specialty Crop Agribusiness Directory","Cole C. Ehmke",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0658-P0001","Initiate Extension Programming for the Western Water Network","Kristiana Marie Hansen",2023-12-19,"12/22/2023 11:39",NA,"Not Funded Yet","2023","December"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","25-0163-P0001","Comprehensive Analysis of Causes and Consequences of Food Price Inflation","Vardges Hovhannisyan",2024-09-23,"9/26/2024 13:17",NA,"Not Funded Yet","2024","September"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0462-P0001","Hatch Regular Capacity 2019-2021","John P. Ritten",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0890-P0001","Developing Beginning Farmers and Ranchers in Wyoming","John P. Hewlett",2024-03-12,"6/26/2024 11:01",NA,"Not Funded Yet","2024","March"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0834-P0001","Estimating Development Risk for Agricultural Lands in Wyoming","Benjamin Rashford",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0363-P0001","Producer Survey and Food Safety Training (Project)","Cole C. Ehmke",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0481-P0001","Providing Risk Management Education on Crop Insurance Products and Risk in Agriculture to Underserved Beginning, Veteran, Retiring/Transition, and Other Socially Disadvantaged Farmers/Ranchers in Wyoming 2020-2021","John P. Hewlett",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0406-P0001","Economic Importance of Snowmobiling and Off-Road Vehicle Use on the Wyoming State Trail System","Chris Bastian",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0162-P0001","Extension Weather/Climate Variability","Kristiana Marie Hansen",2023-08-14,NA,"1/29/2024 16:34","Funded","2023","August"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-1225-P0001","Updating Big Horn County's Socioeconomic Profile","Anders T. Van Sandt",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0604-P0001","Animal Health and Disease Research Capacity, FY20","John P. Ritten",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-1082-P0001","Sustaining rural livelihoods, livestock grazing, and sage-grouse habitat in western sagebrush systems","John P. Ritten",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0264-P0001","Community Security in Beef Production Sustainability","John P. Ritten",2023-08-18,NA,NA,"Funded","2023","August"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-1281-P0001","2022 Wage Gap in Wyoming","Chian A. Jones Ritten",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0072-P0001","Integrating Sustainable Social, Ecological and Technological Innovation for Achieving Global Climate Stabilization through Negative CO2 Emission Policies (NSF EPSCoR RII Track 2)","Benjamin Rashford",2023-04-27,NA,NA,"Funded","2023","April"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","24-0813-P0001","Economic Analysis of the Sugar Beet Industry","Chris Bastian",2024-02-12,"2/15/2024 15:46","2/15/2024 15:47","Funded","2024","February"
"Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources","23-0167-P0001","Food Ventures in Wyoming: Facilitating Diverse Enterprises","Cole C. Ehmke",2023-04-27,NA,NA,"Funded","2023","April"
"American Heritage Center","Provost","23-1343-P0001","Reading and Q&A for Out Here on Our Own: An Oral History of an American Boomtown","Leslie Carol Waggener",2023-04-27,NA,NA,"Funded","2023","April"
"American Heritage Center","Provost","23-1273-P0001","Wyoming Tour of ""A Sissy in Wyoming"" (WAC)","Leslie Carol Waggener",2023-04-27,NA,NA,"Funded","2023","April"
"American Heritage Center","Provost","23-1279-P0002","Wyoming We The People: The Citizen and the Constitution and Project Project Citizen","Paul V.M. Flesher",2024-05-16,"8/2/2024 8:17","9/24/2024 21:32","Funded","2024","May"
"American Heritage Center","Provost","25-0422-P0001","Digitization of the Wyoming Folklife Archive","William L. Hopkins",2025-01-10,NA,NA,"Not Funded Yet","2025","January"
"American Heritage Center","Provost","23-1234-P0001","Wyoming Tour of ""A Sissy in Wyoming"" (WCTF)","Leslie Carol Waggener",2023-04-27,NA,NA,"Funded","2023","April"
"American Heritage Center","Provost","23-0627-P0001","Wyoming We the People: The Citizen and the Constitution and Project Citizen","Paul V.M. Flesher",2023-04-27,NA,NA,"Funded","2023","April"
"American Heritage Center","Provost","24-0929-P0001","Voices of Pride Oral History Program","Leslie Carol Waggener",2024-04-07,"4/16/2024 11:32",NA,"Not Funded Yet","2024","April"
"American Heritage Center","Provost","25-0370-P0001","American Heritage Center: Wyoming History in Seventy-six objects for State's Semiquincentennial Celebration","Paul V.M. Flesher",2024-12-12,"1/10/2025 16:16",NA,"Funded","2024","December"
"American Heritage Center","Provost","23-1279-P0001","Wyoming We The People: The Citizen and the Constitution and Project Project Citizen","Paul V.M. Flesher",2023-04-27,NA,NA,"Funded","2023","April"
"American Heritage Center","Provost","24-1015-P0001","American Heritage Center Radio Broadcast Journalism Project","Jessica Ann LaBozetta",2024-05-09,"7/15/2024 14:24",NA,"Not Funded Yet","2024","May"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0918-P0001","Ultra-Rapid Platform for Antimicrobial Susceptibility Testing (AST) of Pulmonary Non-Tuberculous Mycobacterial (NTM) Infections","Bledar Bisha",2024-04-02,"4/4/2024 12:12",NA,"Not Funded Yet","2024","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0375-P0001","Development and Evaluation of a polymer coated proprietary cream formulation of resiniferatoxin nanoparticles for the Treatment of Pain Associated with Diabetic Peripheral Neuropathy","Brenda M. Alexander",2024-12-13,"12/20/2024 15:41",NA,"Not Funded Yet","2024","December"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-0677-P0001","Investigating the main mastitis causing pathogens plaguing Western sheep flocks","Hannah Crocker Cunningham",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-0830-P0001","Womb to Tomb: Developmental Programming and Aging Interactions in Primates - Year 4 Admin Core","Peter William Nathanielsz",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1663-P0002","Zoetis Master Agreement for Services and Research","Christopher Jeremy Block",2023-06-15,NA,"6/26/2024 12:47","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1850-P0001","Beef Cattle Efficiency and Stakeholder Management Tools: Characterizing effects of variable heart failure risk and feeding period on feed resource efficiency, respiratory microbiome and carcass quality of beef steers","Hannah Crocker Cunningham",2023-06-27,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0160-P0001","heep ECO-n-OMICS - optimizing health and production efficiency through the integration of economics, genomics, microbiomics, and phenomics","Whitney C. Stewart",2024-09-22,"10/1/2024 12:12",NA,"Not Funded Yet","2024","September"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0867-P0001","The Grass is Greener on the Other Side: Developing Climate-Smart Sheep and Lamb Commodities","Hannah Crocker Cunningham",2024-03-04,"3/12/2024 14:27",NA,"Not Funded Yet","2024","March"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-0719-P0001","Mitigation of subclinical mastitis during early lactation and effects of subclinical mastitis on milk yield, lamb growth, and lamb survival","Hannah Crocker Cunningham",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1193-P0001","Waste Water Surveillance Support","Bledar Bisha",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0391-P0001","Improving Education and Outreach through Research of Novel Traits in Yearling Bulls","Hannah Crocker Cunningham",2023-09-12,NA,"9/29/2023 13:44","Funded","2023","September"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1756-P0001","Citrulline: Potential for improved feed efficiency and sustainability","Hannah Crocker Cunningham",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1572-P0001","Treatment of Painful Peripheral Neuropathies with Proprietary Cream and Patch Formulation of Resiniferatoxin","Brenda M. Alexander",2023-06-06,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1891-P0001","Understanding potential genomic associations with lamb flavor and carcass characteristics","Cody Lynn Gifford",2023-06-29,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-0962-P0001","Livestock Responses to Adaptive Grazing Management in High Plains Rangelands","Whitney C. Stewart",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0614-P0001","Use of virtual fence to promote targeted grazing with sheep in Northern mixed grass prairies","Paulo De Mello Tavares Lima",2023-11-30,"12/6/2023 8:36",NA,"Not Funded Yet","2023","November"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0142-P0001","IMRAST: Rapid Identification of Bacteria and Antimicrobial Resistance Testing for Food Safety","Bledar Bisha",2024-09-13,"9/17/2024 15:08",NA,"Not Funded Yet","2024","September"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1128-P0001","NAAB Doak Graduate Fellowship","Christopher Jeremy Block",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0962-P0001","Basic Biology of PGRMC Proteins in Aging and Geroscience","James K. Pru",2024-04-18,NA,NA,"Not Funded Yet","2024","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0519-P0001","Weaning strategy influence on pulmonary hypertension risk and respiratory disease","Hannah Crocker Cunningham",2023-10-26,"11/15/2023 14:57",NA,"Not Funded Yet","2023","October"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1662-P0001","Mechanisms controlling programming of embryo development by choline","Christopher Jeremy Block",2023-06-15,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1689-P0001","Antenatal corticosteroid effects on lung development and injury: A systems biology approach","Peter William Nathanielsz",2023-06-20,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1928-P0001","Virtual Fence + : An integrated solution to harness livestock for enhancing grazing land productivity and sustainability","Paulo De Mello Tavares Lima",2023-06-29,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1690-P0001","The impact of genetic variation on primate fetal development","Peter William Nathanielsz",2023-06-20,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0189-P0001","Breathing Easy: Validating Voc Sensor Technology For Enhanced Rangeland Livestock Monitoring","Dana Kristen Dittoe",2024-10-02,"10/3/2024 15:49",NA,"Not Funded Yet","2024","October"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1711-P0001","Mechanisms of preimplantation developmental programming by choline","Christopher Jeremy Block",2023-06-21,NA,"10/5/2023 10:10","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1283-P0001","Sheep Enterprise Bench-marking: Knowing the Numbers, Enterprise Wellness, and Industry Growth","Whitney C. Stewart",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-0749-P0001","A scoping review of low carbohydrate diets with dietary animal protein components on cardiometabolic risk cardiometabolic risk","Cody Lynn Gifford",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-1029-P0001","Endometrial and placental influenza infection programs fetal development with impaired postnatal health outcomes","James K. Pru",2024-05-17,"6/10/2024 13:56",NA,"Not Funded Yet","2024","May"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0229-P0001","Influence of nutritional management and pulmonary hypertension risk on fertility in developing beef bulls","Shelby Lynn Rosasco",2024-10-16,"11/4/2024 9:55",NA,"Not Funded Yet","2024","October"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0081-P0001","Impact of peripubertal nutritional management on reproductive success and economic sustainability in beef heifers","Shelby Lynn Rosasco",2024-08-23,"9/13/2024 8:21",NA,"Not Funded Yet","2024","August"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1663-P0004","Zoetis Master Agreement for Services and Research","Christopher Jeremy Block",2023-06-15,NA,"6/26/2024 12:48","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0393-P0001","Combatting Foodborne Pathogens: Unraveling the pathogenic response to food safety efforts","Dana Kristen Dittoe",2023-09-12,"9/29/2023 9:31",NA,"Not Funded Yet","2023","September"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1614-P0001","Spillover of SARS-CoV-2 into wildlife from wastewater","Bledar Bisha",2023-06-09,NA,"6/21/2023 8:58","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0669-P0002","COBRE | Center of Reproductive and Regenerative Biology","James K. Pru",2024-10-18,"1/30/2025 16:10",NA,"Not Funded Yet","2024","October"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0359-P0001","Impact of Vitamin E administration and pulmonary hypertension level on feedlot cattle performance, carcass attributes and meat quality characteristics","Cody Lynn Gifford",2023-08-29,"9/14/2023 10:13",NA,"Not Funded Yet","2023","August"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0669-P0001","COBRE | Center of Reproductive and Regenerative Biology","James K. Pru",2024-01-02,NA,NA,"Not Funded Yet","2024","January"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0180-P0001","Woody plant encroachment: Impacts on sheep production systems on the Northern Mixed-Grass Prairies","Paulo De Mello Tavares Lima",2024-09-30,"11/5/2024 14:06",NA,"Not Funded Yet","2024","September"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1135-P0001","Quantifying Genetic and Non-Genetic Factors Associated with Lamb Growth and Carcass Characteristics","Whitney C. Stewart",2023-04-27,NA,NA,"Funded","2023","April"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0120-P0001","Functional role of embryonic progesterone receptor membrane component-1 in conceptus survival, elongation, and pregnancy establishment in cattle","Christopher Jeremy Block",2023-07-29,"8/9/2023 11:59",NA,"Not Funded Yet","2023","July"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0200-P0001","Utilizing the Ewe-Lamb Relationship to Facilitate Sustainability in the Sheep Industry","Whitney C. Stewart",2024-10-07,"10/21/2024 14:29",NA,"Not Funded Yet","2024","October"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1794-P0001","Lamb feeding strategies and meat quality assessment in a novel sheep breed","Cody Lynn Gifford",2023-06-26,NA,"8/30/2023 17:08","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0085-P0001","Dittoe USDA SEED","Dana Kristen Dittoe",2023-07-21,"8/9/2023 15:55","7/3/2024 14:42","Funded","2023","July"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1683-P0001","PGRMC Proteins as Markers of Fertility and Overall Health Status","James K. Pru",2023-06-19,NA,"10/27/2023 13:55","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0109-P0001","Characterizing Feedlot Cattle Performance and Meat Quality on Pulmonary Hypertension Risk","Cody Lynn Gifford",2023-07-26,NA,"7/26/2023 13:15","Funded","2023","July"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0608-P0001","Western SARE Graduate Grant: Assessment","Hannah Crocker Cunningham",2023-11-29,"12/8/2023 8:05",NA,"Not Funded Yet","2023","November"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0360-P0001","IDEAS: Opportunities for co-grazing of cattle and sheep to improve sustainability of high altitude agricultural systems","Hannah Crocker Cunningham",2023-08-29,NA,NA,"Not Funded Yet","2023","August"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","24-0626-P0001","PIPP Phase II: Theme 1: The PrEViEW Center: AdvancingPandemicPre-EmergenceForecasting through Big Data/AI","Bledar Bisha",2023-12-06,"12/6/2023 16:04",NA,"Not Funded Yet","2023","December"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","25-0007-P0001","Functional role of embryonic progesterone receptor membrane component-1 in conceptus survival and pregnancy establishment in cattle","Christopher Jeremy Block",2024-07-09,"8/7/2024 16:26",NA,"Not Funded Yet","2024","July"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1584-P0001","Measurement of methane emissions from grazing sheep in western US rangelands","Paulo De Mello Tavares Lima",2023-06-07,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1663-P0001","Zoetis Master Agreement for Services and Research","Christopher Jeremy Block",2023-06-15,NA,"6/26/2024 12:47","Funded","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1715-P0001","Regulation of molecular factors associated with conceptus elongation in cattle","Christopher Jeremy Block",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1714-P0001","The reproductive microbiome of heifers and cows divergent in antral follicle count","Hannah Crocker Cunningham",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Animal Science","College of Agriculture, Life Sciences & Natural Resources","23-1663-P0003","Zoetis Master Agreement for Services and Research","Christopher Jeremy Block",2023-06-15,NA,"6/26/2024 12:47","Funded","2023","June"
"Anthropology","College of Arts & Sciences","23-1698-P0001","Promotion of the Humanities Division of Preservation and Access","Marcel Kornfeld",2023-06-20,NA,NA,"Not Funded Yet","2023","June"
"Anthropology","College of Arts & Sciences","23-1752-P0001","Collaborative Research: IRES Track I: Post-hurricane recovery of island freshwater lenses: Understanding the impact of social and hydrological dynamics","Elizabeth M Lynch",2023-06-23,"8/18/2023 15:13","9/25/2024 12:52","Funded","2023","June"
"Anthropology","College of Arts & Sciences","23-0194-P0001","Populating a Radiocarbon Database of North America, Phase III","Robert L. Kelly",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-0612-P0001","Post-Doctoral Research for Prehistoric Archaeological Context for the Wyoming Military at Camp Guernsey Joint Training Center, Wyoming","Rick Laurence Weathermon",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","24-0355-P0001","ACLS Fellowship Program","Nikolas Philip Sweet",2023-08-28,NA,NA,"Not Funded Yet","2023","August"
"Anthropology","College of Arts & Sciences","23-0258-P0001","Hell Gap Site Investigations (2019-2021): Completion of 2nd Research Phase","Marcel Kornfeld",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-0084-P0001","Archeological Repository Graduate Assistantship","Todd A. Surovell",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-0423-P0001","Hell Gap National Historical Landmark Consultation:  Developing a Sustainable Virtual Museum to Preserve Wyoming Culture Heritage","Elizabeth M Lynch",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-1284-P0001","Inventory Archaeological Resources in Thirsty Creek Watershed","Marcia L. Peterson",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","24-1017-P0001","Archaeological Survey of the Trident Plateau, Two Ocean Plateau, and in the Absaroka Range, Yellowstone National Park.","Marcia L. Peterson",2024-05-09,"5/22/2024 14:57","9/20/2024 11:44","Funded","2024","May"
"Anthropology","College of Arts & Sciences","23-0761-P0001","Recovery of lost aircrew from a World War II B24J aircraft in Istria, Croatia","Rick Laurence Weathermon",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-0931-P0001","La Prele Mammoth site","Todd A. Surovell",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-0440-P0001","Population Growth and Human Behavioral Change","Robert L. Kelly",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","25-0166-P0001","Diversity, structure, and post-transcriptional regulation of the Arginine Deiminase operon among oral bacteria and its implications for probiotic development","Allison E. Mann",2024-09-24,"10/16/2024 12:20",NA,"Not Funded Yet","2024","September"
"Anthropology","College of Arts & Sciences","23-0312-P0001","Immigration and integration in rural Arctic communities","Pamela Joan Innes",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-0785-P0001","Geoarchaeological Assessment in the North Training area, Camp Guernsey, WY - FY2021","Rick Laurence Weathermon",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-1485-P0001","Preserving Wyoming Cultural Heritage: Digitizing the Hell Gap National Historic Landmark","Marcel Kornfeld",2023-04-27,NA,NA,"Funded","2023","April"
"Anthropology","College of Arts & Sciences","23-1762-P0001","Preserving Native American Cultural Heritage: Describing bedrock ground stone features through 3D modeling and Descendant Community consultation","Elizabeth M Lynch",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
