"Year","Month","PI Unit","Number of Proposal Submitted","Number of Proposal Funded"
"2023","December","Wyo Natural Diversity Database",1,1
"2023","December","Wyoming Survey & Analysis Center",1,0
"2023","December",NA,2,0
"2023","July","Accounting & Finance",1,0
"2023","July","Agricultural Experiment Station",1,1
"2023","July","Animal Science",3,2
"2023","July","Atmospheric Science",1,0
"2023","July","Botany",3,1
"2023","July","Chemical & Biomedical Engineering",3,2
"2023","July","Chemistry",1,0
"2023","July","Civil & Architectural Engineering & Construction Management",4,1
"2023","July","Communication Disorders",1,0
"2023","July","Economics",1,1
"2023","July","Ecosystem Science & Management",4,2
"2023","July","Electrical Engineering & Computer Science",3,1
"2023","July","Energy & Petroleum Engineering",6,5
"2023","July","English",1,0
"2023","July","Geology & Geophysics",1,1
"2023","July","Haub School of Environment & Natural Resources",8,8
"2023","July","Kinesiology & Health",1,1
"2023","July","Mathematics & Statistics",2,2
"2023","July","Mechanical Engineering",2,1
"2023","July","Molecular Biology",1,0
"2023","July","Office of Preaward Services",1,1
"2023","July","Plant Sciences",2,1
"2023","July","Politics Public Affairs & International Studies",1,1
"2023","July","R&E Center Powell",4,4
"2023","July","R&E Center Sheridan",1,1
"2023","July","School of Computing",1,0
"2023","July","School of Energy Resources Directors Office",1,1
"2023","July","Science Institute",1,1
"2023","July","Small Business Development Center",1,1
"2023","July","Student Educational Opportunity",2,0
"2023","July","Theatre & Dance",1,1
"2023","July","UW Extension",1,1
"2023","July","VP for Research & Economic Development Office",5,2
"2023","July","VP of Global Engagement",1,1
"2023","July","Veterinary Science",2,2
"2023","July","Wyo Natural Diversity Database",2,2
"2023","July","Wyoming Coop Unit",2,2
"2023","July","Wyoming Geographic Information Science Center",3,1
"2023","July","Wyoming Institute for Disabilities WIND",1,0
"2023","July","Wyoming Survey & Analysis Center",3,1
"2023","July","Zoology & Physiology",10,6
"2023","July",NA,4,0
"2023","June","AVP for Economic Development Office",3,1
"2023","June","Accounting & Finance",1,0
"2023","June","Advanced Research Computing Center",1,0
"2023","June","Agricultural Experiment Station",1,1
"2023","June","Agriculture & Applied Economics",1,0
"2023","June","Animal Science",19,8
"2023","June","Anthropology",3,1
"2023","June","Atmospheric Science",13,1
"2023","June","Botany",7,1
"2023","June","Chemical & Biomedical Engineering",5,1
"2023","June","Chemistry",6,0
"2023","June","Civil & Architectural Engineering & Construction Management",13,1
"2023","June","College of Law Deans Office",2,1
"2023","June","Communication Disorders",11,2
"2023","June","Counseling Leadership Advocacy & Design",1,0
"2023","June","Criminal Justice & Sociology",1,0
"2023","June","EPSCoR/IDEA Office",1,0
"2023","June","Economics",3,2
"2023","June","Ecosystem Science & Management",8,1
"2023","June","Educational Health Center of Wyoming",1,0
"2023","June","Electrical Engineering & Computer Science",12,0
"2023","June","Energy & Petroleum Engineering",18,2
"2023","June","Engineering & Physical Sciences Deans Office",1,0
"2023","June","English",1,0
"2023","June","Family & Consumer Sciences",1,1
"2023","June","Family Medicine Residency Programs Casper",1,1
"2023","June","Family Medicine Residency Programs Cheyenne",1,0
"2023","June","Geology & Geophysics",6,2
"2023","June","Haub School of Environment & Natural Resources",13,8
"2023","June","IMPACT 307",1,0
"2023","June","Kinesiology & Health",10,1
"2023","June","Libraries Education & Research Services",1,0
"2023","June","Management & Marketing",1,0
"2023","June","Manufacturing Works",1,1
"2023","June","Mathematics & Statistics",3,1
"2023","June","Mechanical Engineering",7,0
"2023","June","Molecular Biology",12,3
"2023","June","Physics & Astronomy",16,3
"2023","June","Plant Sciences",5,3
"2023","June","Politics Public Affairs & International Studies",5,0
"2023","June","Psychology",4,0
"2023","June","R&E Center Powell",1,0
"2023","June","School of Computing",4,2
"2023","June","School of Energy Resources Directors Office",7,0
"2023","June","School of Energy Resources Subdivision",1,0
"2023","June","School of Nursing",2,0
"2023","June","School of Pharmacy",7,1
"2023","June","School of Teacher Education",3,0
"2023","June","UW Extension",2,2
"2023","June","University Art Museum",1,1
"2023","June","VP Student Affairs Office",1,0
"2023","June","VP of Global Engagement",1,0
"2023","June","Visual Arts",1,0
"2023","June","Wyo Natural Diversity Database",6,1
"2023","June","Wyoming Coop Unit",27,13
"2023","June","Wyoming Geographic Information Science Center",6,0
"2023","June","Wyoming Institute for Disabilities WIND",5,3
"2023","June","Wyoming Public Media",1,1
"2023","June","Wyoming Survey & Analysis Center",6,0
"2023","June","Zoology & Physiology",16,4
"2023","June",NA,25,0
"2023","May","Civil & Architectural Engineering & Construction Management",1,1
"2023","May","Economics",1,1
"2023","May","Ecosystem Science & Management",1,0
"2023","May","Electrical Engineering & Computer Science",1,0
"2023","May","Energy & Petroleum Engineering",1,0
"2023","May","Haub School of Environment & Natural Resources",1,1
"2023","May","IMPACT 307",1,1
"2023","May","Kinesiology & Health",1,1
"2023","May","Mechanical Engineering",1,1
"2023","May","Molecular Biology",1,1
"2023","May","Physics & Astronomy",1,1
"2023","May","VP for Research & Economic Development Office",1,0
"2023","May","Wyo Natural Diversity Database",1,1
"2023","May","Wyoming Geographic Information Science Center",1,1
"2023","May","Wyoming Survey & Analysis Center",1,1
"2023","May","Zoology & Physiology",2,2
"2023","May",NA,2,0
"2023","November","Animal Science",2,0
"2023","November","Atmospheric Science",3,0
"2023","November","Botany",3,0
"2023","November","Chemical & Biomedical Engineering",1,0
"2023","November","Chemistry",2,1
"2023","November","Civil & Architectural Engineering & Construction Management",5,1
"2023","November","Ecosystem Science & Management",1,0
"2023","November","Electrical Engineering & Computer Science",3,1
"2023","November","Energy & Petroleum Engineering",5,1
"2023","November","Engineering & Physical Sciences Deans Office",1,0
"2023","November","Enhanced Oil Recovery Institute",2,1
"2023","November","Geology & Geophysics",1,0
"2023","November","Haub School of Environment & Natural Resources",1,1
"2023","November","IMPACT 307",2,1
"2023","November","Modern & Classical Languages",1,1
"2023","November","Molecular Biology",1,0
"2023","November","Physics & Astronomy",4,0
"2023","November","Plant Sciences",2,1
"2023","November","Research & Economic Development Division",1,0
"2023","November","School of Computing",2,0
"2023","November","School of Energy Resources Directors Office",6,1
"2023","November","Science Institute",1,0
"2023","November","Transportation Services",3,3
"2023","November","UW Extension",2,1
"2023","November","Wyoming Coop Unit",1,1
"2023","November","Wyoming Geographic Information Science Center",1,0
"2023","November","Wyoming Institute for Disabilities WIND",4,2
"2023","November","Wyoming Survey & Analysis Center",1,0
"2023","November","Zoology & Physiology",4,0
"2023","November",NA,2,1
"2023","October","Animal Science",1,0
"2023","October","Atmospheric Science",1,0
"2023","October","Botany",2,2
"2023","October","COB Centers for Excellence",2,2
"2023","October","Chemical & Biomedical Engineering",2,0
"2023","October","Chemistry",1,0
"2023","October","Civil & Architectural Engineering & Construction Management",6,2
"2023","October","Ecosystem Science & Management",1,1
"2023","October","Electrical Engineering & Computer Science",2,0
"2023","October","Energy & Petroleum Engineering",2,0
"2023","October","Geology & Geophysics",1,0
"2023","October","Haub School of Environment & Natural Resources",3,2
"2023","October","Honors College",1,0
"2023","October","Kinesiology & Health",4,0
"2023","October","Mechanical Engineering",2,0
"2023","October","Molecular Biology",2,0
"2023","October","Physics & Astronomy",5,1
"2023","October","Plant Sciences",2,0
"2023","October","Politics Public Affairs & International Studies",2,0
"2023","October","Psychology",1,0
"2023","October","Research & Economic Development Division",1,0
"2023","October","Rural Health",1,0
"2023","October","School of Computing",2,1
"2023","October","School of Energy Resources Directors Office",1,1
"2023","October","School of Teacher Education",1,0
"2023","October","UW Extension",2,0
"2023","October","Wyo Natural Diversity Database",1,1
"2023","October","Wyoming Survey & Analysis Center",1,1
"2023","October","Zoology & Physiology",3,2
"2023","October",NA,3,0
"2023","September","Animal Science",2,1
"2023","September","Applications & Customer Relations",1,0
"2023","September","Atmospheric Science",1,0
"2023","September","Botany",2,1
"2023","September","COB Centers for Excellence",1,1
"2023","September","Chemical & Biomedical Engineering",3,0
"2023","September","Chemistry",1,0
"2023","September","Civil & Architectural Engineering & Construction Management",6,2
"2023","September","Communication Disorders",4,0
"2023","September","Economics",2,2
"2023","September","Ecosystem Science & Management",1,0
"2023","September","Educational Health Center of Wyoming",1,1
"2023","September","Electrical Engineering & Computer Science",5,1
"2023","September","Energy & Petroleum Engineering",2,1
"2023","September","Engineering & Physical Sciences Deans Office",1,0
"2023","September","Fine Arts Outreach",1,1
"2023","September","Geology & Geophysics",1,1
"2023","September","Haub School of Environment & Natural Resources",1,0
"2023","September","INBRE Program",1,1
"2023","September","Kinesiology & Health",3,0
"2023","September","Life Science Program",2,2
"2023","September","Mathematics & Statistics",1,0
"2023","September","Mechanical Engineering",1,1
"2023","September","Molecular Biology",1,1
"2023","September","Plant Sciences",1,1
"2023","September","Psychology",2,0
"2023","September","School of Nursing",1,0
"2023","September","School of Teacher Education",1,0
"2023","September","Small Business Development Center",1,1
"2023","September","UW Extension",1,1
"2023","September","VP of Global Engagement",1,1
"2023","September","Wyo Natural Diversity Database",2,2
"2023","September","Wyoming Coop Unit",2,2
"2023","September","Wyoming Geographic Information Science Center",2,2
"2023","September","Wyoming Institute for Disabilities WIND",1,1
"2023","September","Wyoming Public Media",3,2
"2023","September","Wyoming Survey & Analysis Center",3,0
"2023","September","Zoology & Physiology",7,2
"2023","September",NA,4,0
"2024","April","Agriculture & Applied Economics",1,0
"2024","April","Albany Community Health Clinic",1,0
"2024","April","American Heritage Center",1,0
"2024","April","Animal Science",2,0
"2024","April","Botany",2,1
"2024","April","Center of Innovation for Flow through Porous Media",1,1
"2024","April","Chemical & Biomedical Engineering",1,1
"2024","April","Chemistry",2,0
"2024","April","Civil & Architectural Engineering & Construction Management",3,0
"2024","April","College of Education Deans Office",3,2
"2024","April","Communication Disorders",2,1
"2024","April","Economics",1,1
"2024","April","Ecosystem Science & Management",2,2
"2024","April","Electrical Engineering & Computer Science",5,2
"2024","April","Energy & Petroleum Engineering",1,0
"2024","April","Engineering & Physical Sciences Deans Office",1,1
"2024","April","Geology & Geophysics",3,1
"2024","April","Haub School of Environment & Natural Resources",9,8
"2024","April","Industry & Strategic Partnerships Office",1,1
"2024","April","Manufacturing Works",2,1
"2024","April","Mechanical Engineering",1,0
"2024","April","Molecular Biology",2,0
"2024","April","Physics & Astronomy",1,0
"2024","April","Plant Sciences",6,4
"2024","April","Politics Public Affairs & International Studies",1,0
"2024","April","Psychology",1,1
"2024","April","School of Computing",1,0
"2024","April","School of Energy Resources Directors Office",2,2
"2024","April","School of Nursing",1,0
"2024","April","School of Pharmacy",1,0
"2024","April","Science Institute",1,0
"2024","April","Small Business Development Center",2,1
"2024","April","Transportation Services",1,1
"2024","April","UW Extension",2,2
"2024","April","VP for Research & Economic Development Office",1,1
"2024","April","Veterinary Science",1,1
"2024","April","Wyo Natural Diversity Database",1,1
"2024","April","Wyoming Coop Unit",2,2
"2024","April","Wyoming Geographic Information Science Center",2,1
"2024","April","Wyoming Institute for Disabilities WIND",1,0
"2024","April","Wyoming Public Media",1,1
"2024","April","Wyoming Survey & Analysis Center",6,4
"2024","April",NA,1,0
"2024","August","Agricultural Experiment Station",2,1
"2024","August","Agriculture & Applied Economics",1,0
"2024","August","Animal Science",1,0
"2024","August","Atmospheric Science",5,0
"2024","August","Botany",2,0
"2024","August","Chemical & Biomedical Engineering",1,0
"2024","August","Chemistry",3,1
"2024","August","Civil & Architectural Engineering & Construction Management",3,1
"2024","August","College of Law Deans Office",1,1
"2024","August","Communication Disorders",2,0
"2024","August","Counseling Leadership Advocacy & Design",2,0
"2024","August","Economics",1,1
"2024","August","Ecosystem Science & Management",3,2
"2024","August","Electrical Engineering & Computer Science",3,0
"2024","August","Energy & Petroleum Engineering",2,0
"2024","August","Haub School of Environment & Natural Resources",2,2
"2024","August","History",1,1
"2024","August","Kinesiology & Health",2,0
"2024","August","Mechanical Engineering",1,0
"2024","August","Molecular Biology",3,0
"2024","August","Physics & Astronomy",3,0
"2024","August","Psychology",1,1
"2024","August","School of Computing",1,0
"2024","August","School of Energy Resources Directors Office",3,1
"2024","August","School of Pharmacy",4,1
"2024","August","School of Teacher Education",1,0
"2024","August","Small Business Development Center",1,0
"2024","August","Theatre & Dance",1,1
"2024","August","UW Extension",2,1
"2024","August","Veterinary Science",1,0
"2024","August","Wyoming Coop Unit",1,0
"2024","August","Wyoming Geographic Information Science Center",1,0
"2024","August","Wyoming Institute for Disabilities WIND",1,0
"2024","August","Wyoming Public Media",2,0
"2024","August","Wyoming Public Media,Wyoming Public Media",1,0
"2024","August","Wyoming Survey & Analysis Center",1,1
"2024","August","Zoology & Physiology",2,0
"2024","August",NA,1,0
"2024","December","American Heritage Center",1,1
"2024","December","Animal Science",1,0
"2024","December","Atmospheric Science",2,0
"2024","December","Botany",1,0
"2024","December","Chemical & Biomedical Engineering",3,1
"2024","December","Civil & Architectural Engineering & Construction Management",1,1
"2024","December","EPSCoR/IDEA Office",1,0
"2024","December","Electrical Engineering & Computer Science",1,0
"2024","December","Haub School of Environment & Natural Resources",7,1
"2024","December","Kinesiology & Health",1,0
"2024","December","Molecular Biology",4,2
"2024","December","Physics & Astronomy",1,0
"2024","December","Plant Sciences",1,1
"2024","December","School of Computing",1,0
"2024","December","School of Computing,Haub School of Environment & Natural Resources",1,0
"2024","December","School of Energy Resources Directors Office",2,0
"2024","December","School of Nursing",1,0
"2024","December","School of Pharmacy",1,0
"2024","December","Theatre & Dance",1,0
"2024","December","Veterinary Science",2,0
"2024","December","Wyo Natural Diversity Database",2,0
"2024","December","Wyoming Institute for Disabilities WIND",5,1
"2024","December","Wyoming Public Media",1,0
"2024","December","Wyoming Survey & Analysis Center",2,2
"2024","December","Zoology & Physiology",4,0
"2024","February","Agriculture & Applied Economics",1,1
"2024","February","Albany Community Health Clinic,Family Medicine Residency Programs Casper,Family Medicine Residency Programs Cheyenne",1,0
"2024","February","Botany",4,3
"2024","February","Center of Innovation for Flow through Porous Media",1,0
"2024","February","Civil & Architectural Engineering & Construction Management",6,1
"2024","February","Economics",1,0
"2024","February","Ecosystem Science & Management",2,1
"2024","February","Electrical Engineering & Computer Science",7,0
"2024","February","Energy & Petroleum Engineering",4,0
"2024","February","Haub School of Environment & Natural Resources",2,2
"2024","February","Industry & Strategic Partnerships Office",1,1
"2024","February","Kinesiology & Health",2,1
"2024","February","Mathematics & Statistics",1,1
"2024","February","Mechanical Engineering",2,0
"2024","February","Modern & Classical Languages",1,1
"2024","February","Physics & Astronomy",5,0
"2024","February","Plant Sciences",1,1
"2024","February","Psychology",3,0
"2024","February","R&E Center Powell",1,1
"2024","February","Rural Health",1,0
"2024","February","School of Energy Resources Directors Office",1,0
"2024","February","School of Nursing",2,1
"2024","February","UW Extension",1,1
"2024","February","University Police",1,1
"2024","February","Veterinary Science",1,0
"2024","February","Wyo Natural Diversity Database",4,4
"2024","February","Wyoming Coop Unit",5,4
"2024","February","Wyoming Institute for Disabilities WIND",2,1
"2024","February","Wyoming Public Media",4,2
"2024","February","Wyoming Survey & Analysis Center",4,3
"2024","February","Zoology & Physiology",2,0
"2024","February",NA,1,0
"2024","January","Animal Science",1,0
"2024","January","Atmospheric Science",7,1
"2024","January","Botany",2,2
"2024","January","Chemistry",2,0
"2024","January","Civil & Architectural Engineering & Construction Management",3,1
"2024","January","Communication Disorders",2,0
"2024","January","Counseling Leadership Advocacy & Design",1,0
"2024","January","EPSCoR/IDEA Office",1,1
"2024","January","Ecosystem Science & Management",3,2
"2024","January","Electrical Engineering & Computer Science",2,0
"2024","January","Energy & Petroleum Engineering",5,1
"2024","January","Family & Consumer Sciences",1,0
"2024","January","Geology & Geophysics",2,0
"2024","January","Haub School of Environment & Natural Resources",11,8
"2024","January","INBRE Program",1,1
"2024","January","Kinesiology & Health",1,1
"2024","January","Mathematics & Statistics",2,0
"2024","January","Mechanical Engineering",2,1
"2024","January","Molecular Biology",5,0
"2024","January","Physics & Astronomy",5,1
"2024","January","Plant Sciences",1,1
"2024","January","Politics Public Affairs & International Studies",1,1
"2024","January","Psychology",2,0
"2024","January","School of Energy Resources Directors Office",4,2
"2024","January","UW Extension",1,1
"2024","January","VP of Global Engagement",1,1
"2024","January","Wyo Natural Diversity Database",7,4
"2024","January","Wyoming Coop Unit",13,9
"2024","January","Wyoming Geographic Information Science Center",3,1
"2024","January","Wyoming Institute for Disabilities WIND",1,1
"2024","January","Wyoming Public Media",1,0
"2024","January","Wyoming Survey & Analysis Center",2,1
"2024","January","Zoology & Physiology",14,6
"2024","January",NA,5,0
"2024","July","Accounting & Finance",1,0
"2024","July","Animal Science",1,0
"2024","July","Atmospheric Science",3,0
"2024","July","Botany",2,0
"2024","July","Civil & Architectural Engineering & Construction Management",2,1
"2024","July","College of Arts & Sciences Deans Office",1,0
"2024","July","Counseling Leadership Advocacy & Design",1,0
"2024","July","Ecosystem Science & Management",2,1
"2024","July","Electrical Engineering & Computer Science",1,0
"2024","July","Energy & Petroleum Engineering",2,0
"2024","July","Engineering & Physical Sciences Deans Office",1,1
"2024","July","Haub School of Environment & Natural Resources",3,3
"2024","July","Kinesiology & Health",1,0
"2024","July","Molecular Biology",2,0
"2024","July","Plant Sciences",1,0
"2024","July","School of Computing",4,1
"2024","July","School of Energy Resources Directors Office",3,0
"2024","July","School of Pharmacy",1,0
"2024","July","Small Business Development Center",1,1
"2024","July","Wyo Natural Diversity Database",2,2
"2024","July","Wyoming Institute for Disabilities WIND",3,1
"2024","July","Wyoming Survey & Analysis Center",1,1
"2024","July","Zoology & Physiology",2,0
"2024","July",NA,4,1
"2024","June","Botany",2,1
"2024","June","COB Centers for Excellence",3,3
"2024","June","Chemical & Biomedical Engineering",2,0
"2024","June","Civil & Architectural Engineering & Construction Management",4,2
"2024","June","Counseling Leadership Advocacy & Design",1,0
"2024","June","Criminal Justice & Sociology",1,0
"2024","June","Economics",1,1
"2024","June","Ecosystem Science & Management",1,1
"2024","June","Educational Health Center of Wyoming",1,0
"2024","June","Electrical Engineering & Computer Science",2,0
"2024","June","Engineering & Physical Sciences Deans Office",1,1
"2024","June","Geology & Geophysics",2,0
"2024","June","Haub School of Environment & Natural Resources",4,3
"2024","June","IMPACT 307",1,0
"2024","June","Mathematics & Statistics",1,0
"2024","June","Plant Sciences",3,2
"2024","June","Psychology",2,1
"2024","June","School of Computing",2,1
"2024","June","School of Computing,Haub School of Environment & Natural Resources",1,1
"2024","June","School of Energy Resources Department",1,1
"2024","June","School of Nursing",1,0
"2024","June","Student Educational Opportunity",1,0
"2024","June","UW Extension",2,1
"2024","June","Veterinary Science",3,1
"2024","June","Wyo Natural Diversity Database",1,1
"2024","June","Wyoming Coop Unit",2,0
"2024","June","Wyoming Survey & Analysis Center",3,2
"2024","June","Zoology & Physiology",2,1
"2024","June",NA,5,0
"2024","March","Agriculture & Applied Economics",1,0
"2024","March","Animal Science",1,0
"2024","March","Atmospheric Science",2,2
"2024","March","Biodiversity Institute",1,0
"2024","March","Botany",1,0
"2024","March","Chemistry",4,1
"2024","March","Civil & Architectural Engineering & Construction Management",3,2
"2024","March","Communication Disorders",1,0
"2024","March","Ecosystem Science & Management",1,1
"2024","March","Electrical Engineering & Computer Science",1,0
"2024","March","Energy & Petroleum Engineering",2,1
"2024","March","Fine Arts Outreach",1,1
"2024","March","Geology & Geophysics",2,0
"2024","March","Haub School of Environment & Natural Resources",2,1
"2024","March","IMPACT 307",1,1
"2024","March","Kinesiology & Health",1,1
"2024","March","Manufacturing Works",1,0
"2024","March","Mechanical Engineering",1,0
"2024","March","Molecular Biology",2,1
"2024","March","Physics & Astronomy",1,0
"2024","March","Plant Sciences",2,1
"2024","March","Politics Public Affairs & International Studies",1,1
"2024","March","Psychology",1,1
"2024","March","School of Computing",1,0
"2024","March","School of Pharmacy",1,0
"2024","March","School of Teacher Education",1,1
"2024","March","UW Extension",1,0
"2024","March","University Art Museum",1,1
"2024","March","VP of Global Engagement",1,1
"2024","March","Wyo Natural Diversity Database",1,1
"2024","March","Wyoming Coop Unit",1,1
"2024","March","Wyoming Geographic Information Science Center",2,2
"2024","March","Wyoming Survey & Analysis Center",3,1
"2024","March","Zoology & Physiology",2,1
"2024","March",NA,1,0
"2024","May","Agricultural Experiment Station",1,1
"2024","May","American Heritage Center",2,1
"2024","May","Animal Science",1,0
"2024","May","Anthropology",1,1
"2024","May","Atmospheric Science",4,0
"2024","May","Botany",1,0
"2024","May","Civil & Architectural Engineering & Construction Management",2,1
"2024","May","Counseling Leadership Advocacy & Design",1,1
"2024","May","Criminal Justice & Sociology",1,0
"2024","May","EPSCoR/IDEA Office",1,0
"2024","May","Economics",1,0
"2024","May","Ecosystem Science & Management",3,1
"2024","May","Electrical Engineering & Computer Science",1,0
"2024","May","Energy & Petroleum Engineering",1,1
"2024","May","Geology & Geophysics",1,1
"2024","May","Haub School of Environment & Natural Resources",4,1
"2024","May","Industry & Strategic Partnerships Office",1,1
"2024","May","Kinesiology & Health",2,1
"2024","May","Manufacturing Works",1,0
"2024","May","Mechanical Engineering",1,0
"2024","May","Molecular Biology",3,1
"2024","May","Physics & Astronomy",3,2
"2024","May","Plant Sciences",3,3
"2024","May","Psychology",3,0
"2024","May","R&E Center Sheridan,Plant Sciences",1,1
"2024","May","School of Energy Resources Directors Office",4,0
"2024","May","School of Nursing",1,0
"2024","May","Small Business Development Center",1,1
"2024","May","UW Extension",1,1
"2024","May","VP for Research & Economic Development Office",2,1
