"Project Title","Proposal #","PI Unit","College (Subdivision)","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month","Status","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","Obligated Amount in Award Data","Total Expected Amount in Award Data","Direct Costs in Award Data","expected direct in Award Data","expected indirect in Award Data","Indirect Costs in Award Data","Total Project Cost in Award Data"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412035","374577.27","37457.73","412035","91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412035","374577.27","37457.73","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","91192","82073","9119","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","91192","82073","9119","412035","394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","91192","82073","9119","412035","412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","91192","82073","9119","412035","91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","91192","82073","9119","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded",NA,NA,NA,NA,"412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded",NA,NA,NA,NA,"394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded",NA,NA,NA,NA,"412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded",NA,NA,NA,NA,"91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded",NA,NA,NA,NA,"412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412005","374550","37455","412005","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412005","374550","37455","412005","394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412005","374550","37455","412005","412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412005","374550","37455","412005","91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412005","374550","37455","412005","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","91192","82073","9119","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","91192","82073","9119","412035","394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","91192","82073","9119","412035","412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","91192","82073","9119","412035","91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","91192","82073","9119","412035","412005","412005",374550,"374550","37455",37455,"412005"
"2024 Judicial Performance Assessment (JPA)","24-0859-P0001","Wyoming Survey & Analysis Center","Research","Brian J. Harnisch",2024-02-28,"3/22/2024 14:51","5/8/2024 11:21","Funded","2024","February","Funded","23120.29","19266.91","3853.38","23120.29","23120.29","23120",19266.91,"19266.91","3853.38",3853.38,"23120.29"
"2024 State Justice Statistics","24-1038-P0001","Wyoming Survey & Analysis Center","Research","Laurel Allison Wimbish",2024-05-23,"6/27/2024 9:39","10/4/2024 13:04","Funded","2024","May","Funded","206827","154348.5","52478.5","206827","217924","217924",162630,"162630","55294",55294,"217924"
"2025 PSEPFMP Funds","25-0226-P0001","UW Extension","College of Agriculture, Life Sciences & Natural Resources","Jeremiah Vardiman",2024-10-15,"11/12/2024 9:11","1/24/2025 16:41","Funded","2024","October","Funded","18685","13944.03","4740.97","18685","19849","19849",14813,"14813","5036",5036,"19849"
"2025/2026 Wyoming Kids Count","25-0374-P0001","Wyoming Survey & Analysis Center","Research","Laurel Allison Wimbish",2024-12-13,"1/15/2025 9:28",NA,"Funded","2024","December","Under Consideration","65000","65000","0","65000","65000","65000",65000,"65000","0",0,"65000"
"A DYI Manual for the Fabrication and Assembly of Semi-Permanent Geodesic Dome Greenhouses for use in Specialty Crop Production","25-0334-P0001","UW Extension","College of Agriculture, Life Sciences & Natural Resources","Jeffrey Michael Edwards",2024-11-21,"1/29/2025 17:52",NA,"Funded","2024","November","Under Consideration","68134.31","68134.31","0","68134.31",NA,NA,NA,NA,NA,NA,"68134.31"
"A Novel IL-35 Expressing Probiotic Platform for Inducing Allergen Specific Tolerance","24-1113-P0001","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","David W Pascual",2024-06-28,"7/10/2024 8:10","7/10/2024 8:10","Funded","2024","June","Funded","20750","14360","6390","20750","20750","20750",14360,"14360","6390",6390,"20750"
"AAPG GIA Brad Ackroyd","24-0971-P0001","Geology & Geophysics","College of Engineering & Physical Sciences","John P. Kaszuba",2024-04-23,"7/30/2024 13:58","8/19/2024 8:50","Funded","2024","April","Funded","2500","2500","0","2500","2500","2500",2500,"2500","0",0,"2500"
"AARC","24-0984-P0001","Communication Disorders","College of Health Sciences","Eleanor Gulick",2024-04-26,NA,"9/20/2024 13:10","Funded","2024","April","Funded","5000","5000","0","5000","5000","5000",5000,"5000","0",0,"5000"
"ACU Energy Project","24-0924-P0001","Center of Innovation for Flow through Porous Media","Research & Economic Development","Mohammad Piri",2024-04-04,"7/31/2024 12:45","7/31/2024 12:45","Funded","2024","April","Funded","15000000","12228374","2771626","15000000","15000000","15000000",12228372,"12228372","2771628",2771628,"15000000"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"48000","48000",43636,"43636","4364",4364,"48000"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"43500","43500",39150,"39150","4350",4350,"43500"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"147000",NA,NA,NA,NA,NA,NA
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"147000","147000",NA,NA,NA,NA,NA
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"43500","43500",39150,"39150","4350",4350,"43500"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"48000","48000",43636,"43636","4364",4364,"48000"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"43500","43500",39150,"39150","4350",4350,"43500"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"147000",NA,NA,NA,NA,NA,NA
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"147000","147000",NA,NA,NA,NA,NA
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded",NA,NA,NA,NA,"43500","43500",39150,"39150","4350",4350,"43500"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded","48292","43902","4390","96584","48000","48000",43636,"43636","4364",4364,"48000"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded","48292","43902","4390","96584","43500","43500",39150,"39150","4350",4350,"43500"
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded","48292","43902","4390","96584","147000",NA,NA,NA,NA,NA,NA
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded","48292","43902","4390","96584","147000","147000",NA,NA,NA,NA,NA
"Adaptive Management of the NPL Gas Field for Sage-grouse","23-1369-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Jeffrey L. Beck",2024-07-31,"8/27/2024 10:50","9/3/2024 15:50","Funded","2024","July","Funded","48292","43902","4390","96584","43500","43500",39150,"39150","4350",4350,"43500"
"Advancing pepper production in Wyoming","24-0889-P0001","Plant Sciences","College of Agriculture, Life Sciences & Natural Resources","Donna Karen Harris",2024-03-11,NA,"12/10/2024 15:48","Funded","2024","March","Funded","99247.82","99247.82","0","99247.82","99247.82","99247.82",99247.82,"99247.82","0",0,"99247.82"
"Agronomic Product Evaluation","25-0376-P0001","Plant Sciences","College of Agriculture, Life Sciences & Natural Resources","Andrew R. Kniss",2024-12-13,"1/13/2025 9:02","1/13/2025 9:02","Funded","2024","December","Funded","7350","7350","0","7350","7350","7350",6982.5,"6982.5","367.5",367.5,"7350"
"Agronomic Product Evaluations (UPL)","24-0932-P0001","Plant Sciences","College of Agriculture, Life Sciences & Natural Resources","Andrew R. Kniss",2024-04-08,"6/26/2024 10:45","6/26/2024 10:45","Funded","2024","April","Funded","4400","4190","210","4400","4400","4400",4180,"4180","220",220,"4400"
"AlloSource Research Agreement","25-0088-P0001","School of Pharmacy","College of Health Sciences","Jared S. Bushman",2024-08-26,"10/1/2024 12:16","10/18/2024 14:07","Funded","2024","August","Funded","109351","75676","33676","109351","109351","109351",75676,"75676","33676",33676,"109351"
"American Heritage Center: Wyoming History in Seventy-six objects for State's Semiquincentennial Celebration","25-0370-P0001","American Heritage Center","Provost","Paul V.M. Flesher",2024-12-12,"1/10/2025 16:16",NA,"Funded","2024","December","Under Consideration","31000","31000","0","31000","31000","31000",31000,"31000","0",0,"31000"
"An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","23-0620-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Jerod Andrew Merkle",2024-01-29,"2/19/2024 13:36","8/15/2024 11:37","Funded","2024","January","Funded","50436","50436","0","50436","400000",NA,NA,NA,NA,NA,NA
"An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","23-0620-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Jerod Andrew Merkle",2024-01-29,"2/19/2024 13:36","8/15/2024 11:37","Funded","2024","January","Funded","50436","50436","0","50436","50436","50436",50436,"50436","0",0,"50436"
"An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","23-0620-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Jerod Andrew Merkle",2024-01-29,"2/19/2024 13:36","8/15/2024 11:37","Funded","2024","January","Funded",NA,NA,NA,NA,"400000",NA,NA,NA,NA,NA,NA
"An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","23-0620-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Jerod Andrew Merkle",2024-01-29,"2/19/2024 13:36","8/15/2024 11:37","Funded","2024","January","Funded",NA,NA,NA,NA,"50436","50436",50436,"50436","0",0,"50436"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","$20385.00","$20385.00","0","$20385.00","4138","4138",4138,"4138","0",0,"18804"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","$20385.00","$20385.00","0","$20385.00","18804","18804",18804,"18804","0",0,"$20385.00"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","$20385.00","$20385.00","0","$20385.00","18804","18804",18804,"18804","0",0,"$20385.00"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","$20385.00","$20385.00","0","$20385.00","8154","8154",8154,"8154","0",0,"$20385.00"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","18804","18804","0","18804","4138","4138",4138,"4138","0",0,"18804"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","18804","18804","0","18804","18804","18804",18804,"18804","0",0,"$20385.00"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","18804","18804","0","18804","18804","18804",18804,"18804","0",0,"$20385.00"
"Animal Health and Disease Research Capacity","24-0483-P0002","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","Eric P Webster",2024-09-25,"9/27/2024 8:57","12/18/2024 14:33","Funded","2024","September","Funded","18804","18804","0","18804","8154","8154",8154,"8154","0",0,"$20385.00"
"Antibiofilm mouthwash for children","25-0244-P0001","Molecular Biology","College of Agriculture, Life Sciences & Natural Resources","Mark Gomelsky",2024-10-22,"10/30/2024 10:41",NA,"Funded","2024","October","Under Consideration","30000","27273","2727","30000","10000","10000",9091,"9091","909",909,"30000"
"Archaeological Survey of the Trident Plateau, Two Ocean Plateau, and in the Absaroka Range, Yellowstone National Park.","24-1017-P0001","Anthropology","College of Arts & Sciences","Marcia L. Peterson",2024-05-09,"5/22/2024 14:57","9/20/2024 11:44","Funded","2024","May","Funded","158271.98","134699.56","23572.78","158271.98","158271.98","158271.98",134699.57,"134699.57","23572.41",23572.41,"158271.98"
"ASK (After School for Kids) GA Funding","24-0676-P0001","Kinesiology & Health","College of Health Sciences","Kelly L. Simonton",2024-01-08,NA,"2/22/2024 8:28","Funded","2024","January","Funded","12825","12825","0","12825","12825","12825",12825,"12825","0",0,"12825"
"Assessing Native Legumes for Environmental Landscaping and Horticulture Through Plant Toxicity Surveys and Field Studies","25-0296-P0001","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Kristina Hufford",2024-11-07,"1/30/2025 8:30",NA,"Funded","2024","November","Under Consideration",NA,NA,NA,NA,"27702","27702",27702,"27702","0",0,"27702"
"Assessing Native Legumes for Environmental Landscaping and Horticulture Through Plant Toxicity Surveys and Field Studies","25-0296-P0001","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Kristina Hufford",2024-11-07,"1/30/2025 8:30",NA,"Funded","2024","November","Under Consideration",NA,NA,NA,NA,"42109",NA,NA,NA,NA,NA,NA
"Assessing Native Legumes for Environmental Landscaping and Horticulture Through Plant Toxicity Surveys and Field Studies","25-0296-P0001","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Kristina Hufford",2024-11-07,"1/30/2025 8:30",NA,"Funded","2024","November","Under Consideration","27702","27702","0","27702","27702","27702",27702,"27702","0",0,"27702"
"Assessing Native Legumes for Environmental Landscaping and Horticulture Through Plant Toxicity Surveys and Field Studies","25-0296-P0001","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Kristina Hufford",2024-11-07,"1/30/2025 8:30",NA,"Funded","2024","November","Under Consideration","27702","27702","0","27702","42109",NA,NA,NA,NA,NA,NA
"Bayesian petrophysical inversion with Gaussian mixture models","23-1771-P0004","Geology & Geophysics","College of Engineering & Physical Sciences","Dario Grana",2024-10-11,"11/4/2024 15:38","11/11/2024 7:54","Funded","2024","October","Funded","81630","56491","25139","81630","77090","77090",53349,"53349","23741",23741,"77090"
