Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0380-A0001-3,WYCS Micro-credentials for Wyoming PK-12 Teachers,396000,396000,375556,375556,20444,20444,
23-0955-A0001-0,"School Integrated Pest Management Program: Cooperative Agreement between Wyoming Department of Agriculture and University of Wyoming, Cooperative Extension",32000,,,,,,
23-0955-A0001-1,"School Integrated Pest Management Program: Cooperative Agreement between Wyoming Department of Agriculture and University of Wyoming, Cooperative Extension",32000,32000,32000,32000,0,0,32000
23-1391-A0001-0,WY Telehealth Network 22-23,137375,,,,,,
23-1391-A0001-1,WY Telehealth Network 22-23,151875,151875,124562,124562,25312,25312,151875
23-0157-A0001,Conservation Practices to Reduce Environmental and Economic Impacts of Invasive Species on Rangeland Ecosystem Services,183993.63,,,,,,
23-1903-A0001,Single-Crystalline and Polycrystalline Covalent Organic Framework Membranes,255203,660000,208980,,,46223,660000
23-1589-A0001-0,Floristic Inventory of Bighorn National Forest,20000,20000,17021.28,17021.28,2978.72,2978.72,26440.29
23-1589-A0001-1,Floristic Inventory of Bighorn National Forest,20000,20000,17021.28,17021.28,2978.72,2978.72,26440.29
23-0589-A0002-0,Priority Species (Bats) Monitoring and Surveillance,32000,32000,27234,27234,4766,4766,42528
23-0589-A0002-1,Priority Species (Bats) Monitoring and Surveillance,32000,32000,27234,27234,4766,4766,42528
23-0301-A0001,Sierra Madre Columbian Sharp-Tailed Grouse,5000,,,,,,
23-0441-A0001,Full Life-Cycle Effects of Natural Gas Development on Sagebrush Songbirds,186318,,,,,,
23-0281-A0001,McIntire-Stennis Capacity (2018-2020),287692,,,,,,
24-0022-A0002,Combining Traditional and Multiomic Approaches to Elucidate the Cause and Mechanisms of Canine Dysautonomia,,,,,,,113171
23-1161-A0001,"Assessment of Motorcycle Safety in Wyoming: Fatal and Severe Crashes, Contributing Factors and Potential Countermeasures",50510.01,,,,,,
23-0833-A0001,Hydropillic-Omniphobic HF Membrane-Based DCMD and Crytallization for Zero Liquid Discharge of Oilfield Produced Water,100000,,,,,,
24-0142-A0010-0,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,525512,525512,525512,525512,0,0,525512
24-0142-A0010-1,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,525512,525512,525512,525512,0,0,525512
23-1604-A0001,Big game migration mapping - developing methods for atypical migrants; USGS implementation of Secretarial Order 3362,62152,62152,55571,55527,6624,6624,62152
24-0168-A0001,NRCS and WYNDD data and information exchange,10000,10000,9090.91,9090.91,909.09,909.09,10000
23-0749-A0001,A scoping review of low carbohydrate diets with dietary animal protein components on cardiometabolic risk cardiometabolic risk,31973.28,,,,,,
23-0493-A0001-0,In vivo regulation of the extracellular matrix,1608522,,,,,,
23-0493-A0001-1,In vivo regulation of the extracellular matrix,1608522,2144696,1526400,1526400,618296,618296,2144696
23-0493-A0001-2,In vivo regulation of the extracellular matrix,1608522,2144696,1526400,1526400,618296,618296,2144696
23-0493-A0001-3,In vivo regulation of the extracellular matrix,2680870,2680870,1908000,1908000,772870,772870,2680870
23-0493-A0001-4,In vivo regulation of the extracellular matrix,2680870,2680870,1908000,1908000,772870,772870,2680870
24-0956-A0001,MPSG Facilitation and Engagement,0,0,0,0,0,0,74005.43
24-0197-A0001,Integrated Pharmacist Project,138000,,,,,,
23-1004-A0001,Ranger Maintenance CY21,3568.87,,,,,,
23-0341-A0001,Understanding use patterns of Canada lynx across landscape mosaics created by natural and anthropogenic disturbance factors,298324,,,,,,
23-0952-A0001-0,Collaborative Research: Common Environmental Drivers Determine the Occupation Chronology of AdÃ©lie Penguins and Moss Peatbanks on the Western Antarctic Peninsula,283540,,,,,,
23-0952-A0001-1,Collaborative Research: Common Environmental Drivers Determine the Occupation Chronology of AdÃ©lie Penguins and Moss Peatbanks on the Western Antarctic Peninsula,283540,,,,,,
23-0739-A0001,Manufacturing-Works (The Wyoming MEP) at the University of Wyoming - Year 5,606900,,,,,,
23-1919-A0001,University Center Economic Development,200000,400071, $158803.00 ,318860,81211, $41197.00 ,2007107
24-0577-A0001-0,"Walking the Line: Gender, Communication, and the New Manufacturing Workplace in Appalachia",40000,40000,40000,40000,0,0,40000
24-0577-A0001-1,"Walking the Line: Gender, Communication, and the New Manufacturing Workplace in Appalachia",40000,40000,40000,40000,0,0,40000
23-0057-A0001,Reconstructing evolutionary history in adaptive radiations with genomic data,747545,,,,,,
24-1091-A0001,Pesticide Safety Education Program FY24/25,185000,185000,185000,185000,0,0,185000
23-1135-A0001,Quantifying Genetic and Non-Genetic Factors Associated with Lamb Growth and Carcass Characteristics,28000,,,,,,
24-0987-A0001,RWO214: Do intact migration corridors enable climate resilience? ,122176,122176,106239.7,106239.7,15936.3,15936.3,122176
23-1210-A0001,Trail Work on the Continental Divide National Scenic Trail,11500,,,,,,
23-1197-A0001,Cover crop and herbicide combinations for season-long weed control in dry beans YR 2,25600,,,,,,
23-1425-A0001,Enhancing Remote Sensing Capabilities in Western Wyoming,20000,,,,,,
24-0104-A0001,Evaluating Factors Influencing Elk Recruitment-Response of Elk to Human Recreation,20748,20748,20748,20748,0,0,20748
23-0299-A0001,Topochemical synthesis of functional 2D materials,490529,,,,,,
23-0962-A0001,Livestock Responses to Adaptive Grazing Management in High Plains Rangelands,100000,,,,,,
24-0205-A0001,Support for Annie's Project in Wyoming 2017-2019,14500,,,,,,
23-1185-A0001,Wyoming Transportation Asset management Plan (TAMP),179877,,,,,,
23-1904-A0001,Investigating Townsend's big-eared bat response to environmental change,20817,20817,20817,20817,0,0,20817
23-0983-A0001,Fire effects on herbaceous regeneration across an invasion gradient in sagebrush steppe,16284.63,,,,,,
23-1003-A0001,"Uinta Mule Deer Survival, Movement, and Habitat Use 1121",50000,,,,,,
23-1321-A0001-0,Wyoming Mule Deer Herd Study,120000,,,,,,
23-1321-A0001-1,Wyoming Mule Deer Herd Study,120000,120000,120000,120000,0,0,120000
23-1321-A0001-2,Wyoming Mule Deer Herd Study,120000,120000,120000,120000,0,0,120000
23-1321-A0001-3,Wyoming Mule Deer Herd Study,200000,120000,200000,120000,0,0,200000
23-1321-A0001-4,Wyoming Mule Deer Herd Study,288500,288500,288500,288500,0,0,288500
24-0870-A0001,Project WyoTCH: Developing a Roadmap for a Sustainable Carbon Hub,499984,499984,359028,359028,140956,140956,625000
23-1461-A0001-0,Implementing Community Based Telehealth Infrastructure to Expand Healthcare to Vulnerable Populations,1,,,,,,
23-1461-A0001-1,Implementing Community Based Telehealth Infrastructure to Expand Healthcare to Vulnerable Populations,178200,178200,178200,178200,0,0,356400
23-1269-A0001,Bacterial stem cells for enhancing biodiesel production from lignocellulosic feedstocks,510734,,,,,,
24-0933-A0001-0,Grand Teton National Park Climate and Archaeology,2000,2000,1702,1702,298,298,161137
24-0933-A0001-1,Grand Teton National Park Climate and Archaeology,161137.19,161137.19,137138.03,137138.03,23999.16,23999.16,161137.19
24-0004-A0001-0,FY23 5339 WYDOT/FTA Capital Request (non-vehicles),1200000,1200000,1200000,1200000,0,0,1500000
24-0004-A0001-1,FY23 5339 WYDOT/FTA Capital Request (non-vehicles),1392206,1392206,1392206,1392206,0,0,1500000
23-0201-A0001,Quantification of Growing Season Crop Evapotranspiration and Crop Coefficients for Sugarbeet in WY,16350,,,,,,
23-1526-A0002,Wyoming IDeA Networks for Biomedical Research Excellence,200000,268795,200000,200000,68795,68795,268795
24-0895-A0001,Cross-Cultural Investigation of The Spectrum,5700,5700,5700,5700,0,0,5700
24-0166-A0002,Managing Annual Grasses Invading Natural Ecosystems,,,,,,,100000
23-1807-A0001-0,Enhancing Wyoming toad recovery through disease mitigation,120463.26,120463.26,111698.92,111698.92,8764.34,8764.34,1203129
23-1807-A0001-1,Enhancing Wyoming toad recovery through disease mitigation,120463.26,120463.26,111698.92,111698.92,8764.34,8764.34,1203129
24-0057-A0002,Creating Suicide Assessment for Use with the Virtual Home Simulation (VHS),16800,16800,14000,14000,2800,2800,16800
23-1089-A0001,Red Desert to Hoback Mule Deer (Sitka),30000,,,,,,
23-0648-A0001,Remotely controlled listeral bactodrones for cancer immunotherapy,345409,,,,,,
24-0480-A0001-0,Evaluation of blow-over risk reduction by wind fences using wind profile measurements,164138,164138,147717.27,147717.27,16420.57,16420.57,164138
24-0480-A0001-1,Evaluation of blow-over risk reduction by wind fences using wind profile measurements,164138,164138,147717.27,147717.27,16420.57,16420.57,164138
23-0557-A0001,Geospatial Hub,113943,,,,,,
23-1037-A0001,Functional Validation of TDP-43 splicing repression for frontotemporal degeneration FY22,352350,,,,,,
23-1340-A0001,Wyoming High Risk Rural Roads Program 2023,300000,,,,,,
23-0483-A0001-0,"Nurse Education, Practice, Quality, and Retention - Interprofessional Collaborative Practice",1485771,,,,,,
23-0483-A0001-1,"Nurse Education, Practice, Quality, and Retention - Interprofessional Collaborative Practice",1485771,1485771,1238143,1238143,247628,247628,1485771
23-0483-A0001-2,"Nurse Education, Practice, Quality, and Retention - Interprofessional Collaborative Practice",1468214.91,1485771,1224098.13,1238143,247628,244116.78,1468214.91
23-0003-A0001,Integrated Management of Invasive Weeds in Rangelands,57900,,,,,,
23-1700-A0001-0,CAREER: Reconstructing Human-Animal Relationships in Central Alaska during Social and Climatic Transitions,699527,699527,494043,494043,205484,205484,699527
23-1700-A0001-1,CAREER: Reconstructing Human-Animal Relationships in Central Alaska during Social and Climatic Transitions,699527,699527,494043,494043,205484,205484,699527
24-0319-A0004,Wyoming Local Technical Assistance Program (LTAP) Center,37500,37500,31250,31250,6250,6250,50000
24-0812-A0001,Snowy Range Joint Venture Agreement RMRS,80000,80000,80000,80000,0,0,100843.75
23-1887-A0001,Effects of predation on mule deer in the Wyoming range,29000,29000,29000,29000,0,0,29000
23-1221-A0003,Trail Construction with Pilot Hill Inc. Master Agreement,30000,30000,28572,28572,1428,1428,30000
23-1433-A0001,2023 Wyoming Crossroads Grant,3585,,,,,,
24-0761-A0001,Hygrotus monitoring 2025-2028,16539.77,63742.05,14073.85,55307.54,8434.5,2462.92,63742.05
23-0237-A0001,X-Ray Properties of Extreme Super Eddington Accreting Massive Black Holes,83663.86,,,,,,
24-0188-A0001,Pest Management for the Crops of the High Plains,26000,,,,,,
23-0748-A0001-0,Genetic Assessment of Yellowstone Cutthroat trout across the Bighorn GMU,233581,,,,,,
23-0748-A0001-1,Genetic Assessment of Yellowstone Cutthroat trout across the Bighorn GMU,233581,233581,233581,233581,0,0,233581
23-0748-A0001-2,Genetic Assessment of Yellowstone Cutthroat trout across the Bighorn GMU,233581,233581,233581,233581,0,0,233581
23-0848-A0001,Split Residual Herbicide Treatments for Late-Season Nightshade and Venice Mallow Control,8733.75,,,,,,
23-1369-A0001-0,Adaptive Management of the NPL Gas Field for Sage-grouse II,43500,,,,,,
23-1369-A0001-1,Adaptive Management of the NPL Gas Field for Sage-grouse II,43500,43500,,,,,43500
23-1369-A0001-2,Adaptive Management of the NPL Gas Field for Sage-grouse II,43500,43500,39150,,,4350,43500
23-1369-A0001-3,Adaptive Management of the NPL Gas Field for Sage-grouse,43500,43500,39150,39150,4350,4350,43500
23-1369-A0001-4,Adaptive Management of the NPL Gas Field for Sage-grouse,43500,43500,39150,39150,4350,4350,43500
23-0626-A0001,Enhance Support for Early Childhood Systems through Act Early Ambassador Program to Support COVID19 Recovery,94000,,,,,,
23-0398-A0001,Corteva Novel Herbicide Weed Management Strategies,15000,,,,,,
24-0574-A0001,Forest Songbird Declines,65000,65000,65000,65000,0,0,65000
23-1480-A0001,"Cloud Seeding: Operations Hydrological Assessment Medicine Bow & Sierra Madre Mountain Ranges, Level II Study",8731,,,,,,
24-0296-A0001,Economic Impact of Wyoming's Rural Electric Cooperatives,4004,,,,,,
23-0083-A0001,The Airborne Interferometric and Polarimetric Synthetic Aperture Radar Permafrost Dynamics Observatory,95442.78,,,,,,
23-0038-A0001,FFY17 (2016-21) Smith Lever Main,1740400,,,,,,
24-0088-A0001,CESU Master Agreements,0,0,0,0,0,0,0
23-1335-A0001,NPS-FY22-IMR-NCPTT Grants,19944,,,,,,
23-0049-A0001,Co-firing Biomass and Coal under Pressurized Oxy-fired Combustion Conditions at 44%,160000,,,,,,
23-0388-A0001,Banff National Park Bison,90760,,,,,,
23-1506-A0001,IMPACT 307 - Start Up Challenges,25000,25000,25000,25000,0,0,25000
24-0823-A0001-0,Grand Forks Drug Free Communities,712,5000,553,3729.14,1270.86,159,5000
24-0823-A0001-1,Grand Forks Drug Free Communities,5000,5000,3729.14,3729.14,1270.86,1270.86,5000
24-1039-A0001,Fort Laramie cultural resources site survey 2024,103811,103811,88735,88735,15076,15076,103811
23-0108-A0001,Integrated Resource Management Application (IRMA) Software Application Research and Design: Phase One-Base Platform,45744.68,,,,,,
24-0309-A0001,WY Health and Bioscience Innovation Hub COVID Grant,2062257.26,,,,,,
23-0699-A0001,Upper Missouri District Health Unity Surveys,4000,,,,,,
23-1686-A0001,Development of curriculum with accompanying media related to opioid overdose prevention with the college age population in Arkansas,37830,37830,34047,34047,3783,3783,37830
23-1088-A0001,Healthy Heart Ambassador Blood Pressure Self-Monitoring (HHA-BPM) Program,20000,,,,,,
24-1092-A0001,The JWST Whirlpool Galaxy Treasury,161422,161422,122015.2,122015.2,39406.8,39406.8,161422
23-1567-A0001,"Expanding and Institutionalizing Wyoming’s Natural Wealth Accounts: Mule Deer, Pronghorn and Elk",267510,267510,247659,247659,19851,19851,267510
23-0977-A0001,Quantifying costs and benefits of domestic dogs for restoration of the globally-endangered African wild dog,13468.43,,,,,,
23-1267-A0001-0,Thickleaf bladderpod Survey,41995,,,,,,
23-1267-A0001-1,Thickleaf bladderpod Survey,41995,41995,35740,35740,6255,6225,41995
23-1267-A0001-2,Thickleaf bladderpod Survey,41995,41995,35740,35740,6255,6225,41995
23-1267-A0001-3,Thickleaf bladderpod Survey,41995,41995,35740,35740,6255,6225,41995
24-1096-A0001,Economic Analysis of Wyoming's Film Economy,0,0,0,0,0,0,
23-0770-A0001,Wyoming Grape Growers Conferences,49759.84,,,,,,
23-0640-A0001-0,"Drought, water availability, and the implications for fish, 3/27/2020.",262182,,,,,,
23-0640-A0001-1,"Drought, water availability, and the implications for fish, 3/27/2020.",338679,338679,330183.63,330183.63,8495.37,8495.37,338679
23-0640-A0001-2,"Drought, water availability, and the implications for fish, 3/27/2020.",338679,338679,330183.63,330183.63,8495.37,8495.37,338679
24-0225-A0001,Smith Lever RREA (2018-2020),50794,,,,,,
24-0959-A0001,WBC | SBDC Umbrella Contract,2584862,2584862,2584862,2584862,0,0,2584862
23-0808-A0001,Piney Creek Trail Re-route,22999.95,,,,,,
23-0978-A0001-0,Integrated Modeling and Habitat Prioritization Map Tool for Golden Eagles in Wyoming - Phase II,66276,,,,,,
23-0978-A0001-1,Integrated Modeling and Habitat Prioritization Map Tool for Golden Eagles in Wyoming - Phase II,66276,66276,66276,66276,0,0,66276
23-1458-A0001-0,Great Plains Diagnostic Network (GPDN) WY Component,15000,,,,,,
23-1458-A0001-1,Great Plains Diagnostic Network (GPDN) WY Component,30000,30000,27272,27272,2728,2728,30000
23-1458-A0001-2,Great Plains Diagnostic Network (GPDN) WY Component,45000,45000,40908,40908,4092,4092,45000
24-0151-A0001-0,Developing a Maple Syrup Industry for the Interior West Through Extension and Research,45702.5,82454.52,57061.95,57061.95,25392.57,25392.57,82454.52
24-0151-A0001-1,Developing a Maple Syrup Industry for the Interior West Through Extension and Research,45702.5,82454.52,57061.95,57061.95,25392.57,25392.57,82454.52
24-0151-A0001-2,Developing a Maple Syrup Industry for the Interior West Through Extension and Research,69551.42,82454.52,57061.95,57061.95,25392.57,25392.57,82454.52
24-0151-A0001-3,Developing a Maple Syrup Industry for the Interior West Through Extension and Research,69551.42,82454.52,57061.95,57061.95,25392.57,25392.57,82454.52
24-0151-A0001-4,Developing a Maple Syrup Industry for the Interior West Through Extension and Research,82454.52,82454.52,57061.95,57061.95,25392.57,25392.57,82454.52
23-0814-A0001,KemzeÂ® in Wyoming: Evaluating Perennial Grains to Revitalize Wyoming Dryland Agriculture,74804,,,,,,
23-0258-A0001,Hell Gap Site Investigations (2019-2021): Completion of 2nd Research Phase,21174.67,,,,,,
23-1120-A0001,McIntire-Stennis Capacity FY22,244361,,,,,,
23-0657-A0001,Hatch-Multistate Capacity FY21,763482,,,,,,
23-1419-A0001-0,SAMHSA 2022 Arkansas State Opioid Response Grant,300000,,,,,,
23-1419-A0001-1,SAMHSA 2022 Arkansas State Opioid Response Grant,300000,,,,,,
23-1419-A0001-2,SAMHSA 2022 Arkansas State Opioid Response Grant,300000,,,,,,
23-1419-A0001-3,SAMHSA 2022 Arkansas State Opioid Response Grant,597376,597376,494223,494223,103153,103153,597376
23-1419-A0001-4,SAMHSA 2022 Arkansas State Opioid Response Grant,678305,678305,610474.5,610474.5,67830.5,67830.5,678305
23-1419-A0001-5,SAMHSA 2022 Arkansas State Opioid Response Grant,597367,597367,537630.3,537630.3,59736.7,59736.7,597367
23-1419-A0001-6,SAMHSA 2022 Arkansas State Opioid Response Grant,597367,597367,537630.3,537630.3,59736.7,59736.7,597367
23-1886-A0001-0,Swift Fox Ecology Project ,15000,15000,15000,15000,0,0,15000
23-1886-A0001-1,Swift Fox Ecology Project ,15000,15000,15000,15000,0,0,15000
23-1298-A0001-0,Responses of Canada lynx to fire disturbance and refugia mosaics in the Northern Rocky Mountains,123000,,,,,,
23-1298-A0001-1,Responses of Canada lynx to fire disturbance and refugia mosaics in the Northern Rocky Mountains,165210.7,165210.7,,,2607.43,2607.43,165210.7
23-1439-A0001-0,Obtaining the UV Reddening Curve of Extreme-Rv Highly Polarizing Dust Irradiated by Zeta Ophiuchi,12399,,,,,,
23-1439-A0001-1,Obtaining the UV Reddening Curve of Extreme-Rv Highly Polarizing Dust Irradiated by Zeta Ophiuchi,24798,61993,18364,45909,16084,6434,61993
23-1439-A0001-2,Obtaining the UV Reddening Curve of Extreme-Rv Highly Polarizing Dust Irradiated by Zeta Ophiuchi,37197,61993,27546,45909,16084,9561,61993
23-1439-A0001-3,Obtaining the UV Reddening Curve of Extreme-Rv Highly Polarizing Dust Irradiated by Zeta Ophiuchi,49596,61993,36848,45909,16084,12748,61993
23-1439-A0001-4,Obtaining the UV Reddening Curve of Extreme-Rv Highly Polarizing Dust Irradiated by Zeta Ophiuchi,61993,61993,45909,45909,16084,16084,61993
23-0447-A0002,Effects of bison grazing on migratory animals in Yellowstone National Park,30000,30000,25532,25532,4468,4468,30000
23-0103-A0001,RWO #201: Influence of Energy Development and Climatic Variability on Sagebrush Songbirds,371000,,,,,,
24-0801-A0002,Exploring the fit of naloxone distribution and trainings in Black communities,16482.24,16482.24,15428,15428,1054.24,1054.24,16482
24-0501-A0001-0,Clinical and Translational Research Infrastructure Network (MW-CTR-IN) Year 10,17548,17548,12143,12143,5404,5404,17548
24-0501-A0001-1,Clinical and Translational Research Infrastructure Network (MW-CTR-IN) Year 10,17546.29,17546.29,12142.76,12142.76,5403.53,5403.53,17546.29
23-1476-A0001-0,FY23 5339 Capital Assistance - Shop Equipment Purchase,212400,,,,,,
23-1476-A0001-1,FY23 5339 Capital Assistance - Shop Equipment Purchase,395500,395500,395500,395500,,0,395000
24-0169-A0001-0,A circadian circuit for behavioral aggression in Alzheimer's disease,15000,15000,13634,13636,1364,1364,15000
24-0169-A0001-1,A circadian circuit for behavioral aggression in Alzheimer's disease,15000,15000,13634,13636,1364,1364,15000
23-0402-A0001,Invasive Weed Science and Restoration Program,46200,,,,,,
25-0087-A0001,Development of Nasal Swabs with a Dissolvable Sample Collection Surface for Improving the Sensitivity of Rapid Influenza Diagnostic Tests,21675,21675,15000,15000,6675,6675,21675
23-1107-A0001,Ontogency and Population Consequences of Ungulate Migration,2000,,,,,,
24-0493-A0001-0,Examining Attitudes Toward and Consequences of Primary Reform: A Three-Pronged Approach,25000,25000,25000,25000,0,0,25000
24-0493-A0001-1,Examining Attitudes Toward and Consequences of Primary Reform: A Three-Pronged Approach,25000,25000,25000,25000,0,0,25000
25-0385-A0001,CO2 capture,63000,63000,45528,45528,17471,17472,63000
23-0029-A0001,Acoustic Monitoring of Bats in Northern Great Plains Parks,163149.82,,,,,,
24-0237-A0001,Small Business Development Centers CARES Act,1278788.44,,,,,,
23-0600-A0001,"Black Bear Behavior, Habitat Selection, and Harvest",15000,,,,,,
24-0272-A0001,Wyoming Folklife Collection at the American Heritage Center.,20055,,,,,,
23-1344-A0001-0,Invasive Annual Grass Tech Transfer Partnership: Empowering Land Manager to Defend and Grow Sagebrush Cores (USFWS),200000,,,,,,
