Award #,PI,Project Title,Sponsor,Prime Sponsor,Instrument Type,Award Start Date,Award End Date,Admin Unit,Obligated Amount,Project #,Total Expected Amount,Anticipated Amount,Status,Created Date,Award Type,Increment Amount,PI Unit,Modification Number,Modification Type,Modification Date,Modified By,activity type,Admin Unit Primary Code,Award Amount,Award Id,Award Title,college,Direct Costs,expected direct,expected indirect,full proposal title,History Action,History Action By,History Action Date,History Comment,Prime Sponsor Org Type,Prime Sponsor Primary Code,proposal type,proposal type if other,Routing Comment,Routing Date,Routing Status,Sponsor Org Type,sponsor type,sponsor type if other,Total Project Cost
23-0450-A0001,James Benjamin Chapman,Collaborative Research: Internal and external drivers of orogenic episodicity in the Ecuadorian Andes,National Science Foundation,National Science Foundation,,5/1/2020,4/30/2023,Geology & Geophysics,236676,23-0450,,,In Closeout,4/24/2023 18:44,,,Geology & Geophysics,0,Original Award,,,,3.00E+14,,008786b9-6dbb-4dfb-b9a2-f95714920ad8,,,,,,Collaborative Research: Internal and external drivers of orogenic episodicity in the Ecuadorian Andes,Award Created,Legacy Loader,4/24/2023 18:44,,,01-NSF,,,,,,,,,
23-0450-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:44,Status set by bulk loader,,,,,,,,,,,
23-0450-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/16/2024 14:03,Award end-date has passed.,,,,,,,,,,,
24-0795-A0001,Emma Rose Mehl,Cardiac myocyte deletion of hypoxia-inducible factor - 1? exacerbates RV dysfunction in aging mice,American College of Sports Medicine,,,2/15/2024,12/31/2024,Kinesiology & Health,1000,24-0795,1000,,Active,2/7/2024 20:17,,,Kinesiology & Health,0,Original Award,,,Basic Research,3.00E+14,,00959e99-4ce4-49fe-adf9-41ba0761f53c,,Health Sciences,1000,1000,0,Cardiac myocyte deletion of hypoxia-inducible factor - 1? exacerbates RV dysfunction in aging mice,Award Created,Kasi Smart,2/7/2024 20:17,,,,New,,,,,,Non-Profit Organizations,,1000
24-0795-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kasi Smart,3/6/2024 13:47,,,,,,,,,,,,
24-0795-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kasi Smart,3/6/2024 13:47,,,,,,,,,,,,
24-0795-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kasi Smart,3/6/2024 13:48,check received 2/15/24,,,,,,,,,,,
24-0325-A0001,Paige Elise Parry,Adaptive Management Modeling of Invasive Annual Grasses in the Northern Great Plains,National Park Service/Department of the Interior,National Park Service/Department of the Interior,,9/14/2023,9/14/2027,Wyo Natural Diversity Database,128948.68,24-0325,128948.68,,Active,11/17/2023 12:13,,,Wyo Natural Diversity Database,0,Original Award,,,Applied Research,3.00E+14,,00bd5c3b-c3df-4205-a7b3-d279e8588671,,Research & Economic Development,109743.56,109743.56,19205.12,Adaptive Management Modeling of Invasive Annual Grasses in the Northern Great Plains,Award Created,Kristi Stockdale,11/17/2023 12:13,,,01-NPS,New,,,12/3/2023 12:10,Approved,,U.S. Federal Government,,128948.68
24-0325-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,11/27/2023 12:15,,,,,,,,,,,,
24-0325-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,11/27/2023 12:15,,,,,,,,,,,,
24-0325-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,11/27/2023 12:15,Funded. ,,,,,,,,,,,
23-0572-A0001,Brian Michael Sebade,Eastern Wyoming Fruit Demonstration and Research Orchard,Wyoming Department of Agriculture,Agricultural Marketing Service/Department of Agriculture,,7/15/2020,9/29/2022,UW Extension,16413.66,23-0572,,,Closed,4/24/2023 18:51,,,UW Extension,0,Original Award,,,,3.00E+14,,00c624a9-c490-4cf6-b154-f5e51340c318,,,,,,Eastern Wyoming Fruit Demonstration and Research Orchard,Award Created,Legacy Loader,4/24/2023 18:51,,,01-AMSUSDA,,,,,,,,,
23-0572-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:51,Status set by bulk loader,,,,,,,,,,,
24-0312-A0001,,"CARES ACT-Student Refund Expenses, Education-Related",Wyoming State Treasurer,Wyoming State Treasurer,,3/1/2020,12/30/2021,,8453728.65,24-0312,,,Closed,8/18/2023 15:02,,,,0,Original Award,,,,,,00d63485-684a-453b-b41a-b2b8d5a459fe,,,,,,"CARES ACT-Student Refund Expenses, Education-Related",Award Created,Legacy Loader,8/18/2023 15:02,,,02-TREASSTWY,,,,,,,,,
24-0312-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,8/18/2023 15:02,Status set by bulk loader,,,,,,,,,,,
23-1217-A0001,David M. Aadland,Developing 2022 Prevailing Wage Estimates for Wyoming Department of Workforce Services 2,Wyoming Workforce Services,Wyoming Workforce Services,,6/8/2022,6/30/2023,Economics,50560,23-1217,,,In Closeout,4/24/2023 19:28,,,Economics,0,Original Award,,,Other Sponsored Activity,3.00E+14,,014ea779-e055-409b-9225-00d2110f8e43,,,,,,Developing 2022 Prevailing Wage Estimates for Wyoming Department of Workforce Services 2,Award Created,Legacy Loader,4/24/2023 19:28,,,07-WYWORK,,,,,,,,,
23-1217-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:28,Status set by bulk loader,,,,,,,,,,,
23-1217-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/16/2024 14:04,Award End date has passed.,,,,,,,,,,,
25-0426-A0001,Kyle D. Summerfield,WCCC WIP VR program - 4 tasks,Wyoming Community College Commission,,,1/29/2025,8/1/2025,School of Energy Resources Directors Office,85187,25-0426,85187,,Set Up In Progress,1/30/2025 13:37,,,School of Energy Resources Directors Office,0,Original Award,,,Other Sponsored Activity,3.00E+14,,01549fb7-b2d5-43a1-bffd-64c7f92d5252,,School of Energy Resources,70989.17,70989.17,14197.83,"Augmented Reality for Educators, Old Faithful Inn VR Program, Wallop Civic Engineering 360 Program & Plant Lab & Phenotyping VR Experience",Award Created,Thomas Abraham Lentner,1/30/2025 13:37,,,,New,,,,,,Wyoming State Governmental Entities,,85187
24-0149-A0001,Khaled Ksaibati,Wyoming T2 2023,Wyoming Department of Transportation,Federal Highway Administration/Department of Transportation,,7/24/2023,4/23/2025,Civil & Architectural Engineering & Construction Management,218750,24-0149,218750,,Active,8/10/2023 8:08,,,Civil & Architectural Engineering & Construction Management,0,Original Award,,,Applied Research,3.00E+14,,017bf29d-d786-40bf-acfb-2afa366e1987,,Engineering & Physical Sciences,182292,182292,36458,Wyoming Local Technical Assistance Center 2023,Award Created,Kristi Stockdale,8/10/2023 8:08,,,01-FHA,New,,,,,,Wyoming State Governmental Entities,,250000
24-0149-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,8/11/2023 13:10,,,,,,,,,,,,
24-0149-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,8/11/2023 13:10,,,,,,,,,,,,
24-0149-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,8/11/2023 13:10,Funded,,,,,,,,,,,
23-0751-A0001,Emilene Ostlind,Imagining Wyoming's Future: A Youth Vision for 2030,Wyoming Humanities Council,National Endowment for the Humanities,,5/1/2021,4/30/2022,Haub School of Environment & Natural Resources,2000,23-0751,,,Closed,4/24/2023 19:01,,,Haub School of Environment & Natural Resources,0,Original Award,,,Basic Research,3.00E+14,,019e7711-c984-4545-8ff1-8e4ee000b39e,,,,,,Imagining Wyoming's Future: A Youth Vision for 2030,Award Created,Legacy Loader,4/24/2023 19:01,,,01-NFAHNEH,,,,,,,,,
23-0751-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 19:01,Status set by bulk loader,,,,,,,,,,,
24-0142-A0006-0,Randall D. Violett,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,Wyoming Governor's Office,Wyoming Governor's Office,,7/20/2023,6/30/2024,"College of Agriculture, Life Sciences & Natural Resources Deans Office",676080,24-0142,676080,,Active,8/31/2023 12:53,,,"College of Agriculture, Life Sciences & Natural Resources Deans Office",0,Original Award,,,Basic Research,3.00E+14,,01cc296f-13f7-4210-8067-bc24929da9eb,,"Agriculture, Life Sciences,  & Natural Resources",676080,676080,0,WIP Phase II: Ranch Management & Agricultural Leadership Program,,,,,,02-WYGOV,New,,,,,,Wyoming State Governmental Entities,,676080
24-0142-A0006-1,Randall D. Violett,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,Wyoming Governor's Office,Wyoming Governor's Office,,7/20/2023,10/31/2024,"College of Agriculture, Life Sciences & Natural Resources Deans Office",676080,24-0142,676080,,Active,8/29/2024 7:45,,,"College of Agriculture, Life Sciences & Natural Resources Deans Office",1,Pre-Award Spending,8/29/2024,Kristi Hargis Stockdale,Basic Research,3.00E+14,,01cc296f-13f7-4210-8067-bc24929da9eb,,"Agriculture, Life Sciences,  & Natural Resources",676080,676080,0,WIP Phase II: Ranch Management & Agricultural Leadership Program,,,,,,02-WYGOV,New,,,,,,Wyoming State Governmental Entities,,676080
24-0142-A0006-2,Randall D. Violett,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,Wyoming Governor's Office,Wyoming Governor's Office,,7/20/2023,6/30/2025,"College of Agriculture, Life Sciences & Natural Resources Deans Office",790080,24-0142,790080,,Active,9/10/2024 12:46,,,"College of Agriculture, Life Sciences & Natural Resources Deans Office",2,Pre-Award Spending Removal,9/10/2024,Farrell Jean Rapp,Basic Research,3.00E+14,,01cc296f-13f7-4210-8067-bc24929da9eb,,"Agriculture, Life Sciences,  & Natural Resources",771080,771080,19000,WIP Phase II & III: Ranch Management & Agricultural Leadership Program,Award Created,Farrell Jean Rapp,8/31/2023 12:53,,,02-WYGOV,New,,,,,,Wyoming State Governmental Entities,,790080
24-0142-A0006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Farrell Jean Rapp,8/31/2023 13:26,,,,,,,,,,,,
24-0142-A0006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Farrell Jean Rapp,8/31/2023 13:26,,,,,,,,,,,,
24-0142-A0006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Farrell Jean Rapp,8/31/2023 13:26,Awarded.,,,,,,,,,,,
24-0142-A0006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Pre-Award Spending,Kristi Hargis Stockdale,8/29/2024 7:57,Pre-Award Spending to extend the end date for continued spending until the new award arrives.  ,,,,,,,,,,,
24-0142-A0006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Pre-Award Spending Removal,Farrell Jean Rapp,9/10/2024 12:55,"WIP Phase III funding of $114,000",,,,,,,,,,,
23-0487-A0001,Dario Grana,Bayesian Learning Consortium,BP Upstream,BP Upstream,,7/1/2020,6/30/2025,Geology & Geophysics,250000,23-0487,,,Active,4/24/2023 18:46,,,Geology & Geophysics,0,Original Award,,,,3.00E+14,,01d1e5f1-1cd0-4d06-ada8-c8a2c1f966c4,,,,,,Bayesian Learning Consortium,Award Created,Legacy Loader,4/24/2023 18:46,,,05-BPU,,,,,,,,,
23-0487-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:46,Status set by bulk loader,,,,,,,,,,,
23-1163-A0001,Anna Elizabeth Terfehr,Federal Work Study Program 2022-2023,Department of Education,Department of Education,,7/1/2022,6/30/2023,Scholarships & Financial Aid,502688,23-1163,,,Closed,4/24/2023 19:25,,,Scholarships & Financial Aid,0,Original Award,,,Other Sponsored Activity,3.00E+14,,01f7211e-42a0-4b8b-89d1-ee4f0121c761,,,,,,Federal Work Study Program 2022-2023,Award Created,Legacy Loader,4/24/2023 19:25,,,01-DOED,,,,,,,U.S. Federal Government,,
23-1163-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:25,Status set by bulk loader,,,,,,,,,,,
23-1163-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to Closed. Resolution set to: Complete,Bryce William Howard,6/20/2024 9:44,"PI confirmed that FISAP would suffice in place of a final technical report, award closed in ROAMWyo as of 6/20/2024",,,,,,,,,,,
23-1181-A0001,Malia Anne Santos,Investigating species relationships and evolutionary patterns of defense strategies in Tricalysia (Rubiaceae),Botanical Society of America,Botanical Society of America,,9/28/2021,5/17/2025,Transdisciplinary Graduate Programs,1500,23-1181,,,Active,4/24/2023 19:26,,,Transdisciplinary Graduate Programs,0,Original Award,,,Applied Research,3.00E+14,,02248979-64ea-447e-bed5-fbb6f3325b17,,,,,,Investigating species relationships and evolutionary patterns of defense strategies in Tricalysia (Rubiaceae),Award Created,Legacy Loader,4/24/2023 19:26,,,07-BSA,,,,,,,Non-Profit Organizations,,
23-1181-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:26,Status set by bulk loader,,,,,,,,,,,
24-0265-A0001,Crystal A. Sieger,Technology in Music Education and Music Technology Mentor Program,Wyoming Department of Education,Department of Education,,6/29/2021,9/30/2022,Music,196000,24-0265,,,In Closeout,8/18/2023 14:58,,,Music,0,Original Award,,,,3.00E+14,,024a570c-ecf2-4968-87f9-38c4155b174f,,,,,,Technology in Music Education and Music Technology Mentor Program,Award Created,Legacy Loader,8/18/2023 14:58,,,01-DOED,,,,,,,Wyoming State Governmental Entities,,
24-0265-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,8/18/2023 14:58,Status set by bulk loader,,,,,,,,,,,
24-0265-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form was edited in 'Active' status,Farrell Jean Rapp,6/20/2024 10:24,,,,,,,,,,,,
24-0265-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Farrell Jean Rapp,8/9/2024 16:27,End Date has passed.,,,,,,,,,,,
23-1858-A0001,Kevin L. Monteith,Does the Petal Fall Far From the Rose,Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2023,12/31/2025,Haub School of Environment & Natural Resources,10000,23-1858,10000,,Active,7/25/2023 12:19,,,Haub School of Environment & Natural Resources,0,Original Award,,,Applied Research,3.00E+14,,0252531d-5ca6-4d6e-a17a-07ce8c67369d,,Academic Affairs,10000,10000,0,Does the Petal Fall Far From the Rose,Award Created,Kristi Stockdale,7/25/2023 12:19,,,02-WGAFD,New,,,,,,Wyoming State Governmental Entities,,10000
23-1858-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,7/26/2023 7:00,,,,,,,,,,,,
23-1858-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,7/26/2023 7:00,,,,,,,,,,,,
23-1858-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,7/26/2023 7:00,Funded,,,,,,,,,,,
24-1010-A0001,Canyon Leigh Hardesty,Early Childhood Vision Screening,Wyoming Department of Education,Department of Education,,6/6/2024,5/31/2025,Wyoming Institute for Disabilities WIND,8000,24-1010,8000,,Active,6/6/2024 9:04,,,Wyoming Institute for Disabilities WIND,0,Original Award,,,Other Sponsored Activity,3.00E+14,,02690196-5f72-4a01-81ec-c8de83084c25,,Health Sciences,6667,6667,1333,Early Childhood Vision Screening 2024 - 2025,Award Created,Kristi Hargis Stockdale,6/6/2024 9:04,,,01-DOED,New,,,,,,Wyoming State Governmental Entities,,8000
24-1010-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Farrell Jean Rapp,6/17/2024 13:01,,,,,,,,,,,,
24-1010-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Farrell Jean Rapp,6/17/2024 13:01,,,,,,,,,,,,
24-1010-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Farrell Jean Rapp,6/17/2024 13:01,Awarded. ,,,,,,,,,,,
24-1010-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form was edited in 'Active' status,Farrell Jean Rapp,6/18/2024 13:04,,,,,,,,,,,,
24-1010-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: John Ruess,Inna Willis,6/18/2024 13:43,,,,,,,,,,,,
23-0861-A0004,Humphrey John Costello,New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),New Mexico Department of Health,Centers for Disease Control and Prevention/Department of Health and Human Services,,8/9/2024,6/30/2025,Wyoming Survey & Analysis Center,65000,23-0861,65000,,Active,6/26/2024 10:04,,,Wyoming Survey & Analysis Center,0,Original Award,,,Other Sponsored Activity,3.00E+14,,029a26c6-4a65-4f56-b0be-e17b7fdff8e4,,Research & Economic Development,48507.46,48507.46,16492.54,New Mexico 23-0020  Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),Award Created,Farrell Jean Rapp,6/26/2024 10:04,,,01-CDC,Non-Competing Continuation,,,,,,Other State and Local Governmental Entities,,65000
23-0861-A0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: Kristi Hargis Stockdale,Inna Willis,8/12/2024 16:54,,,,,,,,,,,,
23-0861-A0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Hargis Stockdale,8/19/2024 8:34,,,,,,,,,,,,
23-0861-A0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Hargis Stockdale,8/19/2024 8:34,,,,,,,,,,,,
23-0861-A0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Hargis Stockdale,8/19/2024 8:34,Funded. ,,,,,,,,,,,
23-0861-A0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Form was edited in 'Active' status,Kristi Hargis Stockdale,8/19/2024 8:41,,,,,,,,,,,,
23-1016-A0001-0,Laura L Feldman,Evaluation of Alabama BPP COSMOSS Program,Alabama Bureau of Pardons and Paroles,Department of Justice,,11/15/2021,11/14/2023,Wyoming Survey & Analysis Center,200000,23-1016,,,Active,4/24/2023 19:16,,,Wyoming Survey & Analysis Center,0,Original Award,,,,3.00E+14,,02ac5d5a-1c88-4764-bee1-f1766a15caa0,,,,,,Evaluation of Alabama BPP COSMOSS Program,,,,,,01-DOJ,,,,,,,Other State and Local Governmental Entities,,
23-1016-A0001-1,Laura L Feldman,Evaluation of Alabama BPP COSMOSS Program,Alabama Bureau of Pardons and Paroles,Department of Justice,,11/15/2021,11/4/2024,Wyoming Survey & Analysis Center,400000,23-1016,400000,,Active,10/26/2023 7:49,,,Wyoming Survey & Analysis Center,1,New Funding Increment,10/26/2023,Kristi Stockdale,Other Sponsored Activity,3.00E+14,,02ac5d5a-1c88-4764-bee1-f1766a15caa0,,Research & Economic Development,298507.46,298507.46,101492.54,Evaluation of Alabama BPP COSMOSS Program,,,,,,01-DOJ,New,,,,,,Other State and Local Governmental Entities,,400000
23-1016-A0001-2,Andria Blackwood,Evaluation of Alabama BPP COSMOSS Program,Alabama Bureau of Pardons and Paroles,Department of Justice,,11/15/2021,11/4/2024,Wyoming Survey & Analysis Center,400000,23-1016,400000,,In Closeout,7/16/2024 12:38,,,Wyoming Survey & Analysis Center,2,Key Personnel Change,7/16/2024,Kristi Hargis Stockdale,Other Sponsored Activity,3.00E+14,,02ac5d5a-1c88-4764-bee1-f1766a15caa0,,Research & Economic Development,298507.46,298507.46,101492.54,Evaluation of Alabama BPP COSMOSS Program,Award Created,Legacy Loader,4/24/2023 19:16,,,01-DOJ,New,,,,,,Other State and Local Governmental Entities,,400000
23-1016-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:16,Status set by bulk loader,,,,,,,,,,,
