"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"24-0874-P0001","2.	Direct Utilization of Coal for Lithium-Ion Battery Anodes","Caleb Matthew Hill","Chemistry","Submitted to Sponsor","Wyonics, LLC","U.S. Department of Energy","Chemistry","7/22/2024","7/21/2025","New","24-0874","3/5/2024 04:05:48 PM","80011","3/11/2024 12:00:00 AM",NA,NA,"2.	Direct Utilization of Coal for Lithium-Ion Battery Anodes","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Tashina Lemons > Caleb Matthew Hill > Farrell Jean Rapp","3/5/2024 04:05:48 PM > 3/5/2024 04:17:01 PM > 3/7/2024 04:30:33 PM > 3/7/2024 04:31:18 PM > 3/8/2024 10:17:42 AM > 3/11/2024 08:48:23 AM","LOI provided to Sponsor 3/8/24",NA,"30ef4903-9b8c-43db-9646-8575d9a7e88c",NA,NA,"3/7/2024 04:30:41 PM > 3/7/2024 04:31:18 PM > 3/8/2024 08:04:13 AM > 3/7/2024 07:15:26 PM > 3/8/2024 10:17:43 AM","Approved > Certified",NA,"58721","21290","80011","A Subrecipient","No",2024-03-11 08:48:23,NA,"80011","58721","21290","80011","FY2024","240874A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"23-0508-P0001","20-EPSCoR2020-0045; Appendix F: GSFC Computational and Information Sciences and Technology Office (CISTO): Environmental FeatureRecognition: A Hybrid Machine Learning and Statistical Method for Environmental Feature Recognition",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0508","4/27/2023 07:00:09 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:00:08 PM > 4/27/2023 07:00:12 PM","Status set by bulk loader",NA,"fc6c72e5-3944-4391-a546-6dbb472a7481","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230508A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1258-P0001","20-THP20-0050 - Evaluation of L-band InSAR using L-band GPR: Sensitivity to Liquid Water Content, Topography, and Land Cover to Determine Feasibility for Global SWE Applications (UW)",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1258","4/27/2023 07:52:27 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:52:26 PM > 4/27/2023 07:52:30 PM","Status set by bulk loader",NA,"8583746f-b797-46c7-92f8-7951b2be1dd9","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231258A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0159-P0001","2018 Montana Adult Tobacco Survey",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0159","4/27/2023 06:34:19 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:34:19 PM > 4/27/2023 06:34:22 PM","Status set by bulk loader",NA,"fd057818-3fb8-40bf-b886-25b2397aa04a","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230159A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0171-P0001","2018 WY Prevention Needs Assessment FY2019-20",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0171","4/27/2023 06:35:11 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:35:11 PM > 4/27/2023 06:35:14 PM","Status set by bulk loader",NA,"331e934d-4412-4a02-82ec-7395556569a2","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230171A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0408-P0001","2019 State Justice Statistics (SFS) Program - Wyoming Statistical Analysis Center",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0408","4/27/2023 06:53:09 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:53:08 PM > 4/27/2023 06:53:11 PM","Status set by bulk loader",NA,"9ec9c6d9-f80c-488b-80af-2c89c132e1f7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230408A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0248-P0001","2020 CARES Act National Emergency Assistance Program  COVID-19 MEP Client Relief Program",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"24-0248","8/18/2023 02:48:07 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","8/18/2023 02:48:07 PM > 8/18/2023 02:48:10 PM","Status set by bulk loader",NA,"93bdde2b-7895-44b2-892b-811e2194cd85","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240248A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0535-P0001","2020 STARTALK University of Wyoming",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0535","4/27/2023 07:02:01 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:02:01 PM > 4/27/2023 07:02:04 PM","Status set by bulk loader",NA,"e0fc4a9e-75b3-4a3b-b636-7b460a5dc837","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230535A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0257-P0001","2020 Wyoming State Justice Statistics Award",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"24-0257","8/18/2023 02:48:44 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","8/18/2023 02:48:44 PM > 8/18/2023 02:48:46 PM","Status set by bulk loader",NA,"5ebe585b-328b-4970-9536-c0e214a11ce8","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240257A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0890-P0001","2021 Gold-AACN White Coat Ceremony for Nursing",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0890","4/27/2023 07:26:47 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:26:46 PM > 4/27/2023 07:26:50 PM","Status set by bulk loader",NA,"73e6aabe-d4e5-4ae1-ac78-89a03eb928ff","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230890A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0781-P0001","2021 Governor's Office Surveys for Rare Bees in Wyoming",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0781","4/27/2023 07:19:07 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:19:06 PM > 4/27/2023 07:19:10 PM","Status set by bulk loader",NA,"87ec183b-c9ce-43fc-a1e0-b7b5dbc382cf","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230781A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0744-P0001","2021 IE3LC - Rachel Watson",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0744","4/27/2023 07:16:26 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:16:26 PM > 4/27/2023 07:16:29 PM","Status set by bulk loader",NA,"9d1ff767-eb5d-416d-a486-dbbf2cdf13b0","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230744A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0656-P0001","2021 Pesticide Safety Education Funds Management Program (PSEFMP)",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0656","4/27/2023 07:10:19 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:10:19 PM > 4/27/2023 07:10:22 PM","Status set by bulk loader",NA,"a474ecf2-80f0-41d2-97e8-c6a962f5300b","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230656A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1068-P0001","2021 Provider Relief Funds - Phase 4",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1068","4/27/2023 07:38:59 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:38:59 PM > 4/27/2023 07:39:02 PM","Status set by bulk loader",NA,"b3c43fc3-8b96-4a2e-aab3-eb85abe19f6a","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231068A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1067-P0001","2021 Provider Relief Funds - Rural",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-1067","4/27/2023 07:38:55 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:38:55 PM > 4/27/2023 07:38:58 PM","Status set by bulk loader",NA,"67c8944d-662c-46b7-b66b-44166bdcce05","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231067A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0674-P0001","2021 REU Site Workshop: Looking Forward","Camellia Moses Okpodu","Botany","Transfer","National Science Foundation",NA,"Botany","12/15/2023","5/17/2024","Transfer","24-0674","1/5/2024 10:16:41 PM",NA,"2/8/2024 12:00:00 AM",NA,NA,"2021 REU Site Workshop: Looking Forward","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to In Development > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Camellia Moses Okpodu > Kasi Smart > Farrell Jean Rapp","1/5/2024 10:16:40 PM > 2/5/2024 10:11:24 PM > 2/6/2024 07:41:09 AM > 2/6/2024 07:44:49 AM > 2/7/2024 08:32:28 PM > 2/8/2024 08:28:36 AM > 2/8/2024 01:09:57 PM > 2/8/2024 01:10:20 PM > 2/16/2024 05:08:11 PM","fixing a couple fields > adjusting submitted date > submitted > Awarded.",NA,"28677fb7-92a8-4516-a0f1-1faf15c4cd07",NA,"See comment in admin only section.","2/8/2024 08:28:36 AM > 2/8/2024 06:56:28 AM > 2/8/2024 06:56:22 AM > 2/7/2024 08:32:28 PM > 2/6/2024 12:53:34 PM","Approved > Certified > Not Completed",NA,"32468",NA,"46918",NA,"Yes",2024-02-08 13:10:20,"2024-02-16 17:08:11","$46918","32468","$14448","46918","FY2024","240674A0001",45224.94,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,0,0,0,0,0,1,0,0,0
"23-0995-P0001","2021 State Justice Statistics: Juvenile Justice Data Collection and Alcohol Related Crime Trends",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0995","4/27/2023 07:33:56 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:33:56 PM > 4/27/2023 07:33:59 PM","Status set by bulk loader",NA,"faede715-1cc5-4b14-ac43-df7721997cb7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230995A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0806-P0001","2021-2022 Pesticide Safety Education Program as funded by the Wyoming Product Registration fees",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0806","4/27/2023 07:20:53 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:20:53 PM > 4/27/2023 07:20:56 PM","Status set by bulk loader",NA,"2a7019fe-50d9-4edd-b1fb-515b4c7e7137","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230806A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0950-P0001","2021-22 ADMB Grant: Lamb Survival NW WY Summer Nutrition, Disease, or Predation",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0950","4/27/2023 07:30:50 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:30:50 PM > 4/27/2023 07:30:53 PM","Status set by bulk loader",NA,"8cea60e6-683c-47d4-9aca-255312f67ba5","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230950A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1259-P0001","2022 Challenge Grant to Fund the Wyoming Migration Initiative",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1259","4/27/2023 07:52:31 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:52:31 PM > 4/27/2023 07:52:34 PM","Status set by bulk loader",NA,"bf700eb6-b688-4d5b-8cd4-fd74e2ef6ce8","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231259A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
