"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Under Review","Approved","Total_submitted_to_sponsor"
"25-0316-P0001","DOE BNF: DE-FOA-0003420","Masanori Saito","Atmospheric Science","Submitted to Sponsor","U.S. Department of Energy",NA,"Atmospheric Science","9/1/2025","8/31/2028","New","25-0316",2024-11-15 02:56:00,"718833","11/21/2024 12:00:00 AM",NA,NA,"Improving E3SM by ARM-derived Observational Constraints of Convective Clouds and Precipitation in the Southeastern U.S.","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Masanori Saito > John Ruess > Daniel McCoy > Jacqueline Miranda Nugent > Farrell Jean Rapp > Thomas Abraham Lentner","11/15/2024 02:56:25 PM > 11/15/2024 04:23:46 PM > 11/18/2024 09:47:04 AM > 11/18/2024 09:47:42 AM > 11/18/2024 09:51:45 AM > 11/18/2024 09:54:50 AM > 11/18/2024 06:26:12 PM > 11/19/2024 08:24:10 AM > 11/21/2024 06:36:51 PM","add budget > Oops- just took a second to process > Submitted  1:40pm by CR through Grants.gov  GRANT14307805",NA,"4e2e87dc-3194-4fa6-a111-5a494d13c6fa",NA,"Oops- just took a second to process","11/18/2024 09:47:57 AM > 11/18/2024 06:26:12 PM > 11/18/2024 09:54:50 AM > 11/18/2024 09:51:45 AM > 11/19/2024 08:16:34 AM > 11/19/2024 08:05:55 AM > 11/19/2024 08:05:49 AM > 11/19/2024 08:24:10 AM","Approved > Certified",NA,"508998","209835","718833",NA,"Yes","718833","508998","209835","718833","FY2025","250316A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0276-P0001","DOE US-Danish wind energy project","Ankit Saxena","Mechanical Engineering","Submitted to Sponsor","U.S. Department of Energy",NA,"Mechanical Engineering","8/1/2025","7/31/2027","New","25-0276",2024-10-30 07:08:00,"499937","1/14/2025 12:00:00 AM",NA,NA,"Optimized anchor systems for floating offshore wind: from manufacturing to design and maritime spatial planning","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Assigned to SP Proposal Administrator: Janissa Marie Analissia Martinez > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Ankit Saxena > Janissa Marie Analissia Martinez > Thomas Abraham Lentner > Farrell Jean Rapp","10/30/2024 07:08:34 AM > 10/31/2024 10:48:51 AM > 11/20/2024 03:08:43 PM > 1/8/2025 05:01:13 PM > 1/8/2025 05:13:38 PM > 1/10/2025 03:51:31 PM > 1/15/2025 01:25:02 PM","Submitted 1/15/2025 3:15:53 PM ET.   Control number 3362-1502",NA,"6503f950-9335-4031-97d0-292a244a78a1",NA,"Passes pre-award checks.","1/8/2025 05:03:00 PM > 1/8/2025 05:13:38 PM > 1/10/2025 02:58:38 PM > 1/9/2025 11:03:16 AM > 1/10/2025 03:51:32 PM","Approved > Certified",NA,"430686","69251","499937",NA,"Yes","499937","430686","69251","499937","FY2025","250276A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"24-1099-P0001","Designing an automated machine learning method for large  scale aerial pronghorn monitoring","Benjamin Bryan Koger","School of Computing","Funded","ADD NEW",NA,"School of Computing","1/1/2025","12/31/2025","New","24-1099",2024-06-21 04:08:00,"264344","10/4/2024 12:00:00 AM",NA,"Association of Fish and Wildlife agencies","Designing an automated machine learning method for large  scale aerial pronghorn monitoring","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Form was edited in 'Under Review' status > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Thomas Abraham Lentner > Inna Willis > Benjamin Bryan Koger > Farrell Jean Rapp","6/21/2024 04:08:46 PM > 7/8/2024 01:11:20 PM > 10/2/2024 05:47:02 PM > 10/3/2024 09:03:12 AM > 10/3/2024 09:35:28 AM > 10/3/2024 09:35:52 AM > 10/3/2024 09:40:58 AM > 10/3/2024 01:04:45 PM > 10/3/2024 01:11:40 PM > 10/3/2024 01:26:52 PM > 10/3/2024 05:08:23 PM > 10/4/2024 11:13:36 AM > 12/18/2024 12:26:58 PM","Changing key personnel
 > Adjusting IDC distributions between departments. > Submitted 10/4/2024 at 11:10am.  Grantsolutions tracking number FWS-WSFR2025023556 > Funded.",NA,"f0a2b1dd-58ab-4817-8d86-9fa39f9bad93",NA,"Updated key personnel - re-routing for approval. > Passes pre-award checks.  Ready for review for approval. > PI has joint appointment.  Updating and rerouting to represent split in IDC and both departments.","10/3/2024 10:05:34 AM > 10/3/2024 09:40:58 AM > 10/3/2024 09:36:11 AM > 10/2/2024 05:47:21 PM > 10/3/2024 01:12:10 PM > 10/3/2024 01:26:52 PM > 10/3/2024 04:41:47 PM > 10/3/2024 01:39:53 PM > 10/3/2024 05:08:23 PM","Approved > Certified",NA,"182937","81407","264344",NA,"Yes","264344","182937","81407","264344","FY2024","241099A0001",263334.66,"445MTDC1","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,1
"25-0297-P0001","Detecting Cross-cultural Differential Item Functioning of a School Readiness Measure: A Pilot Study in Head Start","Marisa Macy","School of Teacher Education","In Development","ADD NEW","ADD NEW","School of Teacher Education",NA,NA,NA,"25-0297",2024-11-07 12:14:00,NA,NA,NA,"Kent State University","Detecting Cross-cultural Differential Item Functioning of a School Readiness Measure: A Pilot Study in Head Start","Proposal Created","Marisa Macy","11/7/2024 12:14:25 PM",NA,NA,"55c9c457-93ca-440c-bcf2-51bc37d95a60",NA,NA,NA,"Not Yet Active",NA,NA,NA,NA,"A Subrecipient","No",NA,NA,NA,NA,"FY2025","250297A0001",NA,NA,"College of Education",0,0,0,0,1,0,0,0,0
"24-0151-P0002","Developing a Maple Syrup Industry for the Interior West Through Extension and Research","Abby Anne Perry","UW Extension","Submitted to Sponsor","Utah State University","Foreign Agricultural Services/Department of Agriculture","UW Extension","12/1/2024","9/29/2025","Supplement","24-0151",2024-11-18 10:05:00,"23819.37","11/22/2024 12:00:00 AM",NA,NA,"Developing a Maple Syrup Industry for the Interior West Through Extension and Research - year 3 amendment","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Thomas Abraham Lentner > Abby Anne Perry > Farrell Jean Rapp","11/18/2024 10:05:54 AM > 11/18/2024 10:41:53 AM > 11/18/2024 10:48:29 AM > 11/18/2024 12:18:23 PM > 11/21/2024 06:29:40 PM","Submitted 11/18/2024",NA,"9e575223-6a76-4ef7-9e09-a14ee5692b09",NA,"Passes preaward checks.  Standard IDC, no compliance issues identified.  extension to existing contract (24-0151-A0001)","11/18/2024 10:42:49 AM > 11/18/2024 10:48:29 AM > 11/18/2024 11:56:49 AM > 11/18/2024 11:56:44 AM > 11/18/2024 12:18:23 PM","Approved > Certified",NA,"16483.99","7335.38","23819.37","A Subrecipient","No","23819.37","16483.99","7335.38","23819.37","FY2025","240151A0002",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"25-0181-P0001","Developing novel artificial intelligence algorithms to generate critically appraised topics for evidence-based medical practice","Raphael Victor Vanderstichel","Wyoming State Veterinary Laboratory","Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",NA,"Veterinary Science","8/1/2025","7/31/2027","New","25-0181",2024-09-30 10:09:00,"375669.63","10/16/2024 12:00:00 AM",NA,NA,"Enhancing Evidence-Based Medicine through AI-Driven Generation of Critically Appraised Topics","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Form was edited in 'Submitted to Sponsor' status","Thomas Abraham Lentner > Janissa Marie Analissia Martinez > Raphael Victor Vanderstichel > Lars Kotthoff > Farrell Jean Rapp","9/30/2024 10:09:56 AM > 10/2/2024 11:53:54 AM > 10/9/2024 02:32:06 PM > 10/9/2024 02:34:11 PM > 10/9/2024 03:31:55 PM > 10/14/2024 08:14:57 AM > 10/14/2024 12:49:05 PM > 1/2/2025 11:46:47 AM","Submitted on 10/14/2024 at 12:28pm MT Tracking number  GRANT14279824",NA,"fd16dec7-4eba-42f1-a469-d53163fe833a",NA,"Passes pre-award checks.  Uses modular NIH budget.","10/9/2024 02:32:33 PM > 10/9/2024 03:31:55 PM > 10/9/2024 02:34:11 PM > 10/14/2024 07:01:06 AM > 10/10/2024 06:48:17 AM > 10/9/2024 05:01:44 PM > 10/14/2024 08:14:58 AM","Approved > Certified",NA,"275000","100669.63","375669.63",NA,"Yes","375669.63","275000","100669.63","375669.63","FY2025","250181A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"25-0508-P0001","Development of Efficient & Durable Mass Timber Composite Panels","Garrett Andrew Tatum","Civil & Architectural Engineering & Construction Management","In Development","ADD NEW",NA,"Civil & Architectural Engineering & Construction Management","8/4/2025","8/3/2027","Pre-proposal","25-0508",2025-01-31 10:00:00,"385631","2/21/2025 12:00:00 AM",NA,"Army Corps of Engineers - ERDC / Department of Defense","Development of Efficient & Durable Mass Timber Composite Panels","Proposal Created","Garrett Andrew Tatum","1/31/2025 10:00:26 AM",NA,NA,"2f2cd405-dedc-4a07-8f96-8af55f177be5",NA,NA,NA,"Not Yet Active",NA,"283343","102288","385631",NA,"Yes","385631","283343","102288","385631","FY2025","250508A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,0,1,0,0,0,0
"25-0126-P0001","Development of SERS-Active Coatings on Titanium Surfaces","Roberta Maia Sabino","Chemical & Biomedical Engineering","Submitted to Sponsor","Massachusetts Institute of Technology","National Institutes of Health/Department of Health and Human Services","Chemical & Biomedical Engineering","8/1/2025","7/31/2029","New","25-0126",2024-09-10 02:53:00,"548045","9/23/2024 12:00:00 AM",NA,NA,"Development of SERS-Active Coatings on Titanium Surfaces: Toward a Sensing Platform for Real-Time Monitoring of Tissue Responses in Dental Implants","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: PI Abandoned > Status was changed from: Closed to In Development","Roberta Maia Sabino > John Ruess > Farrell Jean Rapp","9/10/2024 02:53:06 PM > 9/17/2024 09:57:51 AM > 9/17/2024 10:15:36 AM > 9/17/2024 10:18:08 AM > 9/17/2024 10:19:57 AM > 9/19/2024 10:09:01 AM > 9/20/2024 04:13:30 PM > 9/23/2024 09:18:55 AM > 9/24/2024 03:14:48 PM > 9/24/2024 03:15:01 PM > 9/24/2024 03:40:21 PM > 9/24/2024 03:42:46 PM > 9/25/2024 04:35:46 PM > 9/25/2024 04:37:20 PM > 10/3/2024 03:55:33 PM","edit hierarchy > submitted > fixing budgets and such",NA,"98a59393-219f-48e4-95c8-b68cfe48d7fc",NA,NA,"9/20/2024 04:13:30 PM > 9/19/2024 09:54:46 AM > 9/17/2024 10:24:29 AM > 9/17/2024 10:19:57 AM > 9/17/2024 10:18:33 AM > 9/24/2024 03:41:47 PM > 9/24/2024 03:42:46 PM > 9/25/2024 04:20:12 PM > 9/24/2024 04:25:27 PM > 9/25/2024 04:37:20 PM","Approved > Certified",NA,"399725","148320","548045","A Subrecipient","No","548045","399725","148320","548045","FY2025","250126A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0356-P0001","Development of Zwitterionic Tannin-Derived Biopolymer-based Coatings on Mechanical Heart Valves to Prevent Thrombosis","Roberta Maia Sabino","Chemical & Biomedical Engineering","In Development","American Heart Association",NA,"Chemical & Biomedical Engineering","7/1/2025","6/30/2027","New","25-0356",2024-12-05 08:39:00,"1e+05","3/6/2025 12:00:00 AM",NA,NA,"Development of Zwitterionic Tannin-Derived Biopolymer-based Coatings on Mechanical Heart Valves to Prevent Thrombosis","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Assigned to SP Proposal Administrator: Kayleigh Ann Edgar","Roberta Maia Sabino > Thomas Abraham Lentner > Janissa Marie Analissia Martinez","12/5/2024 08:39:41 AM > 12/5/2024 08:48:48 AM > 12/19/2024 11:31:26 AM > 2/6/2025 10:14:01 AM","Pre-proposal.  Waiting for encouragement to update proposal entry",NA,"e759bfc4-d3b8-4a04-8484-552e477ca1d6",NA,NA,NA,"Not Yet Active",NA,"90909","9091","1e+05",NA,"Yes","100000","90909","9091","100000","FY2025","250356A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,0,1,0,0,0,0
"23-1615-P0001","Development, validation, and implementation of diagnostic tests for SARS-CoV-2 and other pathogenic microorganisms of wildlife","Bledar Bisha","Animal Science","Funded","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Animal Science","5/18/2023","5/18/2026","New","23-1615",2023-06-09 04:55:00,"6276250","5/18/2023 12:00:00 AM",NA,NA,"Cooperative Agreement with Univ. Wyoming to develop and validate diagnostic tests for SARS-CoV-2 and other coronaviruses in wildlife.","Proposal Created > Assigned to SP Proposal Administrator: Ashley Schnell > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Bryce Howard > Ashley Schnell","6/9/2023 04:54:59 PM > 6/12/2023 11:23:43 AM > 6/21/2023 09:13:39 AM > 6/21/2023 09:13:50 AM","Legacy, submitted to sponsor 5/19/2023 > Award received",NA,"6b7e449b-7a95-455a-8489-4364ab6e60ff",NA,NA,"6/21/2023 09:11:47 AM","Cancelled > Not Yet Active",NA,"5705681.82","570568.18","6276250",NA,"Yes","6276250","5705681.82","570568.18","6276250","FY2023","231615A0001",6276250,"10TDC","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,1
"24-0845-P0001","Developmental pyrethroid exposure in the prairie vole as a model of environmental risk for autism","Rammohan Shukla","Zoology & Physiology","Submitted to Sponsor","ADD NEW","National Institutes of Health/Department of Health and Human Services","Zoology & Physiology","12/1/2026","11/30/2028","New","24-0845",2024-02-22 01:07:00,"109253.91","2/27/2024 12:00:00 AM",NA,"University of Toledo","Developmental pyrethroid exposure in the prairie vole as a model of environmental risk for autism","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Closed. Resolution set to: Funded (Project Complete) > Status was changed from: Closed to In Development > Status was changed from: In Development to Submitted to Sponsor","Tashina Lemons > Rammohan Shukla > Farrell Jean Rapp","2/22/2024 01:07:20 PM > 2/22/2024 03:05:34 PM > 2/23/2024 08:55:39 AM > 2/23/2024 09:24:22 AM > 2/23/2024 09:57:54 AM > 2/23/2024 02:22:22 PM > 2/23/2024 02:22:56 PM > 2/23/2024 02:24:56 PM","Updating proposal information, only moving to closed for movement to in development
 > updates to proposal form > Submission documents provided to UT, 2/23/24",NA,"b98c3b15-f671-4795-a327-0203f14d0c3b",NA,"Please correct end date.","2/23/2024 09:57:54 AM > 2/23/2024 09:38:54 AM > 2/23/2024 09:38:44 AM > 2/23/2024 09:24:22 AM > 2/23/2024 08:59:03 AM","Approved > Certified > Not Completed",NA,"75608.24","33645.67","109253.91","A Subrecipient","No","109253.91","75608.24","33645.67","109253.91","FY2024","240845A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"25-0423-P0001","Differences in Physiological and Psychological Markers of Stress Between Individuals with and without Anterior Cruciate Ligament Reconstruction","Francesca Genoese","Kinesiology & Health","Not Submitted to Sponsor","University of Wyoming",NA,"Kinesiology & Health","7/1/2025","6/30/2026","New","25-0423",2025-01-10 12:33:00,NA,"2/9/2025 12:00:00 AM",NA,NA,"Differences in Physiological and Psychological Markers of Stress Between Individuals with and without Anterior Cruciate Ligament Reconstruction","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Francesca Genoese > Marissa K. Gannon","1/10/2025 12:33:45 PM > 1/14/2025 08:28:48 AM","Internal funding",NA,"83f57c79-7bf9-46dd-b66e-25253bf67961","PI Abandoned",NA,NA,"Not Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY2025","250423A0001",NA,NA,"College of Health Sciences",0,0,1,0,0,0,0,0,0
"25-0149-P0001","Direct detection of the low-mass companion responsible for Betelgeuse's long secondary period","Meridith Paige Joyce","School of Computing","Submitted to Sponsor","National Aeronautics and Space Administration",NA,"School of Computing",NA,NA,"New","25-0149",2024-09-17 05:00:00,NA,"10/19/2024 12:00:00 AM",NA,NA,"Direct detection of the low-mass companion responsible for Betelgeuse's long secondary period","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Not Funded","Meridith Paige Joyce > Thomas Abraham Lentner","9/17/2024 05:00:35 PM > 11/4/2024 04:03:50 PM","STScI does not have funding available for cycle 32 DD funding.  See attached notes.  Can re-open this proposal entry if funding becomes available.",NA,"5e3b5db2-cfdd-41a5-8602-87ba0088f173","Not Funded",NA,NA,"Not Completed",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"FY2025","250149A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0057-P0001","Discovering the Most Metal-poor Stars in our Milky Way Galaxy","Maxwell Cassady Moe","Physics & Astronomy","Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Physics & Astronomy","5/1/2025","4/30/2027","New","25-0057",2024-08-08 03:05:00,"3e+05","8/15/2024 12:00:00 AM",NA,NA,"Discovering the Most Metal-poor Stars in our Milky Way Galaxy","Proposal Created > Status was changed from: In Development to Under Review > Certified > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Maxwell Cassady Moe > Thomas Abraham Lentner > Inna Willis > Farrell Jean Rapp","8/8/2024 03:05:40 PM > 8/13/2024 04:07:19 PM > 8/13/2024 09:06:03 PM > 8/15/2024 02:06:38 PM > 8/15/2024 02:44:04 PM > 8/15/2024 03:01:15 PM","Submitted 08/15/2024 3pm",NA,"c40d3728-3c76-4bd1-aa9b-6164abf938b7",NA,"Passes pre-award checks.  Ready for review and approval","8/13/2024 04:07:42 PM > 8/13/2024 09:06:03 PM > 8/15/2024 12:39:29 PM > 8/14/2024 06:09:15 AM > 8/15/2024 02:44:04 PM","Approved > Certified",NA,"218699","81301","3e+05",NA,"Yes","300000","218699","81301","300000","FY2025","250057A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0284-P0001","Discovering the Oldest and Most Metal-Poor Stars of our Milky Way Galaxy","Maxwell Cassady Moe","Physics & Astronomy","Not Submitted to Sponsor","National Science Foundation",NA,"Physics & Astronomy",NA,NA,"New","25-0284",2024-10-31 03:45:00,NA,"11/15/2024 12:00:00 AM",NA,NA,"Discovering the Oldest and Most Metal-Poor Stars in our Milky Way Galaxy","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Maxwell Cassady Moe > Janissa Marie Analissia Martinez","10/31/2024 03:45:05 PM > 11/1/2024 09:24:10 AM > 11/11/2024 01:40:25 PM","See attached correspondence from 11/11/2024.",NA,"51d2e5ce-7f94-4106-bec8-aea8ebfa61be","PI Abandoned",NA,NA,"Not Completed",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"FY2025","250284A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,0,0,0,0
"25-0437-P0001","Discovery of novel anti-fungal metabolites protecting tardigrades during prolonged biostasis","Takashi L. Suyama","Chemistry","Submitted to Sponsor","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services",NA,"Chemistry","1/1/2026","12/31/2030","New","25-0437",2025-01-14 01:18:00,"1644892","1/28/2025 12:00:00 AM",NA,NA,"Discovery of novel anti-fungal metabolites protecting tardigrades during prolonged biostasis","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Takashi L. Suyama > Kayleigh Ann Edgar > Eunsook Park > Jason P. Gigley > Thomas C. Boothby > Thomas Abraham Lentner > Francisco Basile > Farrell Jean Rapp","1/14/2025 01:18:04 PM > 1/24/2025 02:32:12 PM > 1/24/2025 02:56:27 PM > 1/24/2025 03:00:59 PM > 1/24/2025 03:23:37 PM > 1/26/2025 03:05:10 PM > 1/27/2025 09:37:56 AM > 1/27/2025 02:20:50 PM > 1/27/2025 04:50:59 PM > 1/27/2025 04:52:17 PM > 1/28/2025 09:48:25 AM","The budget justification included in this draft contains an error where the R33 Year 1 Equipment cost was not included in the total for the year (making the actual total >$300k). So I adjusted that year's budget so that all direct costs fit within the requisite $300k (other years' budgets weren't affected). This updated justification was provided to the pre-award office. > 1/28/25 Submitted via ASSIST - Zoom with PI",NA,"936351be-de5f-442e-9fb8-59b721dcb551",NA,"Passes pre-award checks. > The budget justification included in this draft contains an error where the R33 Year 1 Equipment cost was not included in the total for the year (making the actual total >$300k). So I adjusted that year's budget so that all direct costs fit within the requisite $300k (other years' budgets weren't affected). This updated justification was provided to the pre-award office.","1/24/2025 02:54:39 PM > 1/27/2025 02:20:50 PM > 1/26/2025 03:05:10 PM > 1/24/2025 03:23:37 PM > 1/24/2025 03:00:59 PM > 1/24/2025 02:56:27 PM > 1/27/2025 04:38:56 PM > 1/27/2025 02:37:28 PM > 1/27/2025 02:37:23 PM > 1/27/2025 02:23:19 PM > 1/27/2025 02:23:14 PM > 1/27/2025 02:23:09 PM > 1/27/2025 04:52:17 PM","Approved > Certified",NA,"1175000","469892","1644892",NA,"Yes","1644892","1175000","469892","1644892","FY2025","250437A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"24-0085-P0001","Dittoe USDA SEED","Dana Kristen Dittoe","Animal Science","Funded","National Institute of Food and Agriculture/Department of Agriculture",NA,"Animal Science","4/1/2024","3/31/2025","New","24-0085",2023-07-21 11:21:00,"299980","8/10/2023 12:00:00 AM",NA,NA,"Pre-Harvest Heat Stress: Disruption of Microbial Ecology and Subsequent Shelf-Life of Raw Poultry Products","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Dana Dittoe > John Ruess > Dana Kristen Dittoe > Farrell Jean Rapp","7/21/2023 11:21:32 AM > 8/8/2023 09:29:19 AM > 8/8/2023 09:29:45 AM > 8/8/2023 09:30:51 AM > 8/8/2023 11:38:56 AM > 8/9/2023 10:38:29 AM > 8/9/2023 03:55:45 PM > 7/3/2024 02:42:31 PM","8-9-23 > Funded.",NA,"f502284e-67bb-49f0-8f5f-140712394912",NA,"Please add Tori Henderson for Wyocloud access > 8-8-23 > TOtal needs updating","8/9/2023 10:38:29 AM > 8/8/2023 12:17:09 PM > 8/8/2023 12:13:24 PM > 8/8/2023 11:38:56 AM > 8/8/2023 09:31:10 AM > 8/8/2023 09:29:46 AM","Approved > Certified > Declined",NA,"243552","56428","299980",NA,"Yes","299980","243552","56428","299980","FY2024","240085A0001",188114,"42857TDC","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,1
"25-0166-P0001","Diversity, structure, and post-transcriptional regulation of the Arginine Deiminase operon among oral bacteria and its implications for probiotic development","Allison E. Mann","Anthropology","Submitted to Sponsor","ADD NEW",NA,"Anthropology","7/1/2025","6/30/2027","New","25-0166",2024-09-24 04:13:00,"179332","10/16/2024 12:00:00 AM",NA,"National Institute of Dental and Craniofacial Research","Diversity, structure, and post-transcriptional regulation of the Arginine Deiminase operon among oral bacteria and its implications for probiotic development","Proposal Created > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Kayleigh Ann Edgar > Status was changed from: Under Review to In Development > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Allison E. Mann > Janissa Marie Analissia Martinez > Kayleigh Ann Edgar > Thomas Abraham Lentner > Farrell Jean Rapp","9/24/2024 04:13:41 PM > 10/1/2024 12:25:34 PM > 10/2/2024 10:18:21 AM > 10/2/2024 10:50:03 AM > 10/11/2024 04:01:13 PM > 10/11/2024 04:22:43 PM > 10/11/2024 04:26:52 PM > 10/14/2024 08:28:27 AM > 10/14/2024 08:28:53 AM > 10/16/2024 12:20:56 PM","for review and finalization > 10/16/24 application submitted through ASSIST",NA,"935791d2-4509-40e0-b248-1deeff0a666c",NA,"Passes Pre-award checks. > Please add Vicki Nelson to WyoCloud Access.

A&S Dean's Office approval VN","10/11/2024 04:06:33 PM > 10/11/2024 04:22:43 PM > 10/12/2024 01:19:22 PM > 10/11/2024 04:48:48 PM > 10/14/2024 08:28:53 AM","Approved > Certified",NA,"131979","47353","179332",NA,"Yes","179332","131979","47353","179332","FY2025","250166A0001",NA,NA,"College of Arts & Sciences",0,0,0,1,0,0,0,0,1
