"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Status","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Submitted to Sponsor","Under Consideration","Not Funded","Transfer","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date","Matched_Pattern","Project Manager","Joining Date","Total Start Up Funds","Months_to_submit_first_proposal","Months_to_submit_first_federal_grant"
"25-0248-P0001","Advancing Automation and Sustainability: A Holistic Approach to CEA Efficiency and Labor Solutions","Yaqoob Majeed","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"Electrical Engineering & Computer Science","9/1/2025","8/31/2026","Pre-proposal",NA,"25-0248","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"10/22/2024 11:51:34 am","50000","11/8/2024","Advancing Automation and Sustainability: A Holistic Approach to CEA Efficiency and Labor Solutions","Proposal Created","Yaqoob Majeed","10/22/2024 11:51:34 am",NA,NA,NA,NA,"11/4/2024 10:01:01 am","Approved",NA,"35000","15000",50000,NA,"Yes",2024-11-06 23:02:16,NA,"FY2025","250248A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-09-20,2024-11-06,"Yaqoob.*Majeed","Yaqoob Majeed",2024-08-20," 461700.00",1,2.6
"25-0493-P0001","Artificial Intelligence in Pre-clinical Drug Development for AD/ADRD","Khaled M. Elokely","Submitted to Sponsor","Temple University","National Institute on Aging/National Institutes of Health/Department of Health and Human Services","School of Pharmacy","12/1/2025","11/30/2030","New",NA,"25-0493","School of Pharmacy","U.S. Federal Government",NA,"1/27/2025 09:29:35 am","1649262","2/13/2025","AI/ML driven preclinical development of Sigma-2 ligands for the treatment of Alzheimer's Disease","Proposal Created","Kara Ann Enyeart","1/27/2025 09:29:34 am",NA,NA,NA,"Passes pre-award checks","2/6/2025 08:29:13 am","Approved",NA,"1162263","486999",1649262,"A Subrecipient","No",2025-02-12 20:33:06,NA,"FY2025","250493A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2024-08-12,2025-02-12,"Khaled.*Elokely","Khaled Elokely",2024-08-20," 180000.00",-0.3,5.9
"25-0130-P0001","Assessing Pain-Related Knowledge and Practices Among Secondary School Student-Athletes and Athletic Trainers","Francesca Genoese","Submitted to Sponsor","Wyoming Department of Health",NA,"Kinesiology & Health","4/1/2025","3/31/2027","New",NA,"25-0130","Kinesiology & Health","Wyoming State Governmental Entities",NA,"9/11/2024 03:49:31 pm","121510","2/28/2025","Assessing Pain-Related Knowledge and Practices Among Secondary School Student-Athletes and Athletic Trainers","Proposal Created","Francesca Genoese","9/11/2024 03:49:30 pm",NA,NA,NA,"Passes pre-award checks.  State contract","2/27/2025 05:11:54 pm","Approved",NA,"101258","20252",121510,NA,"Yes",2025-03-17 15:53:27,NA,"FY2025","250130A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2025-02-14,NA,"Francesca.*Genoese","Francesca Genoese",2024-08-20,"  76987.50",5.9,NA
"25-0025-P0001","Assessment of a new MAGL inhibitor as a potential agent for managing opioid use disorder","Khaled M. Elokely","Submitted to Sponsor","Temple University","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services","School of Pharmacy","4/1/2025","3/31/2030","New",NA,"25-0025","School of Pharmacy","Institutions of Higher Education",NA,"7/18/2024 09:35:03 am","310127","8/2/2024","Assessment of a new MAGL inhibitor as a potential agent for managing opioid use disorder","Proposal Created","John Ruess","7/18/2024 09:35:02 am",NA,NA,NA,NA,"7/30/2024 07:57:26 am","Approved",NA,"229012","81115",310127,"A Subrecipient","No",2024-08-12 18:26:12,NA,"FY2025","250025A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2024-08-12,2025-02-12,"Khaled.*Elokely","Khaled Elokely",2024-08-20," 180000.00",-0.3,5.9
"24-1100-P0001","B Cell Function & Protection to Brucellosis","David W Pascual","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",NA,"Veterinary Science","3/1/2025","2/28/2027","Resubmission",NA,"24-1100","Veterinary Science","U.S. Federal Government",NA,"6/24/2024 10:14:22 am","397375","7/10/2024","B Cell Function & Protection to Brucellosis","Proposal Created","John Ruess","6/24/2024 10:14:21 am",NA,NA,NA,NA,"6/28/2024 02:22:22 pm","Approved",NA,"275000","122375",397375,NA,"Yes",2024-07-10 15:59:07,NA,"FY2025","241100A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"24-1090-P0001","BRC-BIO: Investigating the role of hypothalamic cell types and circuits in social thermoregulation","Nicole Lara Bedford","Submitted to Sponsor","National Science Foundation",NA,"Zoology & Physiology","1/1/2025","12/31/2027","New",NA,"24-1090","Zoology & Physiology","U.S. Federal Government",NA,"6/18/2024 03:00:28 pm","499808","7/1/2024","BRC-BIO: Investigating the role of hypothalamic cell types and circuits in social thermoregulation","Proposal Created","Nicole Lara Bedford","6/18/2024 03:00:27 pm",NA,NA,NA,NA,"6/27/2024 02:31:21 pm","Approved",NA,"370174","129635",499808,NA,"Yes",2024-07-01 21:45:41,NA,"FY2025","241090A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2023-12-13,2023-12-13,"Nicole.*Bedford","Nicole Bedford",2021-08-17," 314926.00",28.3,28.3
"25-0565-P0001","Bioeconomic Assessment of Regenerative Grazing Systems in Organic Transitioning Sheep Farms Across Diverse Climatic Regions","Paulo De Mello Tavares Lima","Submitted to Sponsor","Oregon State University","National Institute of Food and Agriculture/Department of Agriculture","Animal Science","6/2/2025","12/20/2028","New",NA,"25-0565","Animal Science","Institutions of Higher Education",NA,"2/21/2025 04:21:06 pm","$319429","3/6/2025","Bioeconomic Assessment of Regenerative Grazing Systems in Organic Transitioning Sheep Farms Across Diverse Climatic Regions","Proposal Created","Paulo De Mello Tavares Lima","2/21/2025 04:21:06 pm",NA,NA,NA,NA,"2/28/2025 11:33:13 am","Certified",NA,"$252773","$66656",319429,"A Subrecipient","No",2025-03-04 23:36:15,NA,"FY2025","250565A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2023-12-06,2023-12-06,"Paulo.*De","Paulo De",2023-01-11," 175000.00",11,11
"25-0020-P0001","Biological Network Modeling with Dynamics-Derived Geometry, Topology and Wavelets","Dane Robert Taylor","Not Funded","National Science Foundation",NA,"School of Computing","6/1/2025","5/31/2030","New",NA,"25-0020","School of Computing","U.S. Federal Government",NA,"7/15/2024 05:06:53 pm","400000","7/24/2024","CAREER: Biological Network Modeling with Dynamics-Derived Geometry, Topology and Wavelets","Proposal Created","Dane Robert Taylor","7/15/2024 05:06:52 pm",NA,NA,"Not Funded","Updating budget justification","7/19/2024 03:26:54 pm","Declined",NA,"294340","105660",4e+05,NA,"Yes",2024-07-24 18:18:44,NA,"FY2025","250020A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,1,2023-08-18,2023-08-18,"Dane.*Taylor","Dane Taylor",2023-08-22," 183642.98",-0.1,-0.1
"25-0132-P0001","Breakthrough Strategies for Selective PI3K/AKT/mTOR Pathway Inhibition in Advanced Cancer Therapeutics","Khaled M. Elokely","Submitted to Sponsor","Department of Defense",NA,"School of Pharmacy","9/30/2025","8/31/2028","New",NA,"25-0132","School of Pharmacy","Institutions of Higher Education",NA,"9/11/2024 10:13:18 pm","650250","9/26/2024","Breakthrough Strategies for Selective PI3K/AKT/mTOR Pathway Inhibition in Advanced Cancer Therapeutics","Proposal Created","Khaled M. Elokely","9/11/2024 10:13:17 pm",NA,NA,NA,NA,"9/18/2024 01:57:15 pm","Approved",NA,"450000","200250",650250,NA,"Yes",2024-09-24 15:56:49,NA,"FY2025","250132A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2024-08-12,2025-02-12,"Khaled.*Elokely","Khaled Elokely",2024-08-20," 180000.00",-0.3,5.9
"25-0189-P0001","Breathing Easy: Validating Voc Sensor Technology For Enhanced Rangeland Livestock Monitoring","Dana Kristen Dittoe","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"Animal Science","4/1/2025","3/31/2027","New",NA,"25-0189","Animal Science","U.S. Federal Government",NA,"10/2/2024 01:33:30 pm","299884","10/3/2024","Breathing Easy: Validating VOC Sensor Technology For Enhanced Rangeland Livestock Monitoring","Proposal Created","Dana Kristen Dittoe","10/2/2024 01:33:29 pm",NA,NA,NA,NA,"10/3/2024 08:25:09 am","Approved",NA,"212864","87020",299884,NA,"Yes",2024-10-03 21:49:57,NA,"FY2025","250189A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2023-06-14,2023-08-09,"Dana.*Dittoe","Dana Dittoe",2023-01-13," 175000.00",5.1,6.9
"25-0445-P0001","Bridging the Gap: Leveraging Community Colleges to Recruit Secondary STEM Teachers in Rural Serving Institutions","Miriam Marie Sanders","Submitted to Sponsor","Spencer Foundation",NA,"School of Teacher Education","8/18/2025","8/16/2030","New",NA,"25-0445","School of Teacher Education","Non-Profit Organizations",NA,"1/15/2025 03:45:56 pm","$478900","2/11/2025","Bridging the Gap: Leveraging Community Colleges to Recruit Secondary STEM Teachers in Rural Serving Institutions","Proposal Created","Miriam Marie Sanders","1/15/2025 03:45:55 pm",NA,NA,NA,"Passes pre-award checks","2/4/2025 12:32:05 pm","Approved",NA,"416434","62465",478900,NA,"Yes",2025-02-14 15:21:49,NA,"FY2025","250445A0001",NA,NA,NA,"College of Education",0,1,0,0,0,1,2024-11-13,2024-11-13,"Miriam.*Sanders","Miriam Sanders",2024-08-20,"  10033.00",2.8,2.8
"24-1054-P0001","Broadband Microwave Spectromicroscopy","Alexander Paul Petrovic","Funded","Arizona State University",NA,"Physics & Astronomy","7/15/2024","1/15/2025","New",NA,"24-1054","Physics & Astronomy","Institutions of Higher Education",NA,"5/28/2024 02:12:44 pm","28491","6/7/2024","Broadband Microwave Spectromicroscopy","Proposal Created","Thomas Abraham Lentner","5/28/2024 02:12:43 pm",NA,NA,NA,"Passes pre-award checks.  PI applied for Indirect cost waiver, approval forthcoming.  Routing for internal review and approval.","6/6/2024 04:48:58 pm","Approved",NA,"28491","0",28491,NA,"Yes",2024-06-21 15:12:42,2024-08-15 12:02:21,"FY2024","241054A0001","ACTIVE",28491,"NONE","College of Engineering & Physical Sciences",1,0,0,0,0,1,2024-02-28,2024-02-28,"Alexander.*Petrovic","Alexander Petrovic",2023-08-22,"1270000.00",6.3,6.3
"25-0120-P0001","Brush Pile Burning Effects Of Soil Health From The Scar To Ecosystem Scale","Jennifer Kay Bell","Submitted to Sponsor","ADD NEW","National Institute of Food and Agriculture/Department of Agriculture","Ecosystem Science & Management","1/1/2025","12/31/2027","New",NA,"25-0120","Ecosystem Science & Management","Non-Profit Organizations",NA,"9/9/2024 12:58:01 pm","217655","9/10/2024","Brush Pile Burning Effects Of Soil Health From The Scar To Ecosystem Scale","Proposal Created","Thomas Abraham Lentner","9/9/2024 12:58:01 pm",NA,NA,NA,"Passes pre-award checks.  Standard IDC is under 30% TFFA cap.  Subaward from Morton Arboretum","9/9/2024 04:22:05 pm","Approved",NA,"158017","59638",217655,"A Subrecipient","No",2024-09-11 14:09:02,NA,"FY2025","250120A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-09-11,NA,"Jennifer.*Bell","Jennifer Bell",2024-08-20," 100000.00",0.7,NA
"24-0982-P0001","CAREER: Investigating Host Response in the Pathogenesis of FV3 (Ranavirus sp) in Wood Frogs, Rana sylvatica (Lithobates sylvaticus)","Maria Forzan","Transfer","National Science Foundation",NA,"Veterinary Science","8/1/2024","7/31/2028","Transfer",NA,"24-0982","Veterinary Science","U.S. Federal Government",NA,"4/26/2024 09:10:33 am","1016339","6/14/2024","CAREER: Investigating Host Response in the Pathogenesis of FV3 (Ranavirus sp) in Wood Frogs, Rana sylvatica (Lithobates sylvaticus)","Proposal Created","Tashina Lemons","4/26/2024 09:10:32 am",NA,NA,NA,"Transfer of CAREER grant for Dr. Forzan.  Passes pre-award checks.","7/12/2024 04:39:30 pm","Approved",NA,"747515","268824",1016339,NA,"Yes",2024-07-22 13:17:27,2024-08-08 14:18:04,"FY2025","240982A0001","ACTIVE",508350,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,0,0,0,1,0,2024-07-22,2024-07-22,"Maria.*Forzan","Maria Forzan",2024-04-15," 360750.00",3.3,3.3
"25-0095-P0001","CCAI Innovation Grant - Urban Ag","Jason Kelly Hawes","Submitted to Sponsor","ADD NEW",NA,"School of Computing","2/1/2025","2/1/2026","New",NA,"25-0095","School of Computing","Non-Profit Organizations",NA,"8/28/2024 11:08:01 am","$149507","9/15/2024","AI for UA - Leveraging artificial intelligence to plan climate smart, resilient local food systems via urban agriculture","Proposal Created","Jason Kelly Hawes","8/28/2024 11:08:01 am",NA,NA,NA,"PI plans to draw from state AI match to provide leveraged resources to support project deliverables.  Pre-award recommends against including voluntary cost share in proposal, but rather describe leveraged funding resources to support program.","9/12/2024 06:09:13 pm","Approved",NA,"$133277.92","16230",NA,NA,"Yes",2024-09-16 23:01:59,NA,"FY2025","250095A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-09-16,NA,"Jason.*Hawes","Jason Hawes",2025-01-02," 115276.82",-3.6,NA
"25-0344-P0001","Center for Rural AI","Sean Field","Submitted to Sponsor","National Endowment for the Humanities",NA,"School of Computing","8/1/2026","7/31/2029","New",NA,"25-0344","School of Computing","U.S. Federal Government",NA,"11/27/2024 03:24:04 pm","497192","12/11/2024","Wyoming Center for Rural AI","Proposal Created","Elizabeth Marie Nysson","11/27/2024 03:24:04 pm",NA,NA,NA,"Passes pre-award checks.","12/5/2024 04:58:38 pm","Approved",NA,"367262","129930",497192,NA,"Yes",2024-12-11 18:51:53,NA,"FY2025","250344A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-11-15,2024-11-15,"Sean.*Field","Sean Field",2023-08-22," 210000.00",15,15
"24-1003-P0001","Chemical Abundances of a Billion Stars with GALEX, Gaia, 2MASS, and WISE","Maxwell Cassady Moe","Under Consideration","National Aeronautics and Space Administration",NA,"Physics & Astronomy","5/1/2025","4/30/2028","New",NA,"24-1003","Physics & Astronomy","U.S. Federal Government",NA,"5/3/2024 01:52:49 pm","368000","5/16/2024","Chemical Abundances of a Billion Stars with GALEX, Gaia, 2MASS, and WISE","Proposal Created","Maxwell Cassady Moe","5/3/2024 01:52:48 pm",NA,NA,NA,"Passes pre-award checks.  For this opportunity, only a general, anonymized budget justification is required (in the attachments).  If selected, NASA will request a detailed budget from UW.  Budget and project summary (in attachments) pass pre-award checks for compliance.  PI is finalizing full application in NSPIRES, Pre-award will attach a full copy to ROAMWYO at the time of submission.","5/15/2024 11:44:22 am","Approved",NA,"275000","93000",368000,NA,"Yes",2024-11-01 22:38:14,NA,"FY2025","241003A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,1,2024-03-15,2024-03-15,"Maxwell.*Moe","Maxwell Moe",2022-08-16," 113000.00",19.2,19.2
"25-0371-P0001","City of Douglas, WY EPA SWIFR Grant Partnership","Grete Gansauer","Submitted to Sponsor","ADD NEW","Environmental Protection Agency","Haub School of Environment & Natural Resources","10/1/2025","10/1/2027","Pre-proposal",NA,"25-0371","Haub School of Environment & Natural Resources","Wyoming Local Governmental Entities",NA,"12/12/2024 11:28:50 am","116670","12/18/2024","City of Douglas Recycle Round-Up Initiative","Proposal Created","Grete Gansauer","12/12/2024 11:28:50 am",NA,NA,NA,"Passes pre-award checks.  Subaward to city of Douglas on EPA grant.  Standard terms for federal funding.","12/16/2024 04:48:56 pm","Approved",NA,"88614","28056",116670,"A Subrecipient","No",2024-12-19 18:06:30,NA,"FY2025","250371A0001",NA,NA,NA,"Haub School of Environment & Natural Resources",0,1,0,0,0,1,2024-12-19,NA,"Grete.*Gansauer","Grete Gansauer",2025-01-02," 103674.59",-0.5,NA
"24-0144-P0001","City of Redmond: Dry Canyon Use Survey","Curt Davidson","Funded","ADD NEW",NA,"Haub School of Environment & Natural Resources","2/27/2023","3/1/2024","New",NA,"24-0144","Haub School of Environment & Natural Resources","Other State and Local Governmental Entities",NA,"8/8/2023 08:31:04 am","9631","2/20/2023","City of Redmond: Dry Canyon Use Survey","Proposal Created","Curt Davidson","8/8/2023 08:31:03 am",NA,NA,NA,NA,"8/21/2023 01:42:31 pm","Approved",NA,"9631","0",9631,NA,"Yes",2023-08-24 16:55:09,2023-08-24 10:55:22,"FY2024","240144A0001",NA,9631,NA,"Haub School of Environment & Natural Resources",1,0,0,0,0,1,2023-08-24,2024-11-22,"Curt.*Davidson","Curt Davidson",2022-08-16,"  34834.00",12.4,27.6
