"Award #","PI","Project Title","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Increment Amount","PI Unit","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Amount","Award Id","Award Notice Received","Award Title","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","History Comment","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","nifa capacity grant","Prime Sponsor Org Type","Prime Sponsor Primary Code","project location","proposal type","Resolution","Routing Comment","Routing Date","Routing Status","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-0986-A0001-3","Scott P. Schell","University of Wyoming Extension Implementation Program Team Plan","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2025","Ecosystem Science & Management",362104,"23-0986",362104,NA,"Active","7/30/2024 10:18:38 AM",NA,NA,"Ecosystem Science & Management",3,"Grantee Approved No Cost Extension","7/30/2024","Farrell Jean Rapp","Basic Research",300000007170672,NA,"1927c93e-544d-4683-89c5-4ac4b4662454",NA,NA,"8/31/2025","9/1/2021","10.329","Ecosystem Science & Management",300000007170672,362104,NA,"20217000635482","Award Created","Legacy Loader","4/24/2023 07:14:45 PM",NA,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,"01-USDANIFA","Off Campus","New",NA,NA,NA,NA,"20217000635482",NA,"01-USDANIFA","U.S. Federal Government",NA,"362,104.00"
"23-0330-A0001","Barbara Ann Rasco","Animal Health and Disease Research Capacity FY19","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2021","College of Agriculture, Life Sciences & Natural Resources Deans Office",26048,"23-0330",NA,NA,"Closed","4/24/2023 06:36:46 PM",NA,NA,"College of Agriculture, Life Sciences & Natural Resources Deans Office",0,"Original Award",NA,NA,NA,300000006254272,NA,"1cb7b559-05b3-4381-a786-fb91bc7876ae","8/22/2019",NA,"9/30/2021","10/1/2018","10.207",NA,NA,NA,NA,"NI19AHDRXXXXG032","Award Created","Legacy Loader","4/24/2023 06:36:46 PM",NA,NA,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,"Admin Closed",NA,NA,NA,"NI19AHDRXXXXG032",NA,"01-USDANIFA",NA,NA,NA
"23-0642-A0001-0","Kelly Keith Crane","University of Wyoming Smith-Lever Special Needs (FY21)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2020","9/30/2025","UW Extension",43951,"23-0642",NA,NA,"Active","4/24/2023 06:55:38 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"1dd44a48-0169-495a-a6b5-f9f26237f9e7","12/7/2020",NA,"9/30/2025","10/1/2020","10.511",NA,NA,NA,NA,"NI21SLSNXXXXG006",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,NA,NA,NA,NA,"NI21SLSNXXXXG006",NA,"01-USDANIFA",NA,NA,NA
"23-0642-A0001-1","Amanda Sue Marney","University of Wyoming Smith-Lever Special Needs (FY21)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2020","9/30/2025","UW Extension",43951,"23-0642",NA,NA,"Active","12/19/2024 11:00:40 AM",NA,NA,"UW Extension",1,"Key Personnel Change","12/19/2024","Kristi Hargis Stockdale","Basic Research",300000007170503,NA,"1dd44a48-0169-495a-a6b5-f9f26237f9e7","12/7/2020",NA,"9/30/2025","10/1/2020","10.511",NA,NA,43951,NA,"NI21SLSNXXXXG006","Award Created","Legacy Loader","4/24/2023 06:55:38 PM",NA,"No","Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,"01-USDANIFA","Off Campus","New",NA,NA,NA,NA,"NI21SLSNXXXXG006",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0039-A0001","Melinda Denise Meuli","FFY17 (2016-21) EFNEP Main","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2016","9/30/2021","UW Extension",275720,"23-0039",NA,NA,"Closed","4/24/2023 06:20:00 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"1e503b2e-54c7-4984-a947-e8f57bccc10e",NA,NA,"9/30/2021","10/1/2016","10.500",NA,NA,NA,NA,"20174151005100","Award Created","Legacy Loader","4/24/2023 06:20:00 PM",NA,NA,"Research",NA,NA,NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI17EFNEPXXXG044",NA,"01-USDANIFA",NA,NA,NA
"23-0205-A0001","Warren K Crawford","Pathways to Higher Education: Engaging Secondary Education Students in the Food, Agricultural, Natural Resources, and Human Sciences","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2018","8/31/2022","UW Extension",126247,"23-0205",NA,NA,"Closed","4/24/2023 06:29:25 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"1ec46222-72c3-447c-8b29-cb23fe796922","8/23/2018",NA,"8/31/2022","9/1/2018","10.226",NA,NA,NA,NA,"20183841428611","Award Created","Legacy Loader","4/24/2023 06:29:25 PM",NA,NA,"Instruction",NA,"34% MTDC",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"2018-38414-28611",NA,"01-USDANIFA",NA,NA,NA
"23-0664-A0001-0","Kelly Keith Crane","University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2020","9/30/2025","UW Extension",1738325,"23-0664",NA,NA,"Active","4/24/2023 06:56:51 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"1f95941c-1171-4e67-b5ff-5124731edf2f",NA,NA,"9/30/2025","10/1/2020","10.511",NA,NA,NA,NA,"NI21SLBCXXXXG040",NA,NA,NA,NA,NA,"Research",NA,NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,NA,NA,NA,NA,"NI21SLBCXXXXG040",NA,"01-USDANIFA",NA,NA,NA
"23-0664-A0001-1","Amanda Sue Marney","University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2020","9/30/2025","UW Extension",1738325,"23-0664",NA,NA,"Active","12/19/2024 11:43:06 AM",NA,NA,"UW Extension",1,"Key Personnel Change","12/19/2024","Kristi Hargis Stockdale","Experimental Development",300000007170503,NA,"1f95941c-1171-4e67-b5ff-5124731edf2f",NA,NA,"9/30/2025","10/1/2020","10.511",NA,NA,1738325,NA,"NI21SLBCXXXXG040","Award Created","Legacy Loader","4/24/2023 06:56:51 PM",NA,"No","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,"01-USDANIFA","Off Campus","New",NA,NA,NA,NA,"NI21SLBCXXXXG040",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-1055-A0001","Melinda Denise Meuli","University of Wyoming Extension - Expanded Food and Nutrition Education (EFNEP) FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2021","9/30/2026","UW Extension",278135,"23-1055",NA,NA,"Active","4/24/2023 07:19:03 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"21f6922c-b395-44c7-8640-e6fd8d85e376",NA,NA,"9/30/2026","10/1/2021","10.514",NA,NA,NA,NA,"NI22EFNEPXXXG050","Award Created","Legacy Loader","4/24/2023 07:19:03 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI22EFNEPXXXG050",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"25-0135-A0001-0","Amanda Sue Marney","Renewable Resources Extension Act Program","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2024","9/30/2026","UW Extension",10502,"25-0135",47736,NA,"Active","1/16/2025 12:52:21 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170503,NA,"257f1370-9fc8-49f3-a543-df1e3a77bc93","12/11/2024",NA,"9/30/2026","10/1/2024","10.515","UW Extension",300000007170503,10502,"No","NI25RREAFXXXG067",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25RREAFXXXG067",NA,"01-USDANIFA","U.S. Federal Government",NA,"47,736.00"
"25-0135-A0001-1","Amanda Sue Marney","Renewable Resources Extension Act Program","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2024","9/30/2026","UW Extension",21577,"25-0135",47736,NA,"Active","4/1/2025 11:58:45 AM",NA,NA,"UW Extension",1,"New Funding Increment","4/1/2025","Evelyn Renee Kelley","Other Sponsored Activity",300000007170503,NA,"257f1370-9fc8-49f3-a543-df1e3a77bc93","3/28/2025",NA,"9/30/2026","10/1/2024","10.515","UW Extension",300000007170503,21577,"No","NI25RREAFXXXG067-0001",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25RREAFXXXG067-0001",NA,"01-USDANIFA","U.S. Federal Government",NA,"47,736.00"
"25-0135-A0001-2","Amanda Sue Marney","Renewable Resources Extension Act Program","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2024","9/30/2026","UW Extension",35802,"25-0135",47736,NA,"Active","6/10/2025 10:29:57 AM",NA,NA,"UW Extension",2,"New Funding Increment","6/10/2025","Evelyn Renee Kelley","Other Sponsored Activity",300000007170503,NA,"257f1370-9fc8-49f3-a543-df1e3a77bc93","3/28/2025",NA,"9/30/2026","10/1/2024","10.515","UW Extension",300000007170503,35802,"No","NI25RREAFXXXG067","Award Created","Farrell Jean Rapp","1/16/2025 12:52:21 PM",NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25RREAFXXXG067-0002",NA,"01-USDANIFA","U.S. Federal Government",NA,"47,736.00"
"25-0061-A0001-0","Melinda Denise Meuli","Expanded Food and Nutrition Education 2025","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2029","UW Extension",61356,"25-0061",61356,NA,"Active","12/12/2024 09:36:08 AM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170503,NA,"2581612d-1f41-4799-8f6d-2b157a04a67d","12/10/2024",NA,"9/30/2029","10/1/2024","10.514","UW Extension",300000007170503,61356,"No","NI25EFNEPXXXG070",NA,NA,NA,NA,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,NA,"Off Campus","New",NA,NA,NA,NA,"NI25EFNEPXXXG070",NA,"01-USDANIFA","U.S. Federal Government",NA,"278,891.00"
"25-0061-A0001-1","Melinda Denise Meuli","Expanded Food and Nutrition Education 2025","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2029","UW Extension",126059,"25-0061",61356,NA,"Active","3/27/2025 11:26:18 AM",NA,NA,"UW Extension",1,"New Funding Increment","3/27/2025","Evelyn Renee Kelley","Other Sponsored Activity",300000007170503,NA,"2581612d-1f41-4799-8f6d-2b157a04a67d","3/25/2025",NA,"9/30/2029","10/1/2024","10.514","UW Extension",300000007170503,126059,"No","NI25EFNEPXXXG070-0001",NA,NA,NA,NA,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,NA,"Off Campus","New",NA,NA,NA,NA,"NI25EFNEPXXXG070-0001",NA,"01-USDANIFA","U.S. Federal Government",NA,"278,891.00"
"25-0061-A0001-2","Melinda Denise Meuli","Expanded Food and Nutrition Education 2025","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2029","UW Extension",209172,"25-0061",278896,NA,"Active","5/16/2025 01:21:38 PM",NA,NA,"UW Extension",2,"New Funding Increment","5/16/2025","Evelyn Renee Kelley","Other Sponsored Activity",300000007170503,NA,"2581612d-1f41-4799-8f6d-2b157a04a67d","3/25/2025",NA,"9/30/2029","10/1/2024","10.514","UW Extension",300000007170503,209172,"No","NI25EFNEPXXXG070-0002","Award Created","Kristi Hargis Stockdale","12/12/2024 09:36:07 AM",NA,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,NA,"Off Campus","New",NA,NA,NA,NA,"NI25EFNEPXXXG070-0002",NA,"01-USDANIFA","U.S. Federal Government",NA,"278,896.00"
"23-1400-A0001-0","Eric P Webster","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",284313,"23-1400",NA,NA,"Active","4/24/2023 07:38:36 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170680,NA,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022",NA,"9/30/2024","10/1/2022","10.203",NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-1400-A0001-1","Eric P Webster","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/30/2022","9/29/2024","Agricultural Experiment Station",1363034,"23-1400",1363034,NA,"Active","6/28/2023 12:02:13 PM",NA,NA,"Agricultural Experiment Station",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Other Sponsored Activity",300000007170680,NA,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022",NA,"9/30/2024","10/1/2022","10.203",NA,NA,1363034,NA,"NI23HFPXXXXXG039",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,"01-USDANIFA","U.S. Federal Government","1,363,034.00","2,726,068.00"
"23-1400-A0001-2","Eric P Webster","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",1363034,"23-1400",1363034,NA,"Active","6/30/2023 10:17:24 AM",NA,NA,"Agricultural Experiment Station",2,"Administrative Change","6/30/2023","Kristi Stockdale","Other Sponsored Activity",300000007170680,NA,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022",NA,"9/30/2024","10/1/2022","10.203",NA,NA,1363034,NA,"NI23HFPXXXXXG039",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,"01-USDANIFA","U.S. Federal Government","1,363,034.00","2,726,068.00"
"23-1400-A0001-3","Eric P Webster","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",1363034,"23-1400",1363034,NA,"Active","7/28/2023 12:24:15 PM",NA,NA,"Agricultural Experiment Station",3,"Other Modifications","7/28/2023","Kristi Stockdale","Other Sponsored Activity",300000007170680,NA,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022",NA,"9/30/2024","10/1/2022","10.203",NA,NA,1363034,NA,"NI23HFPXXXXXG039",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,"01-USDANIFA","U.S. Federal Government","1,363,034.00","2,726,068.00"
"23-1400-A0001-4","Eric P Webster","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",1367659.51,"23-1400",1367659.51,NA,"In Closeout","8/13/2023 11:57:29 AM",NA,NA,"Agricultural Experiment Station",4,"New Funding Increment","8/13/2023","Farrell Jean Rapp","Other Sponsored Activity",300000007170680,NA,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022",NA,"9/30/2024","10/1/2022","10.203",NA,NA,1367659.51,NA,"NI23HFPXXXXXG039",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,"01-USDANIFA","U.S. Federal Government","1,367,659.51","2,735,319.02"
