"Award #","PI","PI Unit","Admin Unit","Project Title","Sponsor","Prime Sponsor","Award Start Date","Award End Date","Obligated Amount","Project #","Total Expected Amount","Status","Created Date","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Id","Award Notice Received","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","Prime Sponsor Primary Code","project location","proposal type","Resolution","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-0217-A0001","Randa Jabbour","Plant Sciences","Plant Sciences","Integration of Early Harvest with Biological Control for Sustainable Alfalfa Production","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2018","8/31/2023",324998,"23-0217",,"In Closeout","4/24/2023 06:30:06 PM",0,"Original Award",,,,300000007170664,"8a02cbb6-3fea-4814-85e8-891f5d581598","9/12/2018","8/31/2023","9/1/2018","10.329",,,,,"20187000628918","Award Created","Legacy Loader","4/24/2023 06:30:06 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"2018-70006-28918",,"01-USDANIFA",,,
"23-0228-A0001","Barbara Ann Rasco","College of Agriculture, Life Sciences & Natural Resources Deans Office","College of Agriculture, Life Sciences & Natural Resources Deans Office","FFY19 (2018-2020) Hatch Regular Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2018","9/30/2021",1363403,"23-0228",,"Closed","4/24/2023 06:30:42 PM",0,"Original Award",,,,300000006254272,"8c4b9e0d-7c2d-4ba8-ba9d-bee18e10b8d4",,"9/30/2021","10/1/2018","10.203",,,,,"NI19HFPXXXXXG007","Award Created","Legacy Loader","4/24/2023 06:30:41 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI19HFPXXXXXG007",,"01-USDANIFA",,,
"23-0229-A0001","Barbara Ann Rasco","College of Agriculture, Life Sciences & Natural Resources Deans Office","College of Agriculture, Life Sciences & Natural Resources Deans Office","FFY19 (2018-2020) Hatch Multi-State (Regional Research)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2018","9/30/2021",781017,"23-0229",,"Closed","4/24/2023 06:30:46 PM",0,"Original Award",,,,300000006254272,"d8adfd4e-3a6e-457a-b9a8-1da18a88f19e",,"9/30/2021","10/1/2018","10.203",,,,,,"Award Created","Legacy Loader","4/24/2023 06:30:46 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI19HMFPXXXXG019",,"01-USDANIFA",,,
"23-0259-A0001","Caitlin Price Youngquist","UW Extension","UW Extension","SARE State Implementation Grant 2019 for Wyoming","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","10/1/2018","12/31/2022",28635.99,"23-0259",,"Closed","4/24/2023 06:32:39 PM",0,"Original Award",,,,300000007170503,"6889fadb-f328-4682-b731-e3ba6175835f","1/2/2019","12/31/2022","10/1/2018","10.215",,,,,"20183864028418","Award Created","Legacy Loader","4/24/2023 06:32:39 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","G179-19-W7506",,"06-MTSU",,,
"23-0275-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Extension - EFNEP (2018-2023) - Paraprofessional Account","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2018","9/30/2023",277063,"23-0275",,"Closed","4/24/2023 06:33:43 PM",0,"Original Award",,,,300000007170503,"55a523c9-b5c0-4e77-9712-30a534c0a9e8","2/7/2019","9/30/2023","10/1/2018","10.514",,,,,"NI19EFNEPXXXG027","Award Created","Legacy Loader","4/24/2023 06:33:43 PM",,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,,"01-USDANIFA","Off Campus",,"Complete","NI19EFNEPXXXG027",,"01-USDANIFA",,,
"23-0281-A0001","Barbara Ann Rasco","College of Agriculture, Life Sciences & Natural Resources Deans Office","College of Agriculture, Life Sciences & Natural Resources Deans Office","McIntire-Stennis Capacity (2018-2020)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2018","9/30/2021",287692,"23-0281",,"Closed","4/24/2023 06:34:03 PM",0,"Original Award",,,,300000006254272,"048de426-8e3d-4357-8e90-88c1d4c4813e","3/1/2019","9/30/2021","10/1/2018","10.202",,,,,"NI19MSCFRXXXG019","Award Created","Legacy Loader","4/24/2023 06:34:03 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI19MSCFRXXXG019",,"01-USDANIFA",,,
"23-0282-A0001","Daniel Charles Laughlin","Botany","Botany","Applying Trait-Based Models to Achieve Restoration Targets in Rangelands","Chapman University","National Institute of Food and Agriculture/Department of Agriculture","5/15/2019","5/14/2024",252685,"23-0282",,"Closed","4/24/2023 06:34:06 PM",0,"Original Award",,,,300000007170631,"4245c8f4-064e-4e2a-ab3b-1dfc8f674faf","6/25/2019","5/14/2024","5/15/2019","10.310",,,,,"20196701929459","Award Created","Legacy Loader","4/24/2023 06:34:06 PM",,"Research",,"44.5% MTDC",,"01-USDANIFA","On Campus",,"Complete","500549-Sub01",,"06-CHAPMAN",,,
"23-0295-A0001","Caitlin Price Youngquist","UW Extension","UW Extension","Growing and Marketing Ancient Grains in Wyoming","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","4/1/2019","4/30/2022",49758.16,"23-0295",,"Closed","4/24/2023 06:34:50 PM",0,"Original Award",,,,300000007170503,"ca8d83c6-354d-41f1-bb75-4ee1f970a0b6","3/15/2019","4/30/2022","4/1/2019","10.215",,,,,"20183864028418","Award Created","Legacy Loader","4/24/2023 06:34:50 PM",,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,,"01-USDANIFA","Off Campus",,"Admin Closed","G243-19-W7502",,"06-MTSU",,,
"23-0330-A0001","Barbara Ann Rasco","College of Agriculture, Life Sciences & Natural Resources Deans Office","College of Agriculture, Life Sciences & Natural Resources Deans Office","Animal Health and Disease Research Capacity FY19","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2018","9/30/2021",26048,"23-0330",,"Closed","4/24/2023 06:36:46 PM",0,"Original Award",,,,300000006254272,"1cb7b559-05b3-4381-a786-fb91bc7876ae","8/22/2019","9/30/2021","10/1/2018","10.207",,,,,"NI19AHDRXXXXG032","Award Created","Legacy Loader","4/24/2023 06:36:46 PM",,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,,"01-USDANIFA","Off Campus",,"Admin Closed","NI19AHDRXXXXG032",,"01-USDANIFA",,,
"23-0361-A0001","Scott P. Schell","Ecosystem Science & Management","Ecosystem Science & Management","Protecting Alfalfa Yield from Weevil Damage in the Intermountain West Region - Wyoming Field Sites","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","5/1/2019","8/31/2021",6965.4,"23-0361",,"Closed","4/24/2023 06:38:37 PM",0,"Original Award",,,,300000007170672,"c06e2dae-5279-4fe3-8825-a9784d75edcc","7/19/2019","8/31/2021","5/1/2019","10.330",,,,,"20187000528740","Award Created","Legacy Loader","4/24/2023 06:38:37 PM",,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,,"01-USDANIFA","Off Campus",,"Admin Closed","G251-19-W7430",,"06-MTSU",,,
"23-0390-A0001","Randa Jabbour","Plant Sciences","Plant Sciences","The Alfalfa Insecticide Management (AIM) Toolkit: Linking insecticide fate modeling with alfalfa pest and beneficial insect toxicity endpoints","Utah State University","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","7/31/2022",101341.14,"23-0390",,"In Closeout","4/24/2023 06:40:34 PM",0,"Original Award",,,,300000007170664,"98263e3d-562b-450e-94eb-0bfee6812bfd",,"7/31/2022","10/1/2019","10.330",,,,,"20197000530363","Award Created","Legacy Loader","4/24/2023 06:40:34 PM",,"Research",,"44.5% MTDC",,"01-USDANIFA","On Campus",,,"202552-670",,"06-UTSTUNV",,,
"23-0396-A0001-0","Urszula Norton","Ecosystem Science & Management","Plant Sciences","From Compost Carryover to Compost Legacy: Intercropping and Compost Effects on Yield, Quality, and Soil Health in Organic Dryland Wheat","Utah State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2019","8/31/2023",338123,"23-0396",,"Active","4/24/2023 06:40:55 PM",0,"Original Award",,,,300000007170672,"f9d40b62-148c-4173-857a-f685795f6832",,"8/31/2023","9/1/2019","10.307",,,,,"20195130030476",,,,,"Research",,,,"01-USDANIFA","Off Campus",,,"202524-664",,"06-UTSTUNV",,,
"23-0396-A0001-1","Urszula Norton","Plant Sciences","Plant Sciences","From Compost Carryover to Compost Legacy: Intercropping and Compost Effects on Yield, Quality, and Soil Health in Organic Dryland Wheat","Utah State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2019","8/31/2023",338123,"23-0396",338123,"Active","9/7/2023 10:22:29 AM",1,"New Funding Increment","9/7/2023","Farrell Jean Rapp","Basic Research",300000007170664,"f9d40b62-148c-4173-857a-f685795f6832",,"8/31/2023","9/1/2019","10.307",,,251370,,"20195130030476",,,,"Yes","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",86753,"01-USDANIFA","[On Campus]","New",,"202524-664",,"06-UTSTUNV","Institutions of Higher Education",,"338,123.00"
"23-0435-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Extension - EFNEP (2019-2024)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2024",278135,"23-0435",,"Closed","4/24/2023 06:43:31 PM",0,"Original Award",,,,300000007170503,"823772c4-1f35-4f1f-b15e-d8a6b625199d","4/8/2020","9/30/2024","10/1/2019","10.514",,,,,"NI20EFNEPXXXG053","Award Created","Legacy Loader","4/24/2023 06:43:31 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Complete","NI20EFNEPXXXG053",,"01-USDANIFA",,,
"23-0457-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Smith-Lever RREA","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2022",50794,"23-0457",,"Closed","4/24/2023 06:45:02 PM",0,"Original Award",,,,300000007170503,"5867f169-7d90-41a6-b1e2-cc2203053161","4/22/2020","9/30/2022","10/1/2019","10.515",,,,,"NI20RREAFXXXG043","Award Created","Legacy Loader","4/24/2023 06:45:02 PM",,"Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,,"01-USDANIFA","Off Campus",,"Admin Closed","NI20RREAFXXXG043",,"01-USDANIFA",,,
"23-0458-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Smith-Lever 3(b) and 3(c) - Special Needs","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2024",43951,"23-0458",,"Closed","4/24/2023 06:45:08 PM",0,"Original Award",,,"Basic Research",300000007170503,"f872b5b4-f0e3-4e9c-9cb7-5e7a80a97165","4/30/2020","9/30/2024","10/1/2019","10.511",,,,,"NI20SLSNXXXXG002","Award Created","Legacy Loader","4/24/2023 06:45:08 PM",,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,,"01-USDANIFA","Off Campus",,"Complete","NI20SLSNXXXXG002",,"01-USDANIFA",,,
"23-0462-A0001","John P. Ritten","Agriculture & Applied Economics","College of Agriculture, Life Sciences & Natural Resources Deans Office","Hatch Regular Capacity 2019-2021","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2021",1358219,"23-0462",,"Closed","4/24/2023 06:45:24 PM",0,"Original Award",,,,300000006254272,"cbb478de-45bd-4c11-b6bd-e916eb1fc99c","4/21/2020","9/30/2021","10/1/2019","10.203",,,,,"NI20HFPXXXXXG040","Award Created","Legacy Loader","4/24/2023 06:45:24 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI20HFPXXXXXG040",,"01-USDANIFA",,,
"23-0465-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever 3(b) & 3 (c)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2024",1743032,"23-0465",,"Active","4/24/2023 06:45:35 PM",0,"Original Award",,,"Basic Research",300000007170503,"b6a26d9c-63ae-4698-b114-84f34f8e4edd","5/14/2020","9/30/2024","10/1/2019","10.511",,,,,"NI20SLBCXXXXG032",,,,,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI20SLBCXXXXG032",,"01-USDANIFA",,,
"23-0474-A0001","Md Anowarul Islam","Plant Sciences","Plant Sciences","Increasing Yield, Quality, and Economy of Alfalfa Hay through Grass Species Selection and Planting Configuration","Colorado State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2019","8/31/2023",110177,"23-0474",,"In Closeout","4/24/2023 06:46:12 PM",0,"Original Award",,,,300000007170664,"8823214d-6555-4b0f-9c44-7ab46fc9c0b6",,"8/31/2023","9/1/2019","10.226",,,,,"20197000530359","Award Created","Legacy Loader","4/24/2023 06:46:12 PM",,"Research",,"44.5% MTDC",,"01-USDANIFA","On Campus",,,"G-91480-03",,"06-CSU",,,
"23-0481-A0001","John P. Hewlett","Agriculture & Applied Economics","Agriculture & Applied Economics","Providing Risk Management Education on Crop Insurance Products and Risk in Agriculture to Underserved Beginning, Veteran, Retiring/Transition, and Other Socially Disadvantaged Farmers/Ranchers in Wyoming 2020-2021","Washington State University","National Institute of Food and Agriculture/Department of Agriculture","6/1/2020","11/30/2021",60000,"23-0481",,"Closed","4/24/2023 06:46:36 PM",0,"Original Award",,,,300000007170651,"c218d4ce-33ae-4ee2-a0e2-b6baa74096a3","5/1/2020","11/30/2021","6/1/2020","10.458",,,,,"2018-70027-28587","Award Created","Legacy Loader","4/24/2023 06:46:36 PM",,"Other Sponsored Activities",,"20% TDC",,"01-USDANIFA","On Campus",,"Complete","134194 G004222",,"06-WASTATE",,,
"23-0511-A0001","Barbara Ann Rasco","College of Agriculture, Life Sciences & Natural Resources Deans Office","College of Agriculture, Life Sciences & Natural Resources Deans Office","McIntire-Stennis Capacity FY20","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2021",286792,"23-0511",,"Closed","4/24/2023 06:48:21 PM",0,"Original Award",,,,300000006254272,"9999b199-4c40-44ea-9b4f-99f91797e32e","5/26/2020","9/30/2021","10/1/2019","10.202",,,,,"NI20MSCFRXXXG050","Award Created","Legacy Loader","4/24/2023 06:48:21 PM",,"Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI20MSCFRXXXG050",,"01-USDANIFA",,,
"23-0512-A0001","Eric P Webster","Agricultural Experiment Station","Agriculture & Applied Economics","Hatch-Multistate Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2022",753146,"23-0512",,"Closed","4/24/2023 06:48:24 PM",0,"Original Award",,,,300000007170651,"2ed4622c-55fa-44a1-8a11-3d7ac8027916","5/12/2020","9/30/2022","10/1/2019","10.203",,,,,"NI20HMFPXXXXG040","Award Created","Legacy Loader","4/24/2023 06:48:24 PM",,"Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI20HMFPXXXXG040",,"01-USDANIFA",,,
"23-0542-A0001-0","Mark Gomelsky","Molecular Biology","Molecular Biology","Listeria-plant biofilms","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","8/15/2020","8/14/2023",759977,"23-0542",,"Active","4/24/2023 06:50:03 PM",0,"Original Award",,,,300000007170376,"b8b51ec1-c33d-40a5-bd17-7088a1a10dbf","8/15/2020","8/14/2023","8/15/2020","10.310",,,,,"20206701432496",,,,,"Research",,"44.5% MTDC",,"01-USDANIFA","On Campus",,,"2020-67014-32496",,"01-USDANIFA",,,
"23-0547-A0001","Kevin Wilcox","Ecosystem Science & Management","Ecosystem Science & Management","Assessing Impacts of Patch-Burn Grazing Management on Sustainability of Multiple Agroecosystem Services","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","5/15/2020","5/14/2023",66132.97,"23-0547",,"Closed","4/24/2023 06:50:20 PM",0,"Original Award",,,,300000007170672,"d66f87ac-4a41-48be-8135-012804ff543a",,"5/14/2023","5/15/2020","10.310",,,,,"2020-67019-31171","Award Created","Legacy Loader","4/24/2023 06:50:20 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","2020-67019-31171",,"01-USDANIFA",,,
"23-0585-A0001-0","Jill Fabricius Keith","Family & Consumer Sciences","Family & Consumer Sciences","Growing Season: Native Student Pathways to Food System and Sovereignty Studies","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2020","8/31/2024",288986,"23-0585",,"Active","4/24/2023 06:52:25 PM",0,"Original Award",,,,300000007170164,"3264adb2-ceb6-4bfc-91a0-c4a2f116cb32",,"8/31/2024","9/1/2020","10.527",,,,,"20207041132776",,,,,"Other Sponsored Activities",,"34% MTDC",,"01-USDANIFA","On Campus",,,"2020-70411-32776",,"01-USDANIFA",,,
"23-0587-A0001","John P. Hewlett","Agriculture & Applied Economics","Agriculture & Applied Economics","Providing Risk Management Education on Crop Insurance Products and Risk in Agriculture to Underserved Beginning, Veteran, Retiring/Transitioning, and Other Socially Disadvantaged Farmers/Ranchers in Wyoming 2020-2021","Washington State University","National Institute of Food and Agriculture/Department of Agriculture","6/1/2020","11/30/2021",0,"23-0587",,"Closed","4/24/2023 06:52:32 PM",0,"Original Award",,,,300000007170651,"5cb264ea-d08a-4b19-b00b-6fdb6f51f3a7",,"11/30/2021","6/1/2020","10.500",,,,,"20187002728587","Award Created","Legacy Loader","4/24/2023 06:52:31 PM",,"Other Sponsored Activities","20% MTDC",,,"01-USDANIFA","Off Campus",,"Admin Closed","134194 G004222",,"06-WASTATE",,,
"23-0604-A0001","John P. Ritten","Agriculture & Applied Economics","Agriculture & Applied Economics","Animal Health and Disease Research Capacity, FY20","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","9/30/2021",23343,"23-0604",,"Closed","4/24/2023 06:53:28 PM",0,"Original Award",,,"Basic Research",300000007170651,"a0a632d9-0df8-43c1-ba61-912248490f1d","9/3/2020","9/30/2021","10/1/2019","10.207",,,,,"NI20AHDRXXXXG033","Award Created","Legacy Loader","4/24/2023 06:53:28 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI20AHDRXXXXG033",,"01-USDANIFA",,,
