"","Transaction Number","Errors Exist","Task Name","Contract Number","Funding Source","Expenditure Type","Expenditure Organization","Expenditure Item Date","Burdened Cost in Provider Ledger Currency"
"44",6294717,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FT SALARIES-FAC","Atmospheric Science",2024-04-30,5000
"45",6318279,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FRINGE RATE","Atmospheric Science",2024-04-30,115.54
"46",6314931,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FRINGE RATE","Atmospheric Science",2024-04-30,2045
"47",6296465,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-04-30,125.71
"48",6296466,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-04-30,2225
"49",6321345,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-04-30,51.42
"50",6321311,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-04-30,910.03
"51",6408992,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","School of Computing",2024-05-06,19.62
"52",6408985,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","School of Computing",2024-05-06,11.13
"53",6409931,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Travel Domestic Expense","School of Computing",2024-05-06,25
"54",6409930,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Travel Domestic Expense","School of Computing",2024-05-06,44.1
"55",7164793,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Research & Development Subcontract #1 <=25K","Atmospheric Science",2024-05-09,25000
"56",7164794,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Research & Development Subcontract #1 >25K","Atmospheric Science",2024-05-09,14388.31
"57",7165785,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-05-09,11125
"58",7172766,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Research & Development Subcontract #1 >25K","Atmospheric Science",2024-05-09,4342.66
"59",6408988,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","School of Computing",2024-05-10,84.11
"60",6408986,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","School of Computing",2024-05-10,329.3
"61",6408987,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","School of Computing",2024-05-10,243.53
"62",6409942,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Travel Domestic Expense","School of Computing",2024-05-10,189
"63",6409941,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Travel Domestic Expense","School of Computing",2024-05-10,547.26
"64",6409932,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Travel Domestic Expense","School of Computing",2024-05-10,740
"65",6408387,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-05-31,125.71
"66",6408388,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-05-31,2225
"67",6420750,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-05-31,51.42
"68",6420784,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-05-31,910.03
"69",6416119,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FRINGE RATE","Atmospheric Science",2024-05-31,115.54
"70",6416451,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FRINGE RATE","Atmospheric Science",2024-05-31,2045
"71",6405145,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FT SALARIES-FAC","Atmospheric Science",2024-05-31,282.5
"72",6405173,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FT SALARIES-FAC","Atmospheric Science",2024-05-31,5000
"73",6528348,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FT SALARIES-FAC","Atmospheric Science",2024-06-30,282.5
"74",6528349,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FT SALARIES-FAC","Atmospheric Science",2024-06-30,5000
"75",6537318,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-06-30,910.03
"76",6537319,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-06-30,51.42
"77",6531464,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-06-30,125.71
"78",6531465,NA,"All Project Scope","231827A0001","U.S. Department of Energy","Indirect Cost Expense","Atmospheric Science",2024-06-30,2225
"79",6534815,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FRINGE RATE","Atmospheric Science",2024-06-30,115.54
"80",6534302,NA,"All Project Scope","231827A0001","U.S. Department of Energy","FRINGE RATE","Atmospheric Science",2024-06-30,2045
